timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-12-31,1.02,1.09,0.989,1.0,1.0,32589,0.0000,1.0
2014-12-30,0.97,1.08,0.95,1.08,1.08,118933,0.0000,1.0
2014-12-29,1.02,1.05,0.9801,1.0,1.0,11551,0.0000,1.0
2014-12-26,1.01,1.05,1.01,1.02,1.02,31113,0.0000,1.0
2014-12-24,0.97,1.0299,0.96,1.0,1.0,6665,0.0000,1.0
2014-12-23,0.9899,1.04,0.92,1.0,1.0,64316,0.0000,1.0
2014-12-22,0.95,1.05,0.911,1.0,1.0,67193,0.0000,1.0
2014-12-19,1.03,1.03,0.97,0.99,0.99,27784,0.0000,1.0
2014-12-18,0.9218,1.04,0.907,1.0268,1.0268,50181,0.0000,1.0
2014-12-17,0.95,0.9999,0.91,0.91,0.91,34084,0.0000,1.0
2014-12-16,0.94,1.0,0.85,0.93,0.93,70909,0.0000,1.0
2014-12-15,1.1,1.1,0.881,0.9942,0.9942,62524,0.0000,1.0
2014-12-12,0.9728,1.0,0.95,1.0,1.0,48467,0.0000,1.0
2014-12-11,1.08,1.08,0.9589,1.0,1.0,141261,0.0000,1.0
2014-12-10,1.04,1.05,1.01,1.04,1.04,74575,0.0000,1.0
2014-12-09,1.08,1.08,1.01,1.02,1.02,100180,0.0000,1.0
2014-12-08,1.05,1.09,1.03,1.07,1.07,47071,0.0000,1.0
2014-12-05,1.04,1.05,1.0019,1.02,1.02,18852,0.0000,1.0
2014-12-04,1.01,1.1,0.98,1.1,1.1,71740,0.0000,1.0
2014-12-03,1.08,1.1,0.99,1.01,1.01,74288,0.0000,1.0
2014-12-02,1.14,1.15,0.98,1.03,1.03,82970,0.0000,1.0
2014-12-01,1.05,1.18,1.02,1.11,1.11,158204,0.0000,1.0
2014-11-28,1.15,1.15,1.07,1.0802,1.0802,10293,0.0000,1.0
2014-11-26,1.18,1.2,1.063,1.1,1.1,112600,0.0000,1.0
2014-11-25,1.15,1.26,1.0244,1.06,1.06,278638,0.0000,1.0
2014-11-24,1.12,1.14,1.11,1.1201,1.1201,9409,0.0000,1.0
2014-11-21,1.1999,1.1999,1.13,1.15,1.15,29571,0.0000,1.0
2014-11-20,1.2,1.2099,1.13,1.15,1.15,28727,0.0000,1.0
2014-11-19,1.17,1.18,1.13,1.1668,1.1668,47952,0.0000,1.0
2014-11-18,1.04,1.29,1.02,1.13,1.13,235481,0.0000,1.0
2014-11-17,1.02,1.1699,1.02,1.03,1.03,194583,0.0000,1.0
2014-11-14,1.05,1.1,1.02,1.06,1.06,54187,0.0000,1.0
2014-11-13,1.0,1.08,1.0,1.01,1.01,41857,0.0000,1.0
2014-11-12,1.03,1.07,0.98,1.03,1.03,45326,0.0000,1.0
2014-11-11,1.09,1.09,1.02,1.08,1.08,10398,0.0000,1.0
2014-11-10,1.06,1.08,1.01,1.08,1.08,23566,0.0000,1.0
2014-11-07,1.06,1.09,1.0273,1.06,1.06,73509,0.0000,1.0
2014-11-06,1.1,1.1,1.05,1.06,1.06,12997,0.0000,1.0
2014-11-05,1.02,1.12,0.98,1.1,1.1,156733,0.0000,1.0
2014-11-04,1.08,1.08,1.03,1.04,1.04,97447,0.0000,1.0
2014-11-03,1.04,1.15,1.04,1.1,1.1,47355,0.0000,1.0
