timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-02-16,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2016-02-12,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2016-02-11,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2016-02-10,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2016-02-09,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2016-02-08,5.94,5.94,5.94,5.94,5.94,0,0.0000,1.0
2016-02-05,6.35,6.46,5.72,5.94,5.94,1384637,0.0000,1.0
2016-02-04,6.53,6.685,6.31,6.37,6.37,460314,0.0000,1.0
2016-02-03,6.37,6.58,6.115,6.57,6.57,516822,0.0000,1.0
2016-02-02,6.49,6.62,6.23,6.35,6.35,321174,0.0000,1.0
2016-02-01,6.52,6.66,6.31,6.63,6.63,184581,0.0000,1.0
2016-01-29,6.41,6.63,6.26,6.55,6.55,320663,0.0000,1.0
2016-01-28,6.49,6.84,6.31,6.36,6.36,266940,0.0000,1.0
2016-01-27,6.68,6.85,6.37,6.41,6.41,289481,0.0000,1.0
2016-01-26,6.51,6.85,6.41,6.71,6.71,374391,0.0000,1.0
2016-01-25,6.44,6.59,6.37,6.46,6.46,266930,0.0000,1.0
2016-01-22,6.06,6.54,6.01,6.49,6.49,388018,0.0000,1.0
2016-01-21,6.09,6.2,5.88,5.9,5.9,230160,0.0000,1.0
2016-01-20,5.78,6.32,5.7701,6.14,6.14,560930,0.0000,1.0
2016-01-19,6.22,6.22,5.82,5.85,5.85,375262,0.0000,1.0
2016-01-13,6.03,6.13,5.77,5.82,5.82,358668,0.0000,1.0
2016-01-12,6.03,6.39,5.88,6.01,6.01,405905,0.0000,1.0
2016-01-11,6.0,6.225,5.8201,5.98,5.98,587588,0.0000,1.0
2016-01-08,6.06,6.19,5.88,5.95,5.95,358526,0.0000,1.0
2016-01-07,6.31,6.4,5.95,6.02,6.02,605335,0.0000,1.0
2016-01-06,6.52,6.66,6.4,6.42,6.42,335648,0.0000,1.0
2016-01-05,6.63,6.79,6.55,6.65,6.65,339515,0.0000,1.0
2016-01-04,6.7,6.9997,6.61,6.62,6.62,477573,0.0000,1.0
