timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-26,5.23,5.27,5.16,5.22,5.22,219401,0.0000,1.0
2021-03-25,5.1,5.22,5.0501,5.19,5.19,199396,0.0000,1.0
2021-03-24,5.39,5.4097,5.09,5.09,5.09,286280,0.0000,1.0
2021-03-23,5.53,5.55,5.25,5.4,5.4,697500,0.0000,1.0
2021-03-22,5.25,5.68,5.21,5.43,5.43,915225,0.0000,1.0
2021-03-19,5.14,5.15,4.95,5.12,5.12,274710,0.0000,1.0
2021-03-18,5.03,5.29,5.02,5.11,5.11,274289,0.0000,1.0
2021-03-17,5.01,5.05,4.98,5.04,5.04,272373,0.0000,1.0
2021-03-16,4.89,5.02,4.85,4.98,4.98,155766,0.0000,1.0
2021-03-15,4.8,4.9,4.77,4.87,4.87,264280,0.0000,1.0
2021-03-12,4.75,4.8499,4.7389,4.81,4.81,155707,0.0000,1.0
2021-03-11,4.71,4.7999,4.71,4.72,4.72,129638,0.0000,1.0
2021-03-10,4.73,4.79,4.69,4.72,4.72,154405,0.0000,1.0
2021-03-09,4.7,4.74,4.66,4.7,4.7,93002,0.0000,1.0
2021-03-08,4.68,4.73,4.67,4.7,4.7,124567,0.0000,1.0
2021-03-05,4.62,4.69,4.56,4.69,4.69,95466,0.0000,1.0
2021-03-04,4.71,4.71,4.57,4.61,4.61,91001,0.0000,1.0
2021-03-03,4.68,4.7,4.65,4.7,4.7,46304,0.0000,1.0
2021-03-02,4.65,4.685,4.6201,4.68,4.68,142888,0.0000,1.0
2021-03-01,4.63,4.66,4.6001,4.62,4.62,88739,0.0000,1.0
2021-02-26,4.67,4.67,4.53,4.56,4.56,117550,0.0000,1.0
2021-02-25,4.63,4.65,4.6,4.63,4.63,65779,0.0000,1.0
2021-02-24,4.59,4.63,4.58,4.6,4.6,89623,0.0000,1.0
2021-02-23,4.67,4.67,4.51,4.54,4.54,86286,0.0000,1.0
2021-02-22,4.58,4.66,4.51,4.65,4.65,160639,0.0000,1.0
2021-02-19,4.53,4.56,4.51,4.52,4.52,93438,0.0000,1.0
2021-02-18,4.51,4.5599,4.5003,4.52,4.52,63912,0.0000,1.0
2021-02-17,4.5,4.55,4.41,4.51,4.51,213257,0.0000,1.0
2021-02-16,4.53,4.62,4.49,4.51,4.51,335213,0.0000,1.0
