timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-11-18,7.25,7.25,7.25,7.25,7.25,0,0.0000,1.0
2020-11-17,7.23,7.25,7.23,7.25,7.25,14039,0.0000,1.0
2020-11-16,7.2,7.2473,7.2,7.24,7.24,34084,0.0000,1.0
2020-11-13,7.2,7.22,7.2,7.21,7.21,2822,0.0000,1.0
2020-11-12,7.2,7.2,7.2,7.2,7.2,2611,0.0000,1.0
2020-11-11,7.21,7.22,7.19,7.19,7.19,17182,0.0000,1.0
2020-11-10,7.24,7.245,7.2,7.2,7.2,2587,0.0000,1.0
2020-11-09,7.2,7.23,7.2,7.2,7.2,16104,0.0000,1.0
2020-11-06,7.2,7.22,7.2,7.22,7.22,2253,0.0000,1.0
2020-11-05,7.2,7.2052,7.2,7.2,7.2,3775,0.0000,1.0
2020-11-04,7.2,7.205,7.2,7.2,7.2,1773,0.0000,1.0
2020-11-03,7.2,7.205,7.2,7.2,7.2,5761,0.0000,1.0
2020-11-02,7.21,7.23,7.2,7.2,7.2,5212,0.0000,1.0
2020-10-30,7.28,7.29,7.2,7.2101,7.2101,19526,0.0000,1.0
2020-10-29,7.2,7.29,7.2,7.28,7.28,12434,0.0000,1.0
2020-10-28,7.2,7.209,7.2,7.2,7.2,8009,0.0000,1.0
2020-10-27,7.2,7.2027,7.2,7.2,7.2,7736,0.0000,1.0
2020-10-26,7.2,7.2,7.2,7.2,7.2,1348,0.0000,1.0
2020-10-23,7.2,7.2,7.2,7.2,7.2,8661,0.0000,1.0
2020-10-22,7.2,7.2,7.2,7.2,7.2,6746,0.0000,1.0
2020-10-21,7.2,7.21,7.2,7.2,7.2,8332,0.0000,1.0
2020-10-20,7.2,7.2215,7.2,7.2,7.2,8752,0.0000,1.0
2020-10-19,7.2,7.24,7.2,7.24,7.24,8878,0.0000,1.0
2020-10-16,7.19,7.22,7.19,7.2,7.2,5688,0.0000,1.0
2020-10-15,7.19,7.2,7.19,7.2,7.2,4467,0.0000,1.0
2020-10-14,7.19,7.2,7.19,7.2,7.2,5226,0.0000,1.0
2020-10-13,7.2,7.2,7.2,7.2,7.2,4655,0.0000,1.0
2020-10-12,7.19,7.2,7.19,7.2,7.2,6549,0.0000,1.0
2020-10-09,7.2,7.23,7.19,7.23,7.23,8313,0.0000,1.0
2020-10-08,7.19,7.2,7.19,7.2,7.2,6039,0.0000,1.0
2020-10-07,7.19,7.1962,7.19,7.19,7.19,5227,0.0000,1.0
2020-10-06,7.19,7.2,7.19,7.19,7.19,8751,0.0000,1.0
2020-10-05,7.19,7.215,7.19,7.19,7.19,10588,0.0000,1.0
