SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
AAC,2019-06-30,USD,17821000,62724000,44903000,44903000,-6387000,10376000,None,69111000,None,None,None,-12582000,None,None,None,None,-18737000,323000,None,-19060000,None,-6387000,None,-16372000
AAC,2019-03-31,USD,8776000,55370000,46594000,46594000,-16348000,9417000,None,71718000,None,None,None,-10260000,None,211000,None,None,-24149000,-33000,None,-24116000,None,-16348000,None,-22019000
AAC,2018-12-31,USD,2036000,53056000,51020000,51020000,-28354000,13249000,0,81410000,None,None,None,-8880000,None,178000,None,None,-44566000,1898000,None,-46464000,None,-28354000,None,-44696000
AAC,2018-09-30,USD,24048000,77473000,53425000,53425000,-5852000,11494000,0,83325000,None,None,None,-8738000,None,-732000,None,None,-16480000,-3324000,None,-13156000,None,-5852000,None,-11493000
AAC,2018-06-30,USD,86761000,86395000,55243000,55243000,2952000,77534000,0,83443000,None,None,None,7893000,None,98000,None,None,-5087000,-84000,None,-5003000,None,2952000,None,-3013000
AAC,2018-03-31,USD,78473000,78473000,47831000,47831000,3129000,66784000,0,72248000,None,None,None,6709000,None,-9000,None,None,-3589000,-1494000,None,-2095000,None,3120000,None,-202000
AAC,2017-12-31,USD,86136000,86136000,75165000,75165000,-18962000,64016000,0,105098000,None,None,None,5739000,None,-39000,None,None,-24740000,-4559000,None,-20181000,None,-19001000,None,-18822000
AAC,2017-09-30,USD,80424000,80424000,70115000,70115000,5091000,60433000,0,75703000,None,None,None,5492000,None,-49000,None,None,-820000,-456000,None,-364000,None,4672000,None,762000
AAC,2017-06-30,USD,78042000,78042000,67003000,67003000,5981000,57507000,0,72103000,None,None,None,2846000,None,-5429000,None,None,-2336000,562000,None,-2898000,None,510000,None,-1916000
AAC,2017-03-31,USD,73039000,73039000,66828000,66828000,559000,60241000,0,72480000,None,None,None,2734000,None,-34000,None,None,-2209000,-565000,None,-1644000,None,525000,None,-603000
AAC,2016-12-31,USD,64177000,72352000,8175000,8175000,-7575000,414399000,0,-487210000,None,None,None,2325000,None,None,None,None,-1638000,-335000,None,-1303000,None,-7488000,None,478000
AAC,2016-09-30,USD,70528000,70528000,67203000,67203000,-2712000,62409000,0,73240000,None,None,None,1927000,None,-130000,None,None,-4504000,-758000,None,-4011000,None,-2842000,None,-2525000
AAC,2016-06-30,USD,71542000,71542000,64159000,64159000,1920000,59216000,0,69622000,None,None,None,2221000,None,36000,None,None,-265000,-107000,None,-158000,None,1956000,None,872000
AAC,2016-03-31,USD,65348000,65348000,59155000,59155000,1406000,53672000,0,63942000,None,None,None,1702000,None,7000,None,None,-289000,-20000,None,-269000,None,1413000,None,586000
AAC,2015-12-31,USD,86988000,58282000,57050000,57050000,17689000,33335000,0,171040000,None,None,None,1181000,None,None,None,None,10733000,4136000,None,8341000,None,23108000,None,448000
AAC,2015-09-30,USD,57372000,57372000,50032000,50032000,3623000,44666000,0,53749000,None,None,None,1203000,None,-32000,None,None,2388000,644000,None,1744000,None,3591000,None,2452000
AAC,2015-06-30,USD,0,53784000,41063000,41063000,11045000,0,0,0,None,None,None,482000,None,None,None,None,8130000,3014000,None,0,None,0,None,5555000
AAC,2015-03-31,USD,0,42823000,36271000,36271000,5212000,0,0,0,None,None,None,741000,None,None,None,None,3464000,1345000,None,0,None,0,None,2038000
AAC,2014-12-31,USD,56076000,37166000,31122000,31122000,4819000,25864000,0,109545000,None,None,None,322000,None,None,None,None,3458000,185000,None,6366000,None,12032000,None,3354000
AAC,2014-09-30,USD,36599000,36599000,30826000,30826000,4564000,28646000,0,32153000,None,None,None,845000,None,-65000,None,None,3536000,1511000,None,2025000,None,4381000,None,2458000
AAC,2014-06-30,USD,0,29120000,25996000,25996000,1973000,0,0,0,None,None,None,351000,None,None,None,None,471000,244000,None,0,None,0,None,717000
