SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ACOM,2012-09-30,USD,None,128355000,19341000,19341000,35878000,64805000,19887000,None,None,None,None,None,None,None,None,None,35980000,11080000,None,None,None,None,None,24900000
ACOM,2012-06-30,USD,None,119078000,16381000,16381000,29412000,66455000,18778000,None,None,None,None,None,None,None,None,None,29358000,9381000,None,None,None,None,None,19977000
ACOM,2012-03-31,USD,None,108536000,15532000,15532000,20078000,66818000,16627000,None,None,None,None,None,None,None,None,None,20117000,6570000,None,None,None,None,None,13547000
ACOM,2011-12-31,USD,None,104224000,14334000,14334000,27645000,54748000,15562000,None,None,None,None,None,None,None,None,None,27348000,9032000,None,None,None,None,None,18316000
ACOM,2011-09-30,USD,None,103101000,13509000,13509000,27155000,54792000,14773000,None,None,None,None,None,None,None,None,None,26762000,7711000,None,None,None,None,None,19051000
ACOM,2011-06-30,USD,None,101308000,12764000,12764000,26456000,54603000,14242000,None,None,None,None,None,None,None,None,None,26027000,9470000,None,None,None,None,None,16557000
ACOM,2011-03-31,USD,None,91028000,12451000,12451000,14210000,56833000,13668000,None,None,None,None,None,None,None,None,None,14103000,5132000,None,None,None,None,None,8971000
ACOM,2010-12-31,USD,None,82735000,10764000,10764000,20307000,43436000,11849000,None,None,None,None,187000,None,None,None,None,17807000,5256000,None,None,None,None,None,12551000
ACOM,2010-09-30,USD,None,79315000,9671000,9671000,19308000,43794000,10528000,None,None,None,None,887000,None,None,None,None,17723000,5914000,None,None,None,None,None,11809000
ACOM,2010-06-30,USD,None,74460000,9768000,9768000,15759000,42514000,9992000,None,None,None,None,1493000,None,None,None,None,14330000,5807000,None,None,None,None,None,8523000
ACOM,2010-03-31,USD,None,64421000,10131000,10131000,7632000,40115000,9927000,None,None,None,None,1216000,None,None,None,None,6488000,2526000,None,None,None,None,None,3962000
ACOM,2009-12-31,USD,None,60109000,9511000,9511000,8786000,34916000,9546000,None,None,None,None,1355000,None,None,None,None,7484000,None,None,None,None,None,None,9071000
ACOM,2009-09-30,USD,None,56987000,8660000,8660000,10202000,31311000,9142000,None,None,None,None,1428000,None,None,None,None,6526000,2485000,None,None,None,None,None,4041000
ACOM,2009-06-30,USD,None,54573000,8589000,8589000,8708000,30534000,8692000,None,None,None,None,1515000,None,None,None,None,7762000,3082000,None,None,None,None,None,4680000
ACOM,2009-03-31,USD,None,53233000,8627000,8627000,6565000,31340000,8856000,None,None,None,None,1841000,None,None,None,None,4863000,1360000,None,None,None,None,None,3503000
ACOM,2008-12-31,USD,None,52433000,8569000,8569000,2234000,33104000,9501000,None,None,None,None,3028000,None,None,None,None,None,None,None,None,None,None,None,None
ACOM,2008-09-30,USD,None,50074000,7550000,7550000,6551000,27294000,8060000,None,None,None,None,3123000,None,None,None,None,3610000,1349000,None,None,None,None,None,2261000
ACOM,2008-06-30,USD,None,48043000,7627000,7627000,3668000,28091000,7909000,None,None,None,None,2873000,None,None,None,None,1067000,790000,None,None,None,None,None,277000
ACOM,2008-03-31,USD,None,47041000,7661000,7661000,4742000,25989000,7736000,None,None,None,None,3331000,None,None,None,None,1571000,609000,None,None,None,None,None,962000
ACOM,2007-12-31,USD,None,166380000,27756000,27756000,21708000,101894000,36072000,None,None,None,None,1902000,None,None,None,None,11589000,5121000,None,None,None,None,None,6468000
