SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ALNA,2020-12-31,USD,None,0,None,None,-9985000,3008000,6977000,9985000,None,-249000,None,None,None,-273000,None,None,-10258000,None,None,-10258000,None,-10258000,None,-10258000
ALNA,2020-09-30,USD,None,0,None,None,-7918000,2966000,4952000,7918000,None,-104000,None,None,None,-108000,None,None,-8026000,None,None,-8026000,None,-7878000,None,-8026000
ALNA,2020-06-30,USD,None,0,None,None,-6559000,2751000,3808000,6559000,None,-103000,None,None,None,-417000,None,None,-6976000,None,None,-6976000,None,-6559000,None,-6976000
ALNA,2020-03-31,USD,None,0,None,None,-7524000,2878000,4646000,7524000,None,-54000,-54000,None,None,-61000,None,None,-7585000,None,None,-7585000,None,-7355000,None,-7585000
ALNA,2019-12-31,USD,None,0,None,None,-10688000,1967000,8721000,10688000,None,-12000,-12000,-12000,None,None,None,None,-11359000,None,None,-11359000,None,-10041000,None,-11359000
ALNA,2019-09-30,USD,None,0,None,None,-13338000,2532000,10806000,13338000,None,53000,53000,-12000,None,50000,None,None,-13288000,None,None,-13288000,None,-13296000,None,-13288000
ALNA,2019-06-30,USD,None,0,None,None,-11335000,2746000,8589000,11335000,None,78000,78000,-12000,None,62000,None,None,-11273000,None,None,-11273000,None,-11296000,None,-11273000
ALNA,2019-03-31,USD,None,0,None,None,-11559000,2431000,9128000,11559000,None,151000,151000,-12000,None,140000,None,None,-11419000,None,None,-11419000,None,-11519000,None,-11419000
ALNA,2018-12-31,USD,0,0,0,0,-9780000,2511000,7269000,9780000,None,None,None,0,None,None,None,None,-9611000,0,None,-9611000,None,-9746000,None,-9611000
ALNA,2018-09-30,USD,0,0,0,0,-9705000,2389000,7316000,9705000,None,None,None,0,None,195000,None,None,-9510000,0,None,-9510000,None,-9688000,None,-9510000
ALNA,2018-06-30,USD,0,0,0,0,-8135000,2275000,5860000,8135000,None,None,None,0,None,-512000,None,None,-8647000,0,None,-8647000,None,-7510000,None,-8647000
ALNA,2018-03-31,USD,0,0,0,0,-7973000,2042000,5931000,7973000,None,None,None,0,None,93000,None,None,-7880000,0,None,-7880000,None,-7954000,None,-7880000
ALNA,2017-12-31,USD,0,0,0,0,-6571000,6551000,4761000,16588000,None,None,None,42000,None,None,None,None,-21650000,0,None,-16980000,None,-16588000,None,-6677000
ALNA,2017-09-30,USD,0,0,0,0,-4362000,1413000,2949000,4362000,None,None,None,146000,None,-308000,None,None,-4670000,0,None,-4670000,None,-4670000,None,-4670000
ALNA,2017-06-30,USD,0,0,0,0,5542000,4458000,3458000,-5542000,None,None,None,123000,None,None,None,None,5671000,0,None,5671000,None,5542000,None,5671000
ALNA,2017-03-31,USD,0,0,0,0,-5542000,5525000,4351000,5542000,None,None,None,132000,None,None,None,None,-5671000,0,None,-5671000,None,-5542000,None,-5671000
ALNA,2016-12-31,USD,0,0,0,0,-24186000,5987000,4815000,24186000,None,None,None,87000,None,None,None,None,-24507000,0,None,-24507000,None,-24186000,None,-24507000
ALNA,2016-09-30,USD,0,0,0,0,0,6092000,5263000,0,None,None,None,42000,None,None,None,None,0,0,None,0,None,0,None,0
ALNA,2016-06-30,USD,0,0,0,0,0,12061000,10025000,0,None,None,None,71000,None,None,None,None,0,0,None,0,None,0,None,0
ALNA,2015-12-31,USD,0,0,0,0,-13905000,13807000,11540000,13905000,None,None,None,335000,None,None,None,None,-14247000,0,None,-14247000,None,-13905000,None,-14247000
