SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
AMBA,2020-10-31,USD,34792000,56090000,21298000,21298000,-16249000,14468000,36573000,51041000,None,None,None,None,56090000,673000,600000,3082000,-15576000,1502000,None,-17078000,-17302000,-16249000,-13167000,-17078000
AMBA,2020-07-31,USD,30958000,50113000,19155000,19155000,-15289000,13445000,32802000,46247000,None,None,None,None,50113000,1280000,600000,2914000,-14009000,747000,None,-14756000,-13574000,-15289000,-12375000,-14756000
AMBA,2020-04-30,USD,32020000,54645000,22625000,22625000,-15615000,13435000,34200000,47635000,None,None,None,None,54645000,1278000,700000,2872000,-14337000,1126000,None,-15463000,-15826000,-15615000,-12743000,-15463000
AMBA,2020-01-31,USD,33316000,57212000,23896000,23896000,-13832000,13341000,33807000,47148000,None,None,None,-2029000,57212000,1713000,700000,3400000,-12119000,862000,None,-12981000,-12898000,-13832000,-10432000,-12981000
AMBA,2019-10-31,USD,39103000,67922000,28819000,28819000,-7168000,13791000,32480000,46271000,None,None,None,-2029000,67922000,1917000,700000,2792000,-5251000,-942000,None,-4309000,-4169000,-7168000,-4376000,-4309000
AMBA,2019-07-31,USD,32437000,56410000,23973000,23973000,-10408000,12425000,30420000,42845000,None,None,None,-2029000,56410000,2195000,700000,2731000,-8213000,1978000,None,-10191000,194000,-10408000,-7677000,-10191000
AMBA,2019-04-30,USD,27853000,47188000,19335000,19335000,-18241000,13077000,33017000,46094000,None,None,None,-2029000,47188000,2196000,700000,2708000,-16045000,1266000,None,-17311000,254000,-18241000,-15533000,-17311000
AMBA,2019-01-31,USD,30654000,51070000,20416000,20416000,-14366000,12382000,32638000,45020000,None,None,None,None,51070000,3351000,700000,1866000,-11015000,-6472000,None,-4543000,-4261000,-14366000,-12500000,-4543000
AMBA,2018-10-31,USD,34585000,57286000,22701000,22701000,-9422000,12354000,31653000,44007000,None,None,None,None,57286000,993000,600000,1152000,-8429000,592000,None,-9021000,-8995000,-9422000,-8270000,-9021000
AMBA,2018-07-31,USD,38013000,62474000,24461000,24461000,-6682000,12566000,32129000,44695000,None,None,None,None,62474000,732000,600000,1154000,-5950000,927000,None,-6877000,178000,-6682000,-5528000,-6877000
AMBA,2018-04-30,USD,34892000,56938000,22046000,22046000,-9950000,13178000,31664000,44842000,None,None,None,None,56938000,792000,636000,1148000,-9158000,848000,None,-10006000,-110000,-9950000,-8802000,-10006000
AMBA,2018-01-31,USD,45351000,70575000,25224000,25224000,1391000,12386000,31574000,43960000,None,None,None,-281000,70575000,602000,483000,963000,1993000,732000,None,1261000,1098000,1391000,2354000,1261000
AMBA,2017-10-31,USD,56614000,89062000,32448000,32448000,15118000,11700000,29796000,41496000,None,None,None,None,89062000,319000,400000,871000,15437000,3713000,None,11724000,11690000,15118000,15989000,11724000
AMBA,2017-07-31,USD,44805000,71630000,26825000,26825000,5305000,11962000,27538000,39500000,None,None,None,None,None,224000,500000,855000,5529000,2226000,None,3303000,3309000,5305000,6160000,3303000
AMBA,2017-04-30,USD,40963000,64135000,23172000,23172000,2617000,11744000,26602000,38346000,None,None,None,None,None,153000,412000,292000,2770000,206000,None,2564000,2546000,2617000,2909000,2564000
AMBA,2017-01-31,USD,58514000,87508000,28994000,25224000,20083000,11302000,27129000,38431000,None,None,None,-281000,None,188000,None,14000,20271000,1921000,None,18350000,18298000,20083000,20097000,18350000
AMBA,2016-10-31,USD,66323000,100490000,34167000,34167000,29670000,10686000,25967000,36653000,None,None,None,None,None,132000,None,13000,29802000,757000,None,29045000,28994000,29670000,29683000,29045000
AMBA,2016-07-31,USD,43470000,3282000,21672000,21672000,9262000,10565000,23643000,34208000,None,None,None,None,None,171000,None,None,9433000,801000,None,8632000,8645000,9262000,None,8632000
AMBA,2016-04-30,USD,36707000,57157000,20450000,20450000,1348000,10893000,24466000,35359000,None,None,None,None,None,27000,None,11000,1375000,-408000,None,1783000,1810000,1348000,1359000,1783000
AMBA,2016-01-31,USD,43316000,310410000,24651000,24651000,9106000,10768000,23442000,34210000,None,None,None,-281000,None,207000,None,None,9313000,4217000,None,5096000,5105000,9106000,None,5096000
