SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
APKT,2012-12-31,USD,None,70702000,9596000,9596000,None,60145000,16528000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
APKT,2012-09-30,USD,None,65321000,9854000,9854000,None,58142000,16898000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
APKT,2012-06-30,USD,None,67584000,9869000,9869000,None,54244000,16257000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
APKT,2012-03-31,USD,None,70830000,10978000,10978000,4357000,52537000,15097000,None,None,None,None,None,None,None,None,None,4414000,1985000,None,None,None,None,None,2429000
APKT,2011-12-31,USD,None,82996000,12469000,12469000,17489000,50234000,14221000,None,None,None,None,None,None,None,None,None,17398000,8681000,None,None,None,None,None,8717000
APKT,2011-09-30,USD,None,70621000,8985000,8985000,12945000,45856000,13249000,None,None,None,None,None,None,None,None,None,12772000,4846000,None,None,None,None,None,7926000
APKT,2011-06-30,USD,None,79733000,11998000,11998000,22598000,43243000,12719000,None,None,None,None,None,None,None,None,None,22402000,8394000,None,None,None,None,None,14008000
APKT,2011-03-31,USD,None,73967000,10593000,10593000,21442000,39574000,11294000,None,None,None,None,None,None,None,None,None,21364000,7655000,None,None,None,None,None,13709000
APKT,2010-12-31,USD,None,70232000,9104000,9104000,22330000,36621000,9330000,None,None,None,None,None,None,None,None,None,22134000,7624000,None,None,None,None,None,14510000
APKT,2010-09-30,USD,None,56614000,8394000,8394000,16341000,29814000,8896000,None,None,None,None,None,None,None,None,None,16530000,6065000,None,None,None,None,None,10465000
APKT,2010-06-30,USD,None,53336000,7666000,7666000,14898000,28864000,8646000,None,None,None,None,None,None,None,None,None,15074000,5345000,None,None,None,None,None,9729000
APKT,2010-03-31,USD,None,51050000,7964000,7964000,12829000,28404000,8693000,None,None,None,None,None,None,None,None,None,12818000,4485000,None,None,None,None,None,8333000
APKT,2009-12-31,USD,None,41263000,6510000,6510000,6853000,26312000,7685000,None,None,None,None,None,None,None,None,None,11171000,2096000,None,None,None,None,None,9075000
APKT,2009-09-30,USD,None,36347000,5422000,5422000,5169000,24227000,7271000,None,None,None,None,None,None,None,None,None,5197000,1617000,None,None,None,None,None,3580000
APKT,2009-06-30,USD,None,32861000,4744000,4744000,3904000,22880000,7078000,None,None,None,None,None,None,None,None,None,2764000,1071000,None,None,None,None,None,1693000
APKT,2009-03-31,USD,None,30987000,5228000,5228000,4199000,20633000,6164000,None,None,None,None,None,None,None,None,None,4265000,1507000,None,None,None,None,None,2758000
APKT,2008-12-31,USD,None,30581000,5905000,5905000,3935000,19812000,5595000,None,None,None,None,None,None,None,None,None,4134000,450000,None,None,None,None,None,3684000
APKT,2008-09-30,USD,None,28436000,4502000,4502000,2677000,19766000,6075000,None,None,None,None,None,None,None,None,None,3403000,1369000,None,None,None,None,None,2034000
APKT,2008-06-30,USD,None,25661000,4465000,4465000,629000,19276000,5975000,None,None,None,None,None,None,None,None,None,1391000,575000,None,None,None,None,None,816000
APKT,2008-03-31,USD,None,31680000,4752000,4752000,6967000,18629000,5401000,None,None,None,None,None,None,None,None,None,8259000,3221000,None,None,None,None,None,5038000
APKT,2007-12-31,USD,None,31374000,4400000,4400000,7065000,18557000,5593000,None,None,None,None,None,None,None,None,None,8650000,3493000,None,None,None,None,None,5157000
