SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ARDS,2020-09-30,USD,None,0,None,None,-5792000,1631000,4161000,5792000,None,6000,6000,-6000,None,None,None,None,-5786000,None,None,-5786000,None,-5707000,None,-5786000
ARDS,2020-06-30,USD,1000000,1000000,None,None,-4230000,1583000,3647000,5230000,None,10000,10000,-10000,None,None,None,None,-4220000,None,None,-4220000,None,-4147000,None,-4220000
ARDS,2020-03-31,USD,None,0,None,None,-6556000,1639000,4917000,6556000,None,61000,61000,None,None,52000,None,None,-6504000,None,None,-6504000,None,-6472000,None,-6504000
ARDS,2019-12-31,USD,None,0,None,None,-5689000,1388000,4301000,5689000,None,82000,41000,None,None,None,None,None,-5648000,None,None,-5648000,None,-5604000,None,-5648000
ARDS,2019-09-30,USD,-6011000,0,6011000,6011000,-7395000,1384000,6011000,7395000,None,90000,-192000,None,None,-192000,None,None,-7587000,None,None,-7587000,None,-7308000,None,-7587000
ARDS,2019-06-30,USD,-6653000,0,6653000,6653000,-8266000,1613000,6653000,8266000,None,69000,-117000,None,None,-117000,None,None,-8383000,None,None,-8383000,None,-8181000,None,-8383000
ARDS,2019-03-31,USD,-6096000,1022000,7118000,7118000,-7737000,1641000,7118000,8759000,None,116000,-326000,None,None,-326000,None,None,-8063000,None,None,-8063000,None,-7656000,None,-8063000
ARDS,2018-12-31,USD,-4192000,1390000,5582000,5582000,-5577000,1385000,6011000,6967000,None,None,None,0,None,None,None,None,-5439000,0,None,-5439000,None,-5494000,None,-5439000
ARDS,2018-09-30,USD,-5885000,1022000,6907000,6907000,-6620000,735000,6907000,6620000,None,None,None,0,None,99000,None,None,-6521000,0,None,-6521000,None,-5156000,None,-7909000
ARDS,2018-06-30,USD,-3863000,22000,3885000,3885000,-4550000,687000,3885000,4550000,None,None,None,0,None,3126000,None,None,-1424000,0,None,-1424000,None,-7535000,None,-1424000
ARDS,2018-03-31,USD,-6304000,322000,6626000,6626000,-7370000,1066000,6626000,7692000,None,None,None,0,None,None,None,None,-7334000,0,None,-7334000,None,-7370000,None,-7334000
ARDS,2017-12-31,USD,-16578000,793000,5208000,5208000,-19738000,3160000,4602000,20598000,None,None,None,0,None,None,None,None,-24656000,0,None,-24656000,None,-19738000,None,-24656000
ARDS,2017-09-30,USD,-3785000,23000,5494000,5494000,-4360000,649000,4859000,4330000,None,None,None,75000,None,None,None,None,-6763000,0,None,-6763000,None,-5476000,None,-6763000
ARDS,2017-06-30,USD,3263000,22000,3994000,3994000,3565000,829000,3159000,-3453000,None,None,None,-225000,None,None,None,None,7819000,0,None,7819000,None,-1794000,None,7819000
ARDS,2017-03-31,USD,522000,22000,5840000,5840000,795000,273000,4818000,-877000,None,None,None,150000,None,None,None,None,-1056000,0,None,-1056000,None,795000,None,-1056000
ARDS,2016-12-31,USD,-5919000,2269000,10130000,10130000,-7884000,1965000,6261000,10153000,None,None,None,-366000,None,None,None,None,-8422000,0,None,-8422000,None,-7884000,None,-8422000
