SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ARLO,2020-12-31,USD,24538000,114897000,90298000,90298000,-15669000,24931000,15266000,40207000,None,42000,42000,-42000,114855000,599000,1800000,200000,-15028000,182000,None,-15210000,-15198000,-15669000,-15469000,-15210000
ARLO,2020-09-30,USD,21409000,110291000,88827000,88827000,-17961000,23857000,15436000,39370000,None,74000,74000,-74000,110217000,543000,2200000,388000,-17344000,115000,None,-17459000,-17482000,-17961000,-17573000,-17459000
ARLO,2020-06-30,USD,5489000,66783000,61143000,61143000,-30335000,21550000,14192000,35824000,None,151000,151000,-151000,66632000,1111000,2300000,356000,-29073000,183000,None,-29256000,-29359000,-30335000,-29979000,-29256000
ARLO,2020-03-31,USD,3953000,66277000,61497000,61497000,-40899000,29822000,15243000,44852000,None,535000,535000,-535000,65742000,1183000,2400000,356000,-39181000,145000,None,-39326000,-39207000,-40899000,-40543000,-39326000
ARLO,2019-12-31,USD,13706000,177861000,108707000,108707000,21798000,29708000,16928000,-8092000,None,567000,567000,None,177294000,775000,2600000,300000,23140000,3525000,None,19660000,19567000,21798000,22098000,19615000
ARLO,2019-09-30,USD,10503000,106712000,95613000,95613000,-31054000,24719000,16701000,41557000,None,596000,596000,-596000,106116000,154000,2400000,437000,-30304000,286000,None,-30635000,-30595000,-31054000,-30617000,-30590000
ARLO,2019-06-30,USD,9650000,83598000,73948000,73948000,9650000,25425000,17594000,43736000,None,712000,712000,-712000,83598000,31000,2200000,381000,-33343000,349000,None,9301000,9301000,9650000,10031000,-33692000
ARLO,2019-03-31,USD,1945000,57880000,55935000,55935000,1945000,24757000,18161000,43824000,None,862000,862000,-862000,57880000,-47000,2000000,381000,-41064000,220000,None,1725000,1725000,1945000,2326000,-41284000
ARLO,2018-12-31,USD,4981000,122158000,117177000,117177000,4981000,24126000,16865000,-41723000,None,736000,None,None,122158000,-254000,1500000,300000,-39131000,-58000,None,5039000,5039000,4981000,12276000,-39073000
ARLO,2018-09-30,USD,29747000,131174000,101427000,101427000,29747000,21200000,16100000,43123000,None,503000,None,-503000,131174000,-129000,1100000,400000,-13002000,223000,None,29524000,29524000,29747000,-12976000,-13225000
ARLO,2018-06-30,USD,28294000,110948000,82654000,82654000,-16165000,19386000,13804000,44459000,None,None,None,None,None,-1369000,700000,None,-17534000,288000,None,-17822000,-17822000,-16165000,None,-17822000
