SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ATHM,2020-12-31,CNY,2215088000,2483094000,268006000,268006000,947175000,941100000,396894000,1535919000,None,136038000,136038000,None,None,None,None,None,1077520000,-70883000,None,1148403000,None,947175000,None,1146902000
ATHM,2020-09-30,CNY,2065483000,2315568000,250085000,250085000,744176000,1118969000,349010000,1571392000,None,135091000,135091000,None,None,None,None,None,878987000,31914000,None,847073000,None,744176000,None,846671000
ATHM,2020-06-30,CNY,2048051000,2313268000,265217000,265217000,870749000,954908000,326385000,-103991000,None,128869000,128869000,None,None,None,None,None,999258000,174430000,None,824828000,None,870749000,None,824477000
ATHM,2020-03-31,CNY,1368767000,1546629000,177862000,177862000,463456000,613373000,291938000,-122471000,None,137391000,137391000,None,None,None,None,None,712747000,125484000,None,587263000,None,595043000,None,587179000
ATHM,2019-12-31,CNY,2064552000,2329662000,265110000,265110000,969665000,794696000,300191000,-132864000,None,117536000,117536000,0,None,0,None,None,1222294000,114101000,None,1108193000,None,969665000,None,1108073000
ATHM,2019-09-30,CNY,1923101000,2170199000,247098000,247098000,496988000,1064426000,361687000,-143558000,None,124008000,124008000,0,None,0,None,None,763265000,119450000,None,643815000,None,641962000,None,643705000
ATHM,2019-06-30,CNY,2045332000,2308962000,263630000,263630000,710021000,974708000,360603000,-125239000,None,114206000,114206000,0,None,0,None,None,949377000,147285000,None,802092000,None,710021000,None,801879000
ATHM,2019-03-31,CNY,1427474000,1611928000,184454000,184454000,581419000,577482000,268573000,-76038000,None,114221000,112639000,0,None,0,None,None,766070000,119525000,None,646545000,None,581419000,None,646309000
ATHM,2018-12-31,CNY,1937683000,2187782000,250099000,250099000,2762833.97,837983000,909752.90,-95535000,None,None,None,0,None,0,None,None,3044734.86,-66895.54,None,3111630.40,None,2762833.97,None,3119643.98
ATHM,2018-09-30,USD,1673075000,1888432000,215357000,215357000,101646697.43,776778000,43276070.40,-99163000,None,None,None,0,None,0,None,None,120943964.83,21939757.46,None,99004207.37,None,101646697.43,None,99189244.27
ATHM,2018-06-30,USD,1660192000,1868883000,208691000,208691000,112231403.72,674409000,46958758.25,-75697000,None,None,None,0,None,0,None,None,125136172.77,21753749.25,None,103382423.52,None,112231403.72,None,103723755.25
ATHM,2018-03-31,USD,1141913000,1288054000,146141000,146141000,83306583.87,460912000,36428628.29,-70996000,None,None,None,0,None,None,None,None,93202611.26,16544064.96,None,76658546.29,None,83306583.87,None,76870153.65
ATHM,2017-12-31,USD,1428766000,1751440000,322674000,322674000,100675000,561028000,44552000,4945000,None,None,None,0,None,None,None,None,110470000,242136000,None,2143422000,None,2154050000,None,119666000
ATHM,2017-09-30,USD,1244384000,1548412000,304028000,304028000,79234000,509772000,31180000,-2850000,None,None,None,0,None,None,None,None,88835000,24946000,None,309563000,None,402884000,None,64041000
ATHM,2017-06-30,USD,1274578000,1561968000,287390000,287390000,83673000,491961000,31769000,-556000,None,None,None,0,None,None,None,None,91087000,14932000,None,-783461000,None,-862553000,None,76368000
ATHM,2017-03-31,USD,903768000,1348361000,444593000,444593000,50460000,366709000,27564000,-10116000,None,None,None,0,None,None,None,None,57200000,9993000,None,324935000,None,357449000,None,47568000
ATHM,2016-12-31,USD,3643006000,260490000,125296000,125296000,33003000,99780000,21097000,3874913000,None,None,None,0,None,None,None,None,36967000,22753000,None,1216223000,None,1469793000,None,47748000
ATHM,2016-09-30,USD,1489823000,221176000,85222000,85222000,44166000,89270000,22336000,2632386000,None,None,None,0,None,None,None,None,47558000,9876000,None,0,None,-115471000,None,39127000
ATHM,2016-06-30,USD,-1925000000,207403000,67213000,67213000,58950000,78673000,20948000,-2613000000,None,None,None,0,None,None,None,None,62536000,10667000,None,0,None,-380000000,None,52039000
ATHM,2016-03-31,USD,710000000,169582000,56901000,56901000,30000000,80123000,17911000,900000000,None,None,None,0,None,None,None,None,32811000,-33000000,None,0,None,193000000,None,37942000
ATHM,2015-12-31,USD,3064345000,154003000,36969000,36969000,46780000,67846000,11503000,2264168000,None,None,None,0,None,None,None,None,50416000,9745000,None,990649000,None,1199807000,None,40671000
