SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
AZEK,2020-12-31,USD,72976000,212278000,139302000,139302000,19735000,53029000,1800000,68178000,None,-6196000,None,6196000,-212000,None,11627000,12643000,13539000,3356000,6196000,10183000,10183000,19735000,32378000,10183000
AZEK,2020-09-30,USD,90264000,263920000,173656000,288408000,-62091000,149945000,2000000,167888000,None,-6297000,None,6297000,-559000,None,11034000,13522000,-68437000,-4078000,6346000,-64359000,-64359000,-62091000,-48569000,-64359000
AZEK,2020-06-30,USD,75123000,223711000,148588000,148588000,7970000,65164000,1700000,65164,None,-25148000,None,25148000,None,None,12700000,None,-54716000,-2600000,None,-52116000,-52116000,7970000,None,-52116000
AZEK,2020-03-31,USD,79372000,245585000,166213000,148588000,26564000,66787000,None,65164,None,-19975000,-19975000,20971000,None,None,None,None,6488000,2400000,None,4088000,None,30398000,None,4088000
AZEK,2019-12-31,USD,51291000,166043000,114752000,152526000,5840000,46684000,None,160203000,None,-19759000,-19759000,18763000,None,None,None,None,-13846000,-800000,None,-9846000,None,45649000,None,-9846000
AZEK,2019-09-30,USD,69476000,215534000,146058000,114752000,19971000,45451000,None,195563000,None,-19992000,-19992000,18996000,None,None,None,None,-44000,558500,None,-920000,None,28985000,None,-920000
AZEK,2019-06-30,USD,75410000,221307000,145897000,146058000,23228000,49505000,None,198079000,None,-21440000,-21440000,20444000,None,None,None,None,1752000,241000,None,1511000,None,43270000,None,1511000
AZEK,2019-03-31,USD,67405000,219931000,152526000,145897000,20532000,52182000,None,199210000,None,-21283000,-21283000,21283000,None,None,None,None,-751000,None,None,-1516000,None,45475000,None,-1516000
AZEK,2018-12-31,USD,40906000,137431000,96525000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-19271000
AZEK,2018-09-30,USD,56003000,191137000,135134000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4564000
AZEK,2018-06-30,USD,51361000,184406000,133045000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-10228000
AZEK,2018-03-31,USD,65211000,200863000,135652000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9072000
AZEK,2017-12-31,USD,29461000,105399000,75938000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12465000
