SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
BCC,2020-12-31,USD,233470000,1466652000,1233182000,1233182000,99100000,120103000,None,126961000,41000,-6167000,-5315000,6167000,1472787000,-5614000,None,608000,87359000,61358000,6167000,26001000,74655000,99100000,99708000,26001000
BCC,2020-09-30,USD,2720236000,1568639000,1261697000,1261697000,158572000,148944000,None,149547000,113000,-7002000,-6477000,7002000,1575610000,-13745000,None,603000,137825000,34633000,20970000,103192000,103343000,158572000,159175000,103192000
BCC,2020-06-30,USD,-1055088000,1236574000,1048902000,1048902000,51770000,122321000,None,122911000,190000,-6633000,190000,6633000,1243169000,-217000,None,552000,44920000,11334000,6633000,33586000,33736000,51770000,52322000,33586000
BCC,2020-03-31,USD,-999525000,1163279000,992270000,992270000,25547000,115547000,None,117663000,655000,-6421000,655000,6421000,1169661000,-2919000,None,447000,16207000,4007000,6421000,12200000,12415000,25547000,25994000,12200000
BCC,2019-12-31,USD,-4487321000,1101700000,939375000,939375000,24800000,117288000,None,119076000,1066000,-6596000,1066000,6596000,1101952000,1173000,None,446000,19352000,4705000,6596000,14647000,11147000,24800000,25246000,14647000
BCC,2019-09-30,USD,2456169000,1269500000,1078924000,1078924000,44900000,125170000,None,125580000,837000,-6532000,837000,6532000,1269324000,-1545000,None,410000,36821000,9650000,6532000,27171000,28140000,44900000,45310000,27171000
BCC,2019-06-30,USD,1230100000,1230100000,1049655000,1049655000,45100000,115652000,None,116037000,416000,-6486000,416000,6486000,1230329000,-1177000,None,385000,54851000,9751000,6486000,45100000,45100000,45100000,45485000,45100000
BCC,2019-03-31,USD,1042100000,1042100000,897822000,897822000,21700000,103701000,None,104076000,492000,-6437000,-6766000,6437000,1042248000,-628000,None,None,24900000,3200000,6437000,21700000,21700000,21700000,None,21700000
BCC,2018-12-31,USD,1065800000,1065800000,940878000,940878000,-84300000,105603000,None,145167000,648000,-6666000,None,6666000,1065133000,-2489000,None,None,-93432000,-21186000,6666000,-84300000,-84300000,-84300000,None,-84300000
BCC,2018-09-30,USD,1338500000,1338500000,0,1163020000,30500000,110286000,None,11300000,500000,-6585000,None,6585000,1338675000,-10836000,None,None,13034000,-814000,6585000,30500000,30500000,30500000,None,30500000
BCC,2018-06-30,USD,1408100000,1408100000,0,1193918000,74100000,116818000,None,116818000,237000,-6580000,None,6580000,1407960000,-11816000,None,None,55660000,13835000,6580000,74100000,74100000,74100000,None,74100000
BCC,2018-03-31,USD,1182800000,1182800000,0,1009778000,51800000,99242000,None,99242000,264000,-6362000,None,6362000,1182578000,1398000,None,None,46840000,9790000,6362000,51800000,51800000,51800000,None,51800000
BCC,2017-12-31,USD,1086334000,1086334000,0,946894000,21600000,101209000,None,101209000,293000,-6220000,None,6220000,589000,1882000,None,None,17264000,-1858000,6220000,19122000,24666000,21600000,None,19122000
BCC,2017-09-30,USD,1220439000,1220439000,0,1045772000,56008000,104040000,None,104040000,167000,-6295000,None,6295000,90000,224000,None,None,49937000,18276000,6295000,31661000,31932000,56008000,None,31661000
BCC,2017-06-30,USD,1132461000,1132461000,0,980226000,42449000,97901000,None,97901000,54000,-6491000,None,6491000,13000,-657000,None,None,35301000,13147000,6491000,22154000,22406000,42449000,None,22154000
BCC,2017-03-31,USD,968107000,968107000,0,846767000,21094000,87273000,None,87273000,33000,-6364000,None,6364000,28000,356000,None,None,15086000,5066000,6364000,10020000,10263000,21094000,None,10020000
BCC,2016-12-31,USD,907359000,907359000,0,5984793000,-3000000,90429000,None,90429000,154000,-7328000,None,7328000,-4846000,-9771000,None,None,-10046000,-14141000,12107000,4095000,12968000,-3000000,None,4095000
BCC,2016-09-30,USD,1050514000,1050514000,0,-922101000,31307000,94393000,None,94393000,60000,-7135000,None,7135000,-9565000,-40000,None,None,15503000,5522000,16660000,9981000,10340000,31307000,None,9981000
BCC,2016-06-30,USD,1037374000,1037374000,0,-894715000,37867000,92467000,None,92467000,27000,-6427000,None,6427000,28000,28000,None,None,29963000,10735000,6427000,19228000,19522000,37867000,None,19228000
BCC,2016-03-31,USD,875091000,875091000,0,-769544000,13405000,84093000,None,84093000,149000,-5802000,None,5802000,198000,198000,None,None,7881000,2931000,5802000,4950000,5427000,13405000,None,4950000
