SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
BLCM,2020-09-30,USD,-715000,-715000,0,None,-12303000,4163000,8140000,12303000,None,-715000,10000,725000,0,12141000,None,18000,-887000,None,725000,-887000,-851000,-12303000,-12285000,-887000
BLCM,2020-06-30,USD,-735000,-735000,0,None,-11758000,3761000,11758000,15519000,None,-735000,28000,763000,0,-30673000,None,18000,-43194000,None,763000,-43194000,-43243000,-11758000,-11740000,-43194000
BLCM,2020-03-31,USD,-631000,-631000,0,None,-14619000,4171000,10448000,14619000,None,-631000,354000,985000,0,-3000000,None,18000,17576000,None,985000,17576000,17563000,-14619000,-14601000,17576000
BLCM,2019-12-31,USD,-533000,4397000,4930000,-203000,-13900000,5709000,13527000,19033000,None,-736000,307000,1043000,5133000,-3000,1600000,19000,-29021000,None,1043000,-14138000,-29171000,-13900000,-13881000,-28981000
BLCM,2019-09-30,USD,-2866000,-653000,2213000,0,-23437000,9209000,14331000,23540000,None,-756000,323000,1079000,103000,-7527000,1700000,18000,-32043000,None,1079000,-32032000,-32063000,-23437000,-23419000,-32032000
BLCM,2019-06-30,USD,614000,1391000,777000,173000,-26159000,7518000,20032000,27550000,None,-777000,311000,1088000,1391000,311000,1913000,18000,-26936000,None,1088000,-26159000,-26977000,-26159000,-26141000,-26936000
BLCM,2019-03-31,USD,-660000,516000,1176000,30000,-23868000,7536000,16848000,24384000,None,-660000,410000,1070000,516000,461000,1787000,None,-24528000,None,1070000,-23868000,-24449000,-23868000,None,-24528000
BLCM,2018-12-31,USD,-324000,-331000,-7000,117000,-26567000,6971000,20227000,26879000,None,-643000,443000,1086000,312000,422000,1782000,None,-27231000,None,1086000,-5620000,-27329000,-26567000,None,-27220000
BLCM,2018-09-30,USD,-573000,-281000,139000,139000,-23228000,6968000,16413000,23520000,None,-573000,492000,1065000,292000,525000,1751000,None,-23768000,None,1065000,-23801000,-23768000,-23228000,None,-23801000
BLCM,2018-06-30,USD,-608000,362000,150000,150000,-23567000,5367000,18412000,23929000,None,-608000,437000,1045000,362000,473000,1739000,None,-24139000,None,1045000,-23567000,-24139000,-23567000,None,-24175000
BLCM,2018-03-31,USD,-612000,-582000,30000,30000,-22104000,5692000,16536000,22258000,None,-736000,267000,1003000,154000,209000,1426000,None,-22898000,None,1003000,-22840000,-22898000,-22104000,None,-22840000
BLCM,2017-12-31,USD,-2568000,-2553000,15000,15000,-19445000,5053000,14308000,19376000,None,-698000,267000,965000,-2040000,-1570000,1040000,None,-21980000,None,2751000,-57942000,-21980000,-19445000,None,-21918000
BLCM,2017-09-30,USD,-751000,-600000,151000,151000,-22705000,4579000,18101000,22831000,None,-726000,284000,1010000,126000,306000,876000,None,-23409000,None,1010000,-23431000,-23409000,-22705000,None,-23431000
BLCM,2017-06-30,USD,-1012000,-669000,343000,343000,-23788000,5486000,17959000,23788000,None,-669000,307000,976000,0,291000,866000,None,-24473000,None,976000,-24457000,-24473000,-23788000,None,-24457000
BLCM,2017-03-31,USD,-751000,-396000,355000,355000,-21449000,5927000,15295000,21577000,None,-524000,197000,721000,128000,190000,782000,None,-21980000,None,721000,-21973000,-21980000,-21449000,None,-21973000
BLCM,2016-12-31,USD,-914000,-334000,300000,300000,-19513000,4210000,14804000,19594000,None,-415000,222000,637000,None,549000,687000,None,-19601000,None,637000,-44842000,-19999000,-19513000,None,-19938000
BLCM,2016-09-30,USD,-177000,-177000,0,0,-17428000,4252000,13290000,17542000,None,-291000,224000,515000,None,206000,668000,None,-17737000,None,515000,-17719000,-17737000,-17428000,None,-17719000
BLCM,2016-06-30,USD,-149000,-149000,150000,150000,-16259000,4179000,12181000,16360000,None,-250000,236000,486000,None,236000,488000,None,-16509000,None,486000,-16509000,-32866000,-16259000,None,-16509000
BLCM,2016-03-31,USD,197000,197000,130000,130000,-15180000,4284000,10988000,15272000,None,105000,227000,122000,None,227000,463000,None,-15075000,None,122000,-15075000,-29904000,-15180000,None,-15075000
BLCM,2015-12-31,USD,-2953000,231000,3184000,16609000,-17005000,3816000,10039000,17039000,None,197000,None,12000,None,-133000,431000,None,-17150000,None,12000,-34581000,14754000,-17005000,None,-16848000
