SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
BL,2020-12-31,USD,76528000,89687000,19182000,19182000,-7192000,65679000,18041000,94656000,None,-5971000,360000,5971000,95658000,-5611000,None,6277000,-17154000,-169000,5971000,-12634000,-12558000,-7192000,-915000,-16985000
BL,2020-09-30,USD,73175000,84480000,16982000,16982000,-2036000,60382000,14829000,80622000,None,-5914000,648000,5914000,90394000,-5266000,None,5178000,-8151000,600000,5914000,-7857000,-7807000,-2036000,3142000,-8751000
BL,2020-06-30,USD,66529000,77531000,16743000,16743000,-3326000,58008000,11847000,69855000,None,-5741000,1085000,5741000,83272000,-4656000,None,4867000,-8373000,-41000,5741000,-7941000,-6736000,-3326000,1541000,-8332000
BL,2020-03-31,USD,66533000,76087000,16065000,16065000,-7337000,62123000,11747000,78509000,None,-5685000,2409000,5685000,81772000,-3276000,None,4570000,-12486000,357000,5685000,-10970000,-10953000,-7337000,-2767000,-12843000
BL,2019-12-31,USD,65137000,74687000,15121000,15121000,-4737000,59562000,10312000,74345000,None,-5644000,2538000,5644000,80331000,-3106000,None,4471000,-8317000,869000,5644000,-8712000,-8284000,-4737000,-266000,-9186000
BL,2019-09-30,USD,59633000,71782000,15292000,15292000,-7861000,55936000,11558000,72905000,None,-845000,2161000,3006000,74788000,-845000,None,5327000,-9036000,170000,None,-8876000,-8385000,-7861000,-2534000,-9206000
BL,2019-06-30,USD,54720000,69664000,14944000,14944000,54720000,49869000,10829000,60698000,None,734000,734000,None,69664000,734000,None,5787000,-5079000,283000,None,54720000,-5527000,54720000,60507000,-5362000
BL,2019-03-31,USD,50511000,64129000,13618000,13618000,50511000,49527000,10307000,65548000,None,695000,695000,None,64129000,695000,None,5689000,-8378000,403000,None,50511000,-9031000,50511000,56200000,-8781000
BL,2018-12-31,USD,48431000,62316000,13885000,13885000,48431000,48102000,8753000,62359000,None,None,None,-3006000,62316000,662000,None,5569000,-7700000,32000,None,48431000,-8205000,48431000,-2855000,-8143000
BL,2018-09-30,USD,45217000,58734000,13517000,13517000,45217000,42977000,7261000,56098000,None,None,None,None,58734000,578000,None,5836000,-4443000,17000,None,45217000,-4766000,45217000,815000,-4766000
BL,2018-06-30,USD,43588000,55454000,11866000,11866000,43588000,44608000,7811000,52419000,None,None,None,8000,55454000,507000,None,5537000,-8324000,133000,None,43588000,-8553000,43588000,-3294000,-8553000
BL,2018-03-31,USD,39678000,51284000,11606000,11606000,39678000,40309000,6929000,52581000,None,None,None,-4000,51284000,385000,None,5394000,-7175000,-20000,None,39678000,-7252000,39678000,-2166000,-7252000
BL,2017-12-31,USD,39252000,50233000,10981000,10981000,-5708000,38926000,6034000,50108000,None,None,None,-19000,-125186000,320000,None,5185000,-5388000,457000,None,-5845000,-5876000,-5708000,-523000,-5845000
BL,2017-09-30,USD,34973000,45871000,10898000,10898000,-13205000,42295000,5883000,53867000,None,None,None,6000,45424000,275000,None,5087000,-12930000,162000,None,-13092000,-13051000,-13205000,-8118000,-13092000
BL,2017-06-30,USD,31918000,42293000,10375000,10375000,-7852000,33761000,6009000,39770000,None,None,None,3000,41981000,-2249000,None,4908000,-10101000,13000,None,-10114000,-10148000,-7852000,-2944000,-10114000
BL,2017-03-31,USD,29402000,38634000,9232000,9232000,-8295000,31749000,5948000,42488000,None,None,None,4000,38181000,-780000,None,4791000,-9075000,-65000,None,-9010000,-9008000,-8295000,-3504000,-9010000
BL,2016-12-31,USD,26673000,35340000,8667000,8667000,-8709000,29809000,5573000,42590000,None,None,None,1198000,None,-8978000,None,4734000,-17687000,-2023000,None,-15664000,-15705000,-8709000,-3975000,-15664000
BL,2016-09-30,USD,24655000,32196000,7541000,7541000,-7167000,26735000,5087000,31822000,None,None,None,1294000,None,-1294000,None,4356000,-8461000,-1842000,None,-6619000,-6619000,-7167000,-2811000,-6619000
BL,2016-06-30,USD,21963000,29026000,7063000,4328000,-8259000,28653000,5193000,None,None,None,None,979000,None,-679000,None,4223000,-8938000,-1397000,None,None,-7541000,-8259000,-4036000,-7541000
BL,2016-03-31,USD,19621000,26561000,6940000,4318000,-9799000,27869000,5272000,None,None,None,None,865000,None,-861000,None,4111000,-10660000,-1325000,None,None,-9335000,-9799000,-5688000,-9335000
