SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
BRX,2020-12-31,USD,269410000,269410000,73539000,73539000,269410000,23499000,None,184532000,None,-51791000,0,51791000,269410000,-2500000,None,84249000,24404000,None,69402000,538820000,1077640000,76195000,None,1077640000
BRX,2020-09-30,USD,215717000,216624000,907000,66918000,27817000,27748000,None,187900000,None,-50991000,0,50991000,253885000,-780000,None,87488000,27944000,None,51041000,-7797000,30808000,158489000,None,27944000
BRX,2020-06-30,USD,247620000,247620000,66944000,66944000,247620000,24436000,None,178171000,None,-49852000,0,49852000,247620000,-961000,None,80829000,9044000,None,60238000,495240000,8225000,155279000,None,990480000
BRX,2020-03-31,USD,282301000,282301000,897000,73220000,282301000,22597000,None,183432000,None,-47354000,0,47354000,282301000,-758000,None,83017000,59781000,None,47359000,564602000,36082000,185726000,None,1129204000
BRX,2019-12-31,USD,293149000,293149000,75523000,75523000,293149000,27141000,None,192204000,None,-46936000,0,46936000,293149000,-575000,None,82606000,62059000,None,46936000,586298000,1172596000,189910000,None,1172596000
BRX,2019-09-30,USD,269193000,270073000,880000,73261000,80375000,24550000,None,188818000,None,-47698000,0,47698000,292022000,-401000,None,82837000,80854000,None,48641000,119269000,75534000,194753000,None,80854000
BRX,2019-06-30,USD,291005000,291005000,72496000,72496000,291005000,25175000,None,185450000,None,-48475000,0,48475000,291005000,-756000,None,81593000,68960000,None,49182000,582010000,55025000,192578000,None,1164020000
BRX,2019-03-31,USD,291139000,291139000,827000,74584000,291139000,25443000,None,188534000,None,-46666000,0,46666000,291139000,-818000,None,85395000,62900000,None,46636000,582278000,52975000,190294000,None,1164556000
BRX,2018-12-31,USD,297655000,297655000,76895000,76895000,297655000,28641000,None,203599000,None,-49290000,0,49290000,-333711000,-586000,None,85345000,77554000,None,66204000,595310000,207790000,187909000,None,1190620000
BRX,2018-09-30,USD,44366000,44366000,76680000,76680000,-158172000,21209000,None,202538000,None,-55364000,0,55364000,-19759000,-962000,None,85183000,147346000,844000,75123000,-313100000,146104000,204535000,None,147346000
BRX,2018-06-30,USD,-27125000,-27125000,78828000,78828000,-231483000,21320000,None,204358000,None,-55200000,0,55200000,-291000,-1185000,None,91334000,80362000,902000,55491000,-511937000,-535000,210748000,None,80362000
BRX,2018-03-31,USD,895562000,895562000,81215000,81215000,683221000,22426000,None,212341000,None,-55171000,0,55171000,316665000,-53000,None,90383000,61022000,214000,55303000,1305232000,4687000,211066000,None,61022000
BRX,2017-12-31,USD,320060000,320060000,78627000,78627000,320060000,25204000,None,207840000,None,-56076000,0,56076000,-749966000,-316000,None,89988000,69896000,-542000,56066000,640120000,1280240000,214613000,None,1280240000
BRX,2017-09-30,USD,752146000,752146000,75581000,75581000,547207000,22838000,None,204939000,None,-57410000,0,57410000,248406000,-1200000,None,94239000,78793000,542000,55582000,78824000,82407000,213692000,None,83380000
BRX,2017-06-30,USD,322818000,322818000,77089000,77089000,322818000,23248000,None,209596000,None,-57443000,0,57443000,253699000,-684000,None,96870000,75275000,958000,57521000,645636000,72326000,220203000,None,1291272000
BRX,2017-03-31,USD,325806000,325806000,83892000,83892000,325806000,20957000,None,205516000,None,-55731000,0,55731000,248359000,-707000,None,93931000,71468000,1009000,56993000,651612000,74199000,219387000,None,1303224000
BRX,2016-12-31,USD,324034000,324034000,175374000,175374000,324034000,22539000,None,200516000,None,-55189000,0,55189000,259555000,-699000,None,92668000,93189000,728000,55072000,648068000,1296136000,148507000,None,1296136000
BRX,2016-09-30,USD,755487000,755487000,179161000,179161000,552321000,21787000,None,203166000,None,-57855000,0,57855000,246817000,-1370000,None,98337000,58620000,815000,58897000,57805000,58759000,115660000,None,57492000
BRX,2016-06-30,USD,310057000,310057000,165916000,165916000,310057000,27198000,None,194735000,None,-56184000,0,56184000,245668000,-1981000,None,95818000,66450000,980000,56091000,620114000,65623000,121535000,None,1240228000
BRX,2016-03-31,USD,323104000,323104000,179921000,179921000,323104000,20724000,None,203385000,None,-57443000,0,57443000,251146000,-907000,None,100479000,62358000,809000,57443000,646208000,60538000,118992000,None,1292416000
