SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
CDXS,2020-12-31,USD,15159000,21019000,5860000,5860000,-3924000,8742000,10355000,19123000,43000,43000,43000,0,21033000,-31000,547000,26000,-3912000,8000,None,-3920000,-3920000,-3924000,-3898000,-3920000
CDXS,2020-09-30,USD,14704000,18346000,3682000,3642000,-6064000,8797000,12010000,20832000,39000,39000,39000,0,18386000,-50000,503000,27000,-6075000,19000,None,-6094000,-6094000,-6064000,-6037000,-6094000
CDXS,2020-06-30,USD,13267000,14966000,1699000,1699000,-6107000,8522000,10853000,19420000,57000,57000,57000,1000,14967000,13000,462000,45000,-6037000,307000,None,-6344000,-6344000,-6107000,-6062000,-6344000
CDXS,2020-03-31,USD,-2386000,14825000,2541000,2541000,-7827000,8989000,10967000,20010000,266000,266000,266000,0,14670000,-86000,438000,54000,-7647000,5000,None,-7652000,-7652000,-7827000,-7773000,-7652000
CDXS,2019-12-31,USD,14527000,17929000,3402000,3402000,-947000,7322000,8873000,16251000,358000,358000,358000,2000,18648000,-41000,452000,54000,-630000,5000,None,-635000,-635000,-947000,-893000,-635000
CDXS,2019-09-30,USD,17101000,22168000,5067000,5067000,259000,7869000,8711000,16632000,479000,480000,480000,2000,21908000,-403000,425000,54000,336000,-7000,None,343000,343000,259000,313000,343000
CDXS,2019-06-30,USD,9798000,12570000,2772000,2772000,-6623000,7896000,8274000,16224000,220000,220000,220000,3000,12319000,-88000,374000,54000,-6491000,16000,None,-6507000,-6507000,-6623000,-6569000,-6507000
CDXS,2019-03-31,USD,-4184000,15790000,4391000,4391000,-5239000,8415000,8016000,16485000,231000,231000,231000,None,15583000,-125000,319000,None,-5133000,3000,None,-5136000,-5136000,-5239000,None,-5136000
CDXS,2018-12-31,USD,58202000,16068000,2392000,2392000,-644000,6806000,7514000,16712000,227000,None,None,None,16060000,-70000,335000,None,-487000,-26000,None,-461000,-461000,-644000,None,-461000
CDXS,2018-09-30,USD,-31372000,16946000,3792000,3791000,-2106000,7344000,7917000,19052000,199000,None,None,None,16947000,-80000,309000,None,-1987000,1000,None,-1988000,-1988000,-2106000,None,-1988000
CDXS,2018-06-30,USD,10927000,13538000,2611000,2611000,-3838000,7395000,7370000,17376000,174000,None,None,None,13538000,-82000,265000,None,-3746000,-11000,None,-3735000,-3735000,-3838000,None,-3735000
CDXS,2018-03-31,USD,10217000,14042000,3825000,3825000,-4707000,7746000,7178000,18749000,71000,None,None,None,14041000,-60000,238000,None,-4696000,-2000,None,-4694000,-4694000,-4707000,None,-4694000
CDXS,2017-12-31,USD,18164000,21723000,3559000,3559000,880000,7867000,9417000,6525000,51000,None,None,None,1593000,-12000,247000,None,919000,-51000,None,970000,485000,880000,None,970000
CDXS,2017-09-30,USD,6008000,9984000,3976000,3976000,-10036000,7989000,8055000,20020000,28000,None,None,None,2000,-68000,None,None,-10076000,150000,None,-10226000,-10316000,-10036000,None,-10226000
CDXS,2017-06-30,USD,6557000,10347000,3790000,3790000,-6337000,6546000,6348000,16684000,49000,None,None,None,10347000,-34000,None,None,-6322000,-42000,None,-6280000,-6086000,-6337000,None,-6280000
CDXS,2017-03-31,USD,4969000,7971000,3002000,3002000,-7476000,6606000,5839000,15447000,18000,None,None,None,1000,22000,None,None,-7436000,24000,None,-7460000,-7551000,-7476000,None,-7460000
CDXS,2016-12-31,USD,7682000,9969000,2287000,2287000,-5250000,6968000,5964000,8236000,20000,None,None,None,1207000,-55000,None,None,-5285000,-25000,None,-5260000,-5644000,-5250000,None,-5260000
CDXS,2016-09-30,USD,12114000,14870000,2756000,2756000,1418000,5229000,5467000,13452000,12000,None,None,None,8000,7000,None,None,1437000,0,None,1437000,1850000,1418000,None,1437000
CDXS,2016-06-30,USD,13781000,16002000,2221000,2221000,2249000,6420000,5112000,13753000,13000,None,None,None,0,-49000,None,None,2213000,-26000,None,2239000,1895000,2249000,None,2239000
CDXS,2016-03-31,USD,5507000,7996000,2489000,2489000,-6981000,6802000,5686000,14977000,15000,None,None,None,27000,3000,None,None,-6963000,11000,None,-6974000,-7064000,-6981000,None,-6974000
