SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
CHRS,2020-12-31,RUB,66748000,104415000,37667000,37667000,16425000,37693000,44628000,59215000,None,-5671000,0,5671000,110086000,6000,None,840000,10771000,1063000,5671000,9697000,9693000,16425000,17265000,9708000
CHRS,2020-09-30,RUB,359749000,107895000,-251854000,9000000,33716000,31984000,38851000,79835000,None,-5656000,0,5656000,113551000,56000,None,700000,28116000,183000,5656000,27944000,27935000,33716000,34416000,27933000
CHRS,2020-06-30,RUB,-5408000,130266000,135674000,10139000,65310000,34052000,26173000,70364000,None,-5408000,0,5408000,135674000,423000,None,700000,60325000,1294000,5408000,59031000,58724000,65310000,66010000,59031000
CHRS,2020-03-31,RUB,-4431000,111749000,116180000,6855000,40868000,35350000,33107000,75312000,None,-4431000,0,4431000,116180000,68000,None,607000,36505000,933000,4431000,35572000,36180000,40868000,41475000,35572000
CHRS,2019-12-31,RUB,116051000,119627000,3576000,7805000,45033000,36070000,34948000,78823000,None,-4483000,0,4483000,124110000,721000,None,1055000,41269000,2042000,4483000,39229000,39121000,45033000,46088000,39227000
CHRS,2019-09-30,RUB,105237000,107231000,1994000,6447000,51841000,31828000,21568000,59843000,None,-4469000,0,4469000,111700000,518000,None,800000,47890000,847000,4469000,47041000,47102000,51841000,52641000,47043000
CHRS,2019-06-30,RUB,82832000,83433000,601000,601000,26892000,36456000,18883000,55940000,None,-4433000,0,4433000,83433000,558000,None,700000,23618000,51000,4433000,26892000,23567000,26892000,27592000,23567000
CHRS,2019-03-31,RUB,34873000,37098000,2225000,2225000,-18824000,32683000,18789000,53697000,None,-4216000,0,4216000,37098000,811000,None,691000,-20004000,None,4216000,-18824000,-20004000,-18824000,-18133000,-20004000
CHRS,2018-12-31,RUB,7659000,-2596000,-10255000,26663000,-60502000,33840000,26662000,60502000,None,-2434000,0,2434000,-162000,340000,None,613000,-62596000,None,2434000,-60502000,-62596000,-60502000,-59889000,-62596000
CHRS,2018-09-30,RUB,-2556000,-2556000,27741000,27741000,-56972000,25369000,31603000,56972000,None,-2425000,0,2425000,-131000,571000,None,800000,-58826000,None,2425000,-56972000,-58826000,-56972000,-56172000,-58808000
CHRS,2018-06-30,RUB,-2687000,-2687000,26519000,26519000,-44910000,18391000,26519000,44910000,None,-2417000,0,2417000,-270000,3642000,None,902000,-43685000,None,2417000,-44910000,-43685000,-44910000,-44008000,-43638000
CHRS,2018-03-31,RUB,-2416000,-2416000,25455000,25455000,-42032000,16577000,25455000,42032000,None,-2408000,0,2408000,-8000,138000,None,922000,-44302000,None,2408000,-42032000,-44302000,-42032000,-41110000,-44297000
CHRS,2017-12-31,RUB,-2292000,-2292000,45540000,45540000,-46466000,14978000,31488000,46466000,None,-2400000,0,2400000,108000,-203000,None,926000,-238286000,None,2400000,-46955000,-49072000,-46466000,-45540000,-49067000
CHRS,2017-09-30,RUB,-2447000,-2447000,55845000,55845000,-56615000,13989000,42626000,56615000,None,-2392000,0,2392000,-55000,14000,None,800000,-58993000,None,2392000,-56315000,-59061000,-56615000,-55815000,-58989000
CHRS,2017-06-30,RUB,-1165000,-1165000,53596000,53596000,-56638000,23533000,34500000,58033000,None,-2384000,0,2384000,-176000,3620000,None,838000,-55402000,None,2384000,-53018000,-55202000,-56638000,-55800000,-55336000
CHRS,2017-03-31,RUB,-2044000,-2044000,71713000,71713000,-72417000,18803000,53775000,72578000,None,-2376000,0,2376000,171000,-29000,None,865000,-74822000,None,2376000,-72446000,-74955000,-72417000,-71552000,-74778000
CHRS,2016-12-31,RUB,-1177000,-1177000,73507000,73507000,-73460000,15294000,59010000,74304000,None,-2369000,0,2369000,348000,-115000,None,797000,-211632000,None,2369000,-73575000,-75989000,-73460000,-72663000,-75921000
CHRS,2016-09-30,RUB,186130000,186130000,77465000,77465000,84617000,13645000,64573000,78218000,None,-2420000,0,2420000,-39000,1647000,None,753000,83844000,None,2420000,86264000,83901000,84617000,85370000,83939000
CHRS,2016-06-30,RUB,-2128000,-2128000,76075000,76075000,-62736000,11260000,65544000,76804000,None,-2354000,0,2354000,-92000,-5060000,None,729000,-70150000,None,2354000,-67796000,-70042000,-62736000,-62007000,-69967000
CHRS,2016-03-31,RUB,10904000,10904000,75994000,75994000,-64352000,11398000,65313000,76711000,None,-837000,0,837000,-264000,-349000,None,717000,-65538000,None,837000,-64701000,-65436000,-64352000,-63635000,-65388000
