SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
CRL,2020-12-31,USD,299968000,826474000,526506000,491022000,128927000,143033000,None,180439000,63000,-33147000,63000,33147000,859164000,76584000,None,28901000,171428000,28237000,33147000,90904000,199599000,128927000,157828000,143191000
CRL,2020-09-30,USD,745223000,745223000,0,454026000,132753000,128289000,None,159066000,179000,-18867000,-18688000,18867000,763650000,21211000,None,29197000,135574000,32665000,18867000,121478000,120342000,132753000,161950000,102909000
CRL,2020-06-30,USD,663422000,663422000,0,450346000,76768000,127712000,None,164758000,276000,-19352000,276000,19352000,682584000,26260000,None,28695000,83719000,16284000,19352000,87020000,73637000,76768000,105463000,67435000
CRL,2020-03-31,USD,-26516000,680543000,707059000,454998000,94281000,129901000,None,159290000,316000,-15067000,316000,15067000,695024000,-24071000,None,28830000,55391000,4622000,15067000,65904000,9871000,94281000,123111000,50769000
CRL,2019-12-31,USD,262314000,682278000,419964000,428824000,108789000,129598000,None,165563000,684000,-24362000,684000,24362000,706120000,20454000,None,25013000,105401000,25053000,24362000,80512000,80799000,108789000,133802000,80348000
CRL,2019-09-30,USD,-5912000,662039000,667951000,421835000,92802000,129509000,None,157036000,385000,-5698000,385000,5698000,667354000,-14254000,None,24874000,72493000,-317000,5698000,73552000,60576000,92802000,117676000,72810000
CRL,2019-06-30,USD,-20790000,636778000,657568000,419464000,79768000,135941000,None,160952000,274000,-20835000,274000,20835000,657568000,-213000,None,23326000,58413000,14685000,20835000,44309000,40292000,79768000,103094000,43728000
CRL,2019-03-31,USD,588000,605157000,604569000,392792000,69792000,122574000,None,143534000,179000,-9987000,179000,9987000,615144000,6306000,None,19411000,65735000,10602000,9987000,55688000,65036000,69792000,89203000,55133000
CRL,2018-12-31,USD,226417000,577957000,351540000,375113000,102482000,106918000,None,126404000,118000,-16741000,None,16741000,594698000,-10811000,None,16987000,74515000,14850000,16741000,60198000,46410000,102482000,119469000,59665000
CRL,2018-09-30,USD,-11822000,573473000,585295000,369100000,84362000,113033000,None,136513000,230000,-17197000,None,17197000,590670000,5910000,None,18805000,72771000,12403000,17197000,60902000,54529000,84362000,103167000,60368000
CRL,2018-06-30,USD,-18643000,572852000,591495000,369320000,76710000,120531000,None,141127000,182000,-18643000,None,18643000,585301000,12039000,None,18740000,71147000,17438000,18643000,52850000,24557000,76710000,95450000,53709000
CRL,2018-03-31,USD,181469000,493970000,312501000,312501000,67829000,103372000,None,114278000,282000,-11191000,None,11191000,500421000,6120000,None,10268000,62403000,9772000,11191000,53268000,76235000,67829000,78097000,52631000
CRL,2017-12-31,USD,167749000,478477000,310728000,310728000,62732000,94560000,None,122934000,193000,-7724000,None,7724000,-1368545000,13852000,None,10457000,68248000,98097000,7724000,-29044000,8732000,62732000,73189000,-29849000
CRL,2017-09-30,USD,177204000,464232000,287028000,287028000,73984000,92863000,None,104010000,134000,-7667000,None,7667000,469863000,6488000,None,10357000,72419000,19945000,7667000,52994000,77489000,73984000,84341000,52474000
CRL,2017-06-30,USD,185662000,469129000,283467000,283467000,81310000,94533000,None,105545000,161000,-7403000,None,7403000,469129000,2848000,None,9819000,76195000,22243000,7403000,54673000,87657000,81310000,91129000,53952000
CRL,2017-03-31,USD,171699000,445763000,274064000,274064000,69472000,91490000,None,103344000,202000,-6983000,None,6983000,449866000,15356000,None,10737000,77862000,31084000,6983000,46963000,58510000,69472000,80209000,46778000
CRL,2016-12-31,USD,179881000,466789000,286908000,286908000,69091000,98481000,None,121144000,306000,-7510000,None,7510000,11284000,1838000,None,12309000,63130000,18450000,7510000,45275000,-43338000,69091000,81400000,44680000
CRL,2016-09-30,USD,156270000,425720000,269450000,269450000,58795000,85650000,None,97475000,523000,-7079000,None,7079000,400000,1017000,None,11825000,53300000,15565000,7079000,37691000,22181000,58795000,70620000,37735000
CRL,2016-06-30,USD,169747000,434055000,264308000,264308000,58061000,100473000,None,111686000,222000,-8909000,None,8909000,None,5016000,None,11213000,54052000,18845000,8909000,35545000,27832000,58061000,69274000,35207000
CRL,2016-03-31,USD,140768000,354868000,214100000,214100000,51472000,82944000,None,91196000,263000,-4211000,None,4211000,None,4026000,None,6352000,51118000,13975000,4211000,37575000,29874000,51472000,57824000,37143000
