SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
DNJR,2020-09-30,USD,1698816,7909528,6210712,6210712,121960,405705,None,7787568,None,0,0,None,None,None,None,None,100239,None,None,100239,None,1293111,None,54
DNJR,2019-12-31,USD,29992,40610,-9689,-9689,232490,22480,106979,-95939,None,-1937,5480,None,None,None,None,None,331550,403402,None,-237628,None,116242,None,-323120
DNJR,2019-09-30,USD,4528050,4547430,19380,19380,-1787384,9411110,106979,9743520,None,0,0,None,None,None,None,None,-1787384,403402,None,-1787384,None,-7652320,None,-3007825
DNJR,2019-06-30,USD,4528050,4547430,19380,19380,-5215470,9411110,175691,4881447,None,None,-1246960,-623482,None,None,None,None,-6462430,None,None,-3231213,None,-2607731,None,-6462430
DNJR,2019-03-31,USD,2264027,2273716,9689,9689,-2607731,4705555,175691,4881447,None,None,None,-623482,None,None,None,None,-3231213,None,None,-3231213,None,-2607731,None,-3231213
DNJR,2018-12-31,USD,1490725,4156120,0,0,-3360840,4431050,48469,3134147,None,None,-3310,-4022,None,0,None,None,-3322480,-264305,None,-1396936,None,-447000,None,-2678050
DNJR,2018-09-30,USD,1490725,1490725,0,0,-1643422,3085678,48469,3134147,None,None,None,-4022,None,0,None,None,-1661240,-264305,None,-1396936,None,-1643422,None,-1339027
DNJR,2018-06-30,USD,2453876,2981450,0,0,-824000,6171360,138473,2865876,None,None,18780,-510,None,0,None,None,-675820,33719,None,-371627,None,-3146830,None,-747930
DNJR,2018-03-31,USD,2453876,4907750,0,0,-412000,5454810,138473,2865876,None,None,None,-510,None,0,None,None,-337909,33719,None,-371627,None,-641980,None,-373964
DNJR,2017-12-31,USD,2078059,4156120,4941000,4941000,-556090,4431050,140580,2356105,None,None,10510,-258,None,None,None,None,-482210,-43396,None,-197710,None,-278047,None,-404010
DNJR,2017-09-30,USD,2078059,2078059,-3706000,-3706000,-278047,2215525,140580,2356105,None,None,None,-258,None,None,None,None,-241105,-43396,None,-197710,None,-278047,None,-202006
DNJR,2017-06-30,USD,-2797640,2927000,3706000,3706000,803384,3396332,205000,-3601024,None,None,None,1000,None,None,None,None,786156,184750,None,601406,None,803384,None,538356
DNJR,2017-03-31,USD,1398820,1398820,0,0,-401692,1698166,102346,1800512,None,None,None,-594,None,None,None,None,-393078,-92375,None,-300703,None,-401692,None,-269178
DNJR,2016-12-31,USD,3705770,2671000,1923000,1923000,726000,3071015,177000,3488916,None,None,None,-274,None,None,None,None,728000,182000,None,164811,None,216854,None,542000
DNJR,2016-09-30,USD,0,1154000,-1646000,-1646000,0,0,241000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
DNJR,2016-06-30,USD,0,1154000,1646000,1646000,0,0,241000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
DNJR,2015-12-31,USD,0,0,0,0,-1700316,1341000,359316,1700316,None,None,None,-1212,None,None,None,None,-1700304,-425076,None,-1275228,None,-1700316,None,-1275228
