SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
DNLI,2020-12-31,USD,316815000,316815000,0,None,244078000,17994000,54743000,72737000,-1129000,1630000,None,None,316810000,1630000,None,None,244062000,-823000,None,246531000,244629000,244078000,None,244885000
DNLI,2020-09-30,USD,9393000,9393000,0,None,-60116000,15805000,53704000,69509000,49000,1944000,1944000,None,9388000,1944000,None,None,-58172000,56000,None,-58228000,-58768000,-60116000,None,-58228000
DNLI,2020-06-30,USD,5847000,5847000,0,None,-61277000,13972000,53152000,67124000,418000,2598000,2598000,None,5811000,2598000,None,None,-58679000,79000,None,-58758000,-59042000,-61277000,None,-58758000
DNLI,2020-03-31,USD,3604000,3604000,0,None,-59967000,12555000,51016000,63571000,607000,3069000,3069000,None,3552000,3069000,None,None,-56898000,-135000,None,-56763000,-56278000,-59967000,None,-56763000
DNLI,2019-12-31,USD,-19406000,7272000,26678000,51551000,-57758000,10879000,51551000,62430000,987000,3808000,3808000,-2411000,4961000,None,None,None,-53976000,49000,None,-53999000,-54237000,-57758000,None,-54025000
DNLI,2019-09-30,USD,13604000,13604000,52544000,52544000,-50155000,11215000,52544000,63759000,1298000,3782000,3782000,-2411000,13508000,3782000,None,None,-46373000,-113000,None,-46286000,-46577000,-50155000,None,-46260000
DNLI,2019-06-30,USD,4197000,4197000,51884000,51884000,-62763000,15076000,51884000,66960000,1417000,4113000,4113000,-2411000,4197000,4113000,None,None,-58650000,-313000,None,-62763000,-62763000,-62763000,None,-58337000
DNLI,2019-03-31,USD,4205000,4205000,37403000,37403000,-42508000,9310000,37403000,46713000,1317000,3516000,3516000,-15771000,4205000,3516000,None,None,-38992000,None,None,-42508000,-42508000,-42508000,None,-38992000
DNLI,2018-12-31,USD,87667000,125676000,38009000,38009000,74722000,11045000,39909000,50954000,841000,None,None,-15771000,125676000,None,None,None,77533000,None,None,74722000,74722000,74722000,None,77533000
DNLI,2018-09-30,USD,1195000,1195000,30321000,30321000,-37964000,8838000,30321000,39159000,772000,None,None,-15771000,1195000,2593000,2327000,None,-35371000,None,None,-37964000,-37964000,-37964000,None,-35371000
DNLI,2018-06-30,USD,1648000,1648000,50234000,50234000,-57382000,6896000,52134000,59030000,None,None,None,-15771000,1648000,2658000,1855000,None,-54724000,None,None,-57382000,-57382000,-57382000,None,-54724000
DNLI,2018-03-31,USD,641000,641000,20819000,20819000,-25748000,5570000,20819000,26389000,None,None,None,None,None,2070000,854000,None,-23678000,None,None,-23678000,-25748000,-25748000,None,-23678000
