SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
DPLO,2019-09-30,USD,63385000,1301197000,1237812000,1237812000,-11608000,74993000,None,74993000,None,None,None,11659000,None,None,None,None,-179367000,-2087000,None,-177280000,None,-150649000,None,-177280000
DPLO,2019-06-30,USD,72727000,1287624000,1214897000,1214897000,-8089000,80816000,None,80816000,None,None,None,10170000,None,101000,None,None,-159028000,434000,None,-159462000,None,-128794000,None,-159462000
DPLO,2019-03-31,USD,79220000,1256808000,1177588000,1177588000,-3648000,82868000,None,82868000,None,None,None,10215000,None,181000,None,None,-13682000,619000,None,-14301000,None,17928000,None,-14301000
DPLO,2018-12-31,USD,93856000,1360628000,1266772000,1266772000,15637000,78219000,0,1344991000,None,None,None,-10652000,None,527000,None,None,-303814000,-5789000,None,-298025000,None,15637000,None,-298025000
DPLO,2018-09-30,USD,93358000,1373334000,1279976000,1279976000,10030000,83328000,0,1363304000,None,None,None,-10179000,None,288000,None,None,48000,-121000,None,169000,None,10030000,None,169000
DPLO,2018-06-30,USD,98416000,1416078000,1317662000,1317662000,7917000,90499000,0,90642000,None,None,None,10392000,None,394000,None,None,-2224000,1740000,None,-3964000,None,7917000,None,-3964000
DPLO,2018-03-31,USD,110613000,1342484000,1231871000,1231871000,8691000,100978000,0,101922000,None,None,None,10427000,None,418000,None,None,-1318000,-868000,None,-450000,None,9635000,None,-450000
DPLO,2017-12-31,USD,93492000,1155069000,1043824000,1043824000,2866000,87304000,0,90626000,None,None,None,4682000,None,101000,None,None,-1715000,-8227000,None,6512000,None,2967000,None,6536000
DPLO,2017-09-30,USD,85303000,1124957000,1042989000,1042989000,2308000,82995000,0,82995000,None,None,None,2054000,None,45000,None,None,299000,-662000,None,961000,None,2353000,None,1016000
DPLO,2017-06-30,USD,84834000,1126464000,1043212000,1043212000,4843000,79991000,0,79991000,None,None,None,1931000,None,34000,None,None,2945000,-544000,None,3490000,None,4877000,None,3591000
DPLO,2017-03-31,USD,85049000,1078740000,993581000,993581000,9096000,76501000,0,76501000,None,None,None,2049000,None,33000,None,None,6532000,2307000,None,4367000,None,8581000,None,4367000
DPLO,2016-12-31,USD,83808000,1144839000,1047071000,1047071000,6805000,75436000,0,77003000,None,None,None,1786000,None,-4550000,None,None,468000,1752000,None,-1284000,None,2255000,None,-1098000
DPLO,2016-09-30,USD,78512000,1181173000,1088965000,1088965000,1374000,71912000,0,77138000,None,None,None,1831000,None,49000,None,None,-408000,-3236000,None,2828000,None,1423000,None,5408000
DPLO,2016-06-30,USD,83270000,1088506000,992966000,992966000,14957000,68313000,0,69416000,None,None,None,1522000,None,105000,None,None,12438000,4145000,None,8293000,None,13959000,None,8534000
DPLO,2016-03-31,USD,79238000,995870000,906513000,906513000,25044000,54194000,0,54194000,None,None,None,1434000,None,107000,None,None,23717000,8534000,None,15429000,None,25151000,None,15429000
DPLO,2015-12-31,USD,76665000,986824000,900141000,900141000,7001000,69664000,0,69664000,None,None,None,1473000,None,38000,None,None,5565000,2261000,None,3304000,None,7039000,None,3566000
DPLO,2015-09-30,USD,75763000,946913000,861202000,861202000,26903000,48860000,0,48860000,None,None,None,1542000,None,90000,None,None,25452000,9769000,None,15683000,None,26993000,None,15961000
DPLO,2015-06-30,USD,69669000,808011000,730273000,730273000,7195000,57165000,0,62474000,None,None,None,1903000,None,75000,None,None,5367000,2254000,None,3113000,None,7270000,None,3391000
DPLO,2015-03-31,USD,41142000,624883000,580935000,580935000,4838000,34885000,0,36304000,None,None,None,321000,None,105000,None,None,4622000,1950000,None,2672000,None,4943000,None,2858000
DPLO,2014-12-31,USD,148278000,612075000,568370000,568370000,4135000,36762000,0,2195427000,None,None,None,899000,None,None,None,None,2238000,2228000,None,4551000,None,19529000,None,235000
DPLO,2014-09-30,USD,40165000,595529000,552578000,552578000,5859000,33703000,0,34306000,None,None,None,734000,None,-231000,None,None,6968000,2427000,None,4541000,None,5628000,None,4541000
