SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
DRII,2016-06-30,USD,268801000,245718000,-23083000,-23083000,432818000,141239000,None,-164017000,None,None,None,-14940000,None,-83000,None,None,43760000,18269000,None,25492000,None,432735000,None,25491000
DRII,2016-03-31,USD,250151000,233796000,-16355000,-16355000,396463000,124325000,None,-146312000,None,None,None,-15066000,None,-318000,None,None,56381000,23202000,None,33179000,None,396145000,None,33179000
DRII,2015-12-31,USD,258642000,271229000,14987000,14987000,463416000,143305000,None,-204774000,None,None,None,-13279000,None,49000,None,None,70345000,26307000,None,44144000,None,463465000,None,44038000
DRII,2015-09-30,USD,271061000,247789000,-19672000,-19672000,423790000,132421000,None,-152729000,None,None,None,-12072000,None,-95000,None,None,67011000,27173000,None,41645000,None,423695000,None,39838000
DRII,2015-06-30,USD,248326000,231502000,-16824000,-16824000,387082000,117928000,None,-138756000,None,None,None,-11521000,None,72000,None,None,62366000,26727000,None,36913000,None,387154000,None,35639000
DRII,2015-03-31,USD,209026000,197520000,-11506000,-11506000,337970000,108517000,None,-128944000,None,None,None,-11604000,None,-34000,None,None,42928000,18557000,None,26018000,None,337936000,None,24371000
DRII,2014-12-31,USD,245859000,232362000,-13497000,-13497000,414154000,119742000,None,-168295000,None,None,None,-11651000,None,46471000,None,None,42844000,18677000,None,21917000,None,460625000,None,21874000
DRII,2014-09-30,USD,243603000,221965000,-21638000,-21638000,385952000,116302000,None,-142349000,None,None,None,-11294000,None,224000,None,None,46460000,20113000,None,26347000,None,386176000,None,26304000
DRII,2014-06-30,USD,224476000,209014000,-15462000,-15462000,356061000,101996000,None,-131585000,None,None,None,-17383000,None,-149000,None,None,-2074000,657000,None,-2689000,None,355912000,None,-2731000
DRII,2014-03-31,USD,194127000,181225000,-12902000,-12902000,319789000,92994000,None,-125662000,None,None,None,-16615000,None,-4000,None,None,26057000,12047000,None,14053000,None,319785000,None,14010000
DRII,2013-12-31,USD,None,210861000,49233000,49233000,46759000,106596000,None,None,None,None,None,18065000,None,None,None,None,16127000,12554000,None,None,None,None,None,3573000
DRII,2013-09-30,USD,210207000,191602000,-18605000,-18605000,383790000,138036000,None,-173583000,None,None,None,-20925000,None,-3341000,None,None,-33953000,-7626000,None,-26327000,None,380449000,None,-26327000
DRII,2013-06-30,USD,182873000,173200000,-9000000,-9000000,304593000,87285000,None,-121720000,None,None,None,-24794000,None,-8000,None,None,18367000,411000,None,17956000,None,304585000,None,17956000
DRII,2013-03-31,USD,None,151249000,46457000,46457000,25379000,73159000,None,None,None,None,None,24842000,None,None,None,None,2711000,438000,None,None,None,None,None,2273000
DRII,2012-12-31,USD,None,150562000,47482000,47482000,15750000,81852000,None,None,None,None,None,26199000,None,None,None,None,None,None,None,None,None,None,None,None
DRII,2012-09-30,USD,None,142712000,46080000,46080000,13897000,77530000,None,None,None,None,None,24808000,None,None,None,None,None,340000,None,None,None,None,None,None
DRII,2012-06-30,USD,None,121444000,22216000,22216000,32440000,62419000,None,None,None,None,None,23219000,None,None,None,None,31943000,None,None,None,None,None,None,46611000
DRII,2012-03-31,USD,None,108950000,36369000,36369000,13197000,55579000,None,None,None,None,None,21931000,None,None,None,None,None,975000,None,None,None,None,None,None
DRII,2011-12-31,USD,None,387486000,98595000,98595000,65796000,209129000,None,None,None,None,None,82010000,None,None,None,None,786000,None,None,None,None,None,None,10303000
