SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
DTW,2020-12-31,USD,-237000000,-237000000,28000000,423000000,465000000,104000000,None,578000000,7000000,-188000000,0,188000000,-83000000,70000000,None,None,324000000,49000000,188000000,275000000,276000000,465000000,None,275000000
DTW,2020-09-30,USD,-179000000,-179000000,19000000,455000000,608000000,103000000,None,103000000,15000000,-178000000,0,178000000,-45000000,100000000,None,None,539000000,63000000,178000000,477000000,479000000,608000000,None,476000000
DTW,2020-06-30,USD,-149000000,-149000000,0,374000000,367000000,84000000,None,73000000,6000000,-179000000,0,179000000,-7000000,95000000,None,None,283000000,6000000,179000000,277000000,281000000,367000000,None,277000000
DTW,2020-03-31,USD,-115000000,-115000000,0,467000000,546000000,119000000,None,119000000,10000000,-175000000,0,175000000,52000000,19000000,None,None,389000000,49000000,175000000,342000000,343000000,546000000,None,340000000
DTW,2019-12-31,USD,-72000000,-72000000,0,None,415000000,103000000,None,522000000,6000000,-173000000,0,173000000,50000000,61000000,None,None,297000000,30000000,173000000,268000000,265000000,415000000,None,267000000
DTW,2019-09-30,USD,-111000000,-111000000,0,400000000,450000000,101000000,None,101000000,4000000,-162000000,0,162000000,-8000000,81000000,None,None,366000000,47000000,162000000,317000000,319000000,450000000,None,319000000
DTW,2019-06-30,USD,-104000000,-104000000,0,360000000,300000000,92000000,None,92000000,3000000,-154000000,0,154000000,7000000,61000000,None,None,203000000,21000000,154000000,300000000,300000000,300000000,None,182000000
DTW,2019-03-31,USD,-130000000,-130000000,0,582000000,542000000,118000000,None,118000000,4000000,-152000000,0,152000000,6000000,77000000,None,None,455000000,54000000,152000000,542000000,542000000,542000000,None,401000000
DTW,2018-12-31,USD,-36000000,-36000000,0,None,332000000,142000000,None,521000000,3000000,-147000000,0,147000000,111000000,-5000000,None,None,168000000,-23000000,147000000,332000000,332000000,332000000,None,191000000
DTW,2018-09-30,USD,-153000000,-153000000,0,453000000,429000000,99000000,None,99000000,3000000,-142000000,0,142000000,-11000000,88000000,None,None,368000000,34000000,142000000,429000000,429000000,429000000,None,334000000
DTW,2018-06-30,USD,-135000000,-4097000000,-3962000000,434000000,329000000,97000000,None,97000000,3000000,-135000000,0,135000000,-146000000,67000000,None,None,253000000,19000000,135000000,329000000,329000000,329000000,None,234000000
DTW,2018-03-31,USD,3472000000,3753000000,281000000,534000000,504000000,111000000,None,111000000,3000000,-135000000,0,135000000,72000000,56000000,None,None,429000000,68000000,135000000,504000000,504000000,504000000,None,361000000
DTW,2017-12-31,USD,2997000000,3271000000,274000000,9156000000,356000000,145000000,None,470000000,3000000,-132000000,0,132000000,-28000000,-13000000,None,None,221000000,-66000000,132000000,280000000,287000000,356000000,None,287000000
DTW,2017-09-30,USD,2987000000,3245000000,258000000,566000000,418000000,91000000,None,91000000,4000000,-146000000,0,146000000,29000000,61000000,None,None,344000000,74000000,146000000,263000000,275000000,418000000,None,270000000
DTW,2017-06-30,USD,2606000000,2855000000,249000000,559000000,303000000,97000000,None,97000000,2000000,-133000000,0,133000000,16000000,60000000,None,None,234000000,57000000,133000000,175000000,181000000,303000000,None,177000000
DTW,2017-03-31,USD,2987000000,3236000000,249000000,600000000,569000000,109000000,None,109000000,3000000,-125000000,0,125000000,111000000,57000000,None,None,510000000,110000000,125000000,394000000,404000000,569000000,None,400000000
DTW,2016-12-31,USD,2600000000,2874000000,274000000,None,301000000,182000000,None,520000000,3000000,-131000000,0,131000000,-25000000,-221000000,None,None,159000000,28000000,131000000,124000000,136000000,301000000,None,131000000
DTW,2016-09-30,USD,2698000000,2928000000,230000000,None,507000000,92000000,None,92000000,3000000,-114000000,0,114000000,-19000000,39000000,None,None,448000000,110000000,114000000,325000000,342000000,507000000,None,338000000
DTW,2016-06-30,USD,2019000000,2262000000,243000000,542000000,256000000,91000000,None,91000000,3000000,-114000000,0,114000000,-19000000,50000000,None,None,202000000,50000000,114000000,145000000,150000000,256000000,None,152000000
DTW,2016-03-31,USD,2337000000,2566000000,229000000,516000000,381000000,99000000,None,99000000,11000000,-113000000,0,113000000,-46000000,44000000,None,None,330000000,83000000,113000000,240000000,252000000,381000000,None,247000000
