SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
DWRE,2016-03-31,USD,46521000,67080000,20559000,20559000,-11598000,39044000,19075000,58119000,None,None,None,None,None,167000,None,None,-11431000,409000,None,-11840000,None,-11431000,None,-11691000
DWRE,2015-12-31,USD,56324000,75563000,19239000,19239000,379000,37915000,18030000,55945000,None,None,None,None,None,285000,None,None,664000,241000,None,423000,None,664000,None,525000
DWRE,2015-09-30,USD,40686000,57582000,16896000,16896000,-11731000,35292000,17125000,52417000,None,None,None,None,None,77000,None,None,-11654000,383000,None,-12037000,None,-11654000,None,-11919000
DWRE,2015-06-30,USD,37571000,53858000,16287000,16287000,-20150000,41217000,16504000,57721000,None,None,None,None,None,182000,None,None,-19968000,139000,None,-20107000,None,-19968000,None,-20021000
DWRE,2015-03-31,USD,35233000,50276000,15043000,15043000,-11163000,32713000,13683000,46396000,None,None,None,None,None,288000,None,None,-10875000,-5595000,None,-5280000,None,-10875000,None,-5222000
DWRE,2014-12-31,USD,41713000,52502000,12350000,12350000,-4620000,35156000,11177000,46333000,None,None,None,-16000,None,-407000,None,None,-5004000,-2748000,None,-2256000,None,-5027000,None,-2256000
DWRE,2014-09-30,USD,27442000,38731000,10785000,10785000,-5651000,24298000,8795000,33093000,None,None,None,41000,None,-966000,None,None,-6654000,199000,None,-6853000,None,-6617000,None,-6853000
DWRE,2014-06-30,USD,26080000,36746000,10005000,10005000,-9025000,27065000,8040000,35105000,None,None,None,30000,None,100000,None,None,-8958000,227000,None,-9185000,None,-8925000,None,-9185000
DWRE,2014-03-31,USD,23270000,32574000,8908000,8908000,-8496000,24795000,6971000,31766000,None,None,None,53000,None,52000,None,None,-8494000,265000,None,-8759000,None,-8444000,None,-8759000
DWRE,2013-12-31,USD,27594000,35536000,7942000,7942000,1710000,20653000,5231000,25884000,None,None,None,53000,None,248000,None,None,1904000,100000,None,1804000,None,1958000,None,1804000
DWRE,2013-09-30,USD,17428000,24479000,7051000,7051000,-6769000,18758000,5439000,24197000,None,None,None,55000,None,684000,None,None,-6147000,110000,None,-6257000,None,-6085000,None,-6257000
DWRE,2013-06-30,USD,16665000,23207000,6542000,6542000,-8413000,19701000,5377000,25078000,None,None,None,68000,None,161000,None,None,-8310000,145000,None,-8455000,None,-8252000,None,-8455000
DWRE,2013-03-31,USD,14032000,20514000,6482000,6482000,-7317000,16609000,4740000,21349000,None,None,None,79000,None,-367000,None,None,-7753000,219000,None,-7972000,None,-7684000,None,-7972000
DWRE,2012-12-31,USD,19983000,26319000,6336000,6336000,3333000,13055000,3595000,16650000,None,None,None,92000,None,183000,None,None,3410000,186000,None,3223000,None,3516000,None,3224000
DWRE,2012-09-30,USD,12215000,18706000,6491000,6491000,-3566000,11846000,3935000,15781000,None,None,None,110000,None,243000,None,None,-3432000,39000,None,-3471000,None,-3323000,None,-3471000
DWRE,2012-06-30,USD,12265000,18360000,6095000,6095000,-5083000,13264000,4084000,17348000,None,None,None,79000,None,-401000,None,None,-5563000,70000,None,-5633000,None,-5484000,None,-5633000
DWRE,2012-03-31,USD,10671000,16090000,5419000,5419000,-1843000,9043000,3471000,12514000,None,None,None,74000,None,-200000,None,None,-2117000,126000,None,-2243000,None,-2043000,None,-2243000
DWRE,2011-12-31,USD,None,18616000,4445000,4445000,3038000,10368000,2837000,None,None,None,None,82000,None,None,None,None,2608000,32000,None,None,None,None,None,2576000
DWRE,2011-09-30,USD,None,13475000,4712000,4712000,None,9542000,2934000,None,None,None,None,79000,None,None,None,None,None,125000,None,None,None,None,None,None
DWRE,2011-06-30,USD,None,12852000,3994000,3994000,None,9407000,2934000,None,None,None,None,57000,None,None,None,None,None,26000,None,None,None,None,None,None
DWRE,2011-03-31,USD,None,11604000,3672000,3672000,None,8279000,2477000,None,None,None,None,62000,None,None,None,None,None,29000,None,None,None,None,None,None
