SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
EDU,2020-11-30,USD,434026000,887689000,453663000,453663000,-32147000,466173000,None,919836000,None,None,-3400000,None,None,None,None,None,30382000,6817000,None,27779000,None,-32147000,None,53902000
EDU,2020-08-31,USD,521500000,986366000,464866000,464866000,150305000,371195000,None,836061000,None,None,1246000,None,None,None,None,None,213123000,59122000,None,150834000,None,196473000,None,174652000
EDU,2020-05-31,USD,407393000,798473000,391080000,391080000,10255000,397138000,None,788218000,None,None,-22592000,None,None,None,None,None,22018000,36194000,None,-15176000,None,153023000,None,13191000
EDU,2020-02-29,USD,524593000,923221000,398628000,398628000,117253000,407340000,None,805968000,None,None,4083000,None,None,None,None,None,151723000,33255000,None,117224000,None,113170000,None,137715000
EDU,2019-11-30,USD,296967000,597072000,300105000,300105000,25299000,327244000,None,759912000,None,None,6713000,None,None,None,None,None,59228000,14077000,None,49583000,None,3134000,None,53437000
EDU,2019-08-31,USD,492447000,859846000,367399000,367399000,246196000,332963000,None,825581000,None,None,-11282000,None,None,None,None,None,254867000,50836000,None,203228000,None,204617000,None,208990000
EDU,2019-05-31,USD,471610000,842851000,371241000,371241000,76972000,394690000,None,765931000,None,None,-30659000,-1615000,None,None,None,None,69463000,30555000,None,37831000,None,101009000,None,43248000
EDU,2019-02-28,USD,459198000,796722000,337524000,337524000,95780000,363418000,None,700942000,None,None,6527000,-1615000,None,None,None,None,126431000,29464000,None,95233000,None,89253000,None,97411000
EDU,2018-11-30,USD,239925000,467183000,227258000,227258000,-30277000,252995000,None,627349000,None,None,None,-1615000,None,None,None,None,-26330000,11000,None,-26341000,None,-30277000,None,-25826000
EDU,2018-08-31,USD,390971000,661165000,270194000,270194000,159484000,229894000,None,700362000,None,None,None,-1615000,None,None,None,None,146807000,25684000,None,121123000,None,159484000,None,123232000
EDU,2018-05-31,USD,401536000,701001000,299465000,299465000,56585000,344951000,0,644416000,None,None,None,0,None,None,None,None,79867000,16148000,None,63719000,None,56585000,None,65082000
EDU,2018-02-28,USD,349258000,618081000,268823000,268823000,58367000,290891000,0,559714000,None,None,None,0,None,None,None,None,80011000,13409000,None,66602000,None,58367000,None,68376000
EDU,2017-11-30,USD,-151046000,467183000,227258000,227258000,-174147000,252995000,0,-19835000,None,None,None,0,None,None,None,None,10732000,2973000,None,-151398000,None,-174147000,None,4279000
EDU,2017-08-31,USD,390971000,661165000,270194000,270194000,161077000,229894000,0,500088000,None,None,None,0,None,None,None,None,186035000,26878000,None,159157000,None,161077000,None,158393000
EDU,2017-05-31,USD,287096000,486353000,199257000,199257000,51836000,235260000,0,1457589000,None,None,None,0,None,None,None,None,70369000,14460000,None,210374000,None,52478000,None,55416000
EDU,2017-02-28,USD,254298000,437849000,183551000,183551000,57515000,196783000,0,501717000,None,None,None,0,None,None,None,None,77005000,10583000,None,66422000,None,514625000,None,67619000
EDU,2016-11-30,USD,-814267000,341238000,163408000,163408000,214000,177616000,0,-803431000,None,None,None,0,None,None,None,None,15252000,2870000,None,0,None,-457538000,None,10360000
EDU,2016-08-31,USD,330699000,534069000,203370000,203370000,152584000,178115000,0,381485000,None,None,None,0,None,None,None,None,164794000,22711000,None,0,None,152584000,None,141062000
EDU,2016-05-31,USD,863984000,394865000,163433000,163433000,33333000,198099000,0,1283271000,None,None,None,0,None,None,None,None,52716000,10622000,None,225328000,None,195077000,None,42016000
EDU,2016-02-29,USD,0,346912000,145045000,145045000,42297000,159570000,0,0,None,None,None,0,None,None,None,None,57285000,8515000,None,0,None,0,None,48442000
EDU,2015-11-30,USD,0,278082000,134235000,134235000,-129846000,154246000,0,0,None,None,None,0,None,None,None,None,6335000,455000,None,0,None,0,None,5883000
