SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ENZY,2017-09-30,USD,9506000,13672000,3369000,3369000,543000,8963000,2071000,13509000,None,None,None,None,None,None,None,None,501000,77000,None,None,None,163000,None,424000
ENZY,2017-06-30,USD,6540000,13017000,5704000,5704000,-2652000,9192000,2150000,15669000,None,None,None,None,None,None,None,None,None,112000,None,None,None,-2652000,None,-2305000
ENZY,2017-03-31,USD,8423000,11998000,2869000,2869000,-187000,8610000,2231000,12185000,None,None,None,None,None,None,None,None,141000,116000,None,None,None,-187000,None,25000
ENZY,2016-12-31,USD,4909000,10584000,4944000,4944000,-4080000,8989000,1801000,14664000,None,None,None,-169000,None,None,None,None,None,121000,None,None,None,-4080000,None,-4214000
ENZY,2016-09-30,USD,None,11412000,3191000,3191000,None,8076000,1866000,None,None,None,None,None,None,None,None,None,None,84000,None,None,None,None,None,None
ENZY,2016-06-30,USD,None,11734000,2859000,2859000,158000,8055000,1803000,None,None,None,None,None,None,None,None,None,300000,127000,None,None,None,None,None,173000
ENZY,2016-03-31,USD,None,13966000,3988000,3988000,1349000,7981000,1899000,None,None,None,None,None,None,None,None,None,1574000,126000,None,None,None,None,None,1448000
ENZY,2015-12-31,USD,None,13269000,4469000,4469000,1135000,7018000,1797000,None,None,None,None,None,None,None,None,None,1257000,122000,None,None,None,None,None,1135000
ENZY,2015-09-30,USD,None,12428000,4363000,4363000,1595000,5870000,1463000,None,None,None,None,None,None,None,None,None,1666000,121000,None,None,None,None,None,1545000
ENZY,2015-06-30,USD,None,13395000,4714000,4714000,1793000,6343000,1475000,None,None,None,None,None,None,None,None,None,2334000,70000,None,None,None,None,None,2264000
ENZY,2015-03-31,USD,None,11299000,3762000,3762000,1651000,5351000,1414000,None,None,None,None,None,None,None,None,None,1833000,94000,None,None,None,None,None,1739000
ENZY,2014-12-31,USD,None,10783000,3954000,3954000,1060000,5243000,1482000,None,None,None,None,None,None,None,None,None,1204000,74000,None,None,None,None,None,1130000
ENZY,2014-09-30,USD,None,9512000,3048000,3048000,870000,5069000,1451000,None,None,None,None,None,None,None,None,None,1406000,189000,None,None,None,None,None,1217000
ENZY,2014-06-30,USD,None,8957000,2890000,2890000,330000,5224000,1502000,None,None,None,None,None,None,None,None,None,441000,60000,None,None,None,None,None,381000
ENZY,2014-03-31,USD,None,17851000,6117000,6117000,5425000,5566000,1551000,None,None,None,None,None,None,None,None,None,5193000,83000,None,None,None,None,None,5110000
ENZY,2013-12-31,USD,None,18512000,7308000,7308000,4697000,6109000,1565000,None,None,None,None,None,None,None,None,None,3545000,100000,None,None,None,None,None,3445000
ENZY,2013-09-30,USD,None,17754000,8781000,8781000,3233000,5355000,1445000,None,None,None,None,None,None,None,None,None,3342000,82000,None,None,None,None,None,3260000
ENZY,2013-06-30,USD,None,14879000,7564000,7564000,2407000,4516000,1492000,None,None,None,None,None,None,None,None,None,2413000,67000,None,None,None,None,None,2346000
ENZY,2013-03-31,USD,None,13830000,6906000,6906000,2422000,4126000,1445000,None,None,None,None,None,None,None,None,None,2419000,75000,None,None,None,None,None,2344000
ENZY,2012-12-31,USD,None,11644000,5103000,5103000,2479000,3693000,1197000,None,None,None,None,None,None,None,None,None,2268000,70000,None,None,None,None,None,2198000
ENZY,2012-09-30,USD,None,10673000,5655000,5655000,1586000,3079000,1169000,None,None,None,None,None,None,None,None,None,1768000,29000,None,None,None,None,None,1739000
