SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ESNT,2020-12-31,USD,247199000,247199000,None,None,146152000,21325000,None,101047000,None,-2149000,None,2149000,None,None,None,None,146152000,22550000,None,123602000,None,146152000,None,123602000
ESNT,2020-09-30,USD,243038000,243038000,None,None,148431000,22701000,None,94607000,None,-2227000,None,2227000,None,None,None,None,148431000,23895000,None,124536000,None,148431000,None,124536000
ESNT,2020-06-30,USD,236077000,236077000,None,None,18815000,24174000,None,217262000,None,-2566000,None,2566000,None,None,None,None,18815000,3435000,None,15380000,None,18815000,None,15380000
ESNT,2020-03-31,USD,228840000,228840000,None,None,176698000,24866000,None,52142000,None,-2132000,-2132000,2132000,None,None,None,None,176698000,27175000,None,149523000,None,176698000,None,149523000
ESNT,2019-12-31,USD,228762000,228762000,11767000,11767000,174384000,22821000,None,54378000,None,-2218000,-2218000,2218000,None,None,None,None,174384000,27426000,None,146958000,None,174384000,None,146958000
ESNT,2019-09-30,USD,226387000,226387000,27255000,27255000,172225000,24323000,None,54162000,None,-2584000,-2584000,2584000,None,None,None,None,172225000,27595000,None,144630000,None,172225000,None,144630000
ESNT,2019-06-30,USD,211892000,211892000,23313000,23313000,162733000,23167000,None,49159000,None,-2679000,-2679000,2679000,None,None,None,None,162733000,26328000,None,136405000,None,162733000,None,136405000
ESNT,2019-03-31,USD,200526000,200526000,24788000,24788000,149719000,23349000,None,50807000,None,-2670000,-2670000,2670000,None,None,None,None,149719000,21999000,None,127720000,None,149719000,None,127720000
ESNT,2018-12-31,USD,193124000,193124000,15831000,15831000,152063000,22619000,0,41061000,None,None,None,-2611000,None,None,None,None,152063000,23535000,None,128528000,None,152063000,None,128528000
ESNT,2018-09-30,USD,184998000,184998000,20736000,20736000,140147000,21615000,0,44851000,None,None,None,-2500000,None,None,None,None,140147000,24136000,None,116011000,None,140147000,None,116011000
ESNT,2018-06-30,USD,173768000,173768000,15956000,15956000,132909000,22285000,0,40859000,None,None,None,-2618000,None,None,None,None,132909000,21154000,None,111755000,None,132909000,None,111755000
ESNT,2018-03-31,USD,167463000,167463000,19868000,19868000,121580000,23565000,0,45883000,None,None,None,-2450000,None,None,None,None,121580000,10511000,None,111069000,None,121580000,None,111069000
ESNT,2017-12-31,USD,161110000,161110000,52968000,52968000,105357000,21935000,0,55753000,None,None,None,1817000,None,None,None,None,105357000,-57281000,None,162638000,None,105357000,None,162638000
ESNT,2017-09-30,USD,150203000,150203000,40363000,40363000,107399000,23198000,0,42804000,None,None,None,1456000,None,None,None,None,107399000,29006000,None,78393000,None,107399000,None,78393000
ESNT,2017-06-30,USD,137606000,137606000,36487000,36487000,98961000,22652000,0,38645000,None,None,None,1189000,None,None,None,None,98961000,26843000,None,72118000,None,98961000,None,72118000
ESNT,2017-03-31,USD,127592000,127592000,39024000,39024000,86851000,23179000,0,40741000,None,None,None,716000,None,None,None,None,86851000,20253000,None,66598000,None,86851000,None,66598000
ESNT,2016-12-31,USD,126373000,126373000,37725000,37725000,87302000,67163000,0,39071000,None,None,None,370000,None,None,None,None,87302000,24616000,None,62686000,None,87302000,None,62686000
ESNT,2016-09-30,USD,121254000,121254000,36709000,36709000,83441000,0,0,37813000,None,None,None,56000,None,None,None,None,83441000,23730000,None,59711000,None,83441000,None,59711000
ESNT,2016-06-30,USD,108165000,108165000,33333000,33333000,73792000,0,0,34373000,None,None,None,0,None,None,None,None,73792000,21534000,None,52258000,None,73792000,None,52258000
ESNT,2016-03-31,USD,102466000,102466000,34119000,34119000,67347000,0,0,35119000,None,None,None,0,None,None,None,None,67347000,19396000,None,47951000,None,67347000,None,47951000
ESNT,2015-12-31,USD,97476000,97476000,32993000,32993000,63650000,58596000,0,33826000,None,None,None,-426000,None,None,None,None,63650000,19171000,None,44479000,None,63650000,None,44479000
