SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
EXR,2020-12-31,USD,264534000,353490000,88956000,88956000,195749000,52688000,None,112085000,8704000,109747000,8704000,-109747000,52406000,-6988000,None,59397000,159853000,3797000,-109747000,143948000,165671000,195749000,255146000,156056000
EXR,2020-09-30,USD,250702000,343024000,92322000,99511000,163207000,23894000,None,80306000,3145000,-42213000,-34696000,42213000,52601000,7517000,None,56412000,119290000,4657000,42213000,123854000,125181000,163207000,219619000,114633000
EXR,2020-06-30,USD,238206000,327246000,89040000,95898000,149993000,25337000,None,25337000,1669000,-41039000,1669000,41039000,47934000,5480000,None,None,106088000,3177000,41039000,111257000,97495000,149993000,None,102911000
EXR,2020-03-31,USD,242155000,332452000,90297000,96975000,157191000,23011000,None,23011000,1674000,-44358000,1674000,44358000,45749000,5508000,None,None,110358000,2179000,44358000,116162000,23305000,157191000,None,108179000
EXR,2019-12-31,USD,248039000,335801000,87762000,95545000,164645000,45976000,None,-112358000,1562000,118716000,1562000,-118716000,47128000,3172000,None,None,115010000,2728000,-118716000,120279000,126755000,164645000,None,112282000
EXR,2019-09-30,USD,248852000,337505000,88653000,96297000,162638000,22519000,None,78570000,2799000,-46908000,2799000,46908000,46588000,4317000,None,None,112139000,4052000,46908000,115995000,92124000,162638000,None,108087000
EXR,2019-06-30,USD,242732000,323602000,80870000,87852000,157993000,23351000,None,23351000,1718000,-47448000,1718000,47448000,44018000,3654000,None,None,107543000,2715000,47448000,157993000,112689000,157993000,None,104828000
EXR,2019-03-31,USD,232781000,311546000,78765000,85732000,148477000,22678000,None,22678000,1388000,-47360000,-44504000,47360000,40543000,2856000,None,None,96583000,1813000,47360000,148477000,102160000,148477000,None,94770000
EXR,2018-12-31,USD,307353000,307353000,72207000,79116000,156677000,34587000,None,43637000,1295000,-48197000,None,48197000,338202000,3937000,None,None,104629000,3167000,48197000,156677000,109250000,156677000,None,101462000
EXR,2018-09-30,USD,306953000,306953000,73652000,81372000,153591000,19707000,None,19707000,1371000,-45926000,None,45926000,296833000,3853000,None,None,133056000,2638000,45926000,153591000,139687000,153591000,None,130418000
EXR,2018-06-30,USD,296813000,296813000,73083000,78554000,144716000,21651000,None,21651000,1188000,-43347000,None,43347000,286649000,3441000,None,None,97250000,2097000,43347000,144716000,102713000,144716000,None,95153000
EXR,2018-03-31,USD,285485000,285485000,72753000,78360000,133912000,21464000,None,21464000,1438000,-40966000,None,40966000,274920000,3826000,None,None,89598000,1342000,40966000,133912000,95430000,133912000,None,88256000
EXR,2017-12-31,USD,445621000,513225000,67604000,72781000,141114000,33200000,None,47549000,1004000,-40319000,None,40319000,271702000,3652000,None,None,210454000,-5529000,40319000,229315000,231520000,141114000,None,215983000
EXR,2017-09-30,USD,448431000,518861000,70430000,76702000,139881000,19498000,None,25598000,869000,-39766000,None,39766000,274471000,3591000,None,None,96927000,3163000,39766000,101075000,94492000,139881000,None,93764000
EXR,2017-06-30,USD,436361000,503656000,67295000,71099000,136407000,21865000,None,21865000,826000,-37456000,None,37456000,265109000,3374000,None,None,89873000,2867000,37456000,94098000,81193000,136407000,None,87006000
EXR,2017-03-31,USD,414741000,481386000,66645000,70565000,124203000,18808000,None,18808000,1102000,-35970000,None,35970000,254348000,3412000,None,None,85406000,3124000,35970000,89734000,88328000,124203000,None,82282000
EXR,2016-12-31,USD,412437000,476559000,64122000,64122000,123184000,31222000,None,52355000,1451000,-35824000,None,35824000,251367000,3269000,None,None,87246000,4843000,35824000,85649000,140267000,123184000,None,82403000
EXR,2016-09-30,USD,408526000,470867000,62341000,62341000,122724000,19537000,None,19537000,1358000,-33494000,None,33494000,247178000,3740000,None,None,122554000,4466000,33494000,89717000,130839000,122724000,None,118088000
EXR,2016-06-30,USD,382486000,444916000,62430000,62430000,110302000,20512000,None,20512000,1625000,-32802000,None,32802000,233445000,3743000,None,None,86817000,3773000,32802000,90040000,65138000,110302000,None,83044000
EXR,2016-03-31,USD,356975000,418087000,61112000,61112000,93628000,23402000,None,23402000,1714000,-31359000,None,31359000,220043000,3311000,None,None,85357000,2765000,31359000,62484000,53005000,93628000,None,82592000
