SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
FCB,2018-09-30,USD,99182000,99182000,38592000,38592000,56854000,42328000,0,42328000,None,None,None,94486000,None,None,None,None,56854000,13374000,None,43480000,None,56854000,None,43480000
FCB,2018-06-30,USD,97268000,97268000,33245000,33245000,56342000,40926000,0,40926000,None,None,None,58114000,None,None,None,None,56342000,13608000,None,42734000,None,56342000,None,42734000
FCB,2018-03-31,USD,87330000,87330000,28450000,28450000,48169000,39161000,0,39161000,None,None,None,26374000,None,None,None,None,48169000,8070000,None,40099000,None,48169000,None,40099000
FCB,2017-12-31,USD,83059000,83059000,26162000,26162000,46940000,36119000,0,33701000,None,None,None,23376000,None,None,None,None,46940000,-80354000,None,127294000,None,46940000,None,127294000
FCB,2017-09-30,USD,81335000,81335000,23906000,23906000,46096000,35239000,0,35239000,None,None,None,21035000,None,None,None,None,46096000,13936000,None,32160000,None,46096000,None,32160000
FCB,2017-06-30,USD,78645000,78645000,20801000,20801000,43393000,35252000,0,35252000,None,None,None,18686000,None,None,None,None,43393000,8312000,None,35081000,None,43393000,None,35081000
FCB,2017-03-31,USD,78014000,78014000,17195000,17195000,42930000,35084000,0,35084000,None,None,None,15552000,None,None,None,None,42930000,3941000,None,38989000,None,44964000,None,38989000
FCB,2016-12-31,USD,76736000,76736000,16763000,16763000,43090000,33646000,0,33646000,None,None,None,14514000,None,None,None,None,43090000,-96616000,None,139706000,None,43090000,None,139706000
FCB,2016-09-30,USD,73430000,73430000,15512000,15512000,40394000,33036000,0,33036000,None,None,None,13522000,None,None,None,None,40394000,14330000,None,26064000,None,40394000,None,26064000
FCB,2016-06-30,USD,71176000,71176000,14254000,14254000,37201000,33975000,0,33975000,None,None,None,12278000,None,None,None,None,37201000,13697000,None,23504000,None,37201000,None,23504000
FCB,2016-03-31,USD,68436000,68436000,12726000,12726000,35136000,33300000,0,33300000,None,None,None,11286000,None,None,None,None,35136000,12684000,None,22452000,None,37129000,None,22452000
FCB,2015-12-31,USD,67183000,67183000,11517000,11517000,33982000,33201000,0,33201000,None,None,None,9188000,None,None,None,None,33982000,4233000,None,29749000,None,33982000,None,29749000
FCB,2015-09-30,USD,63166000,63166000,8929000,8929000,32460000,30706000,0,30706000,None,None,None,8254000,None,None,None,None,32460000,11320000,None,21140000,None,32460000,None,21140000
FCB,2015-06-30,USD,61856000,61856000,9707000,9707000,29809000,32047000,0,32047000,None,None,None,7237000,None,None,None,None,29809000,10433000,None,19376000,None,29809000,None,19376000
FCB,2015-03-31,USD,-6554000,6554000,7914000,7914000,-37204000,30650000,0,30650000,None,None,None,6565000,None,None,None,None,-37204000,-20330000,None,-16874000,None,-37204000,None,-16874000
FCB,2014-12-31,USD,None,None,9737000,9737000,32576000,18133000,None,None,None,None,None,None,None,None,None,None,20648000,7548000,None,None,None,None,None,13100000
FCB,2014-09-30,USD,45440000,45440000,10562000,10562000,-3519000,48959000,0,48959000,None,None,None,21629000,None,None,None,None,-3519000,-97000,None,-3422000,None,-3519000,None,-3422000
FCB,2014-06-30,USD,44607000,44607000,10535000,10535000,75351000,30744000,0,-30744000,None,None,None,13872000,None,None,None,None,13863000,4697000,None,9166000,None,75351000,None,9166000
FCB,2014-03-31,USD,None,None,7663000,7663000,18577000,19853000,None,None,None,None,None,None,None,None,None,None,5337000,1809000,None,None,None,None,None,3528000
FCB,2013-12-31,USD,None,None,7927000,7927000,18587000,15380000,None,None,None,None,None,None,None,None,None,None,8734000,2809000,None,None,None,None,None,5925000
FCB,2013-09-30,USD,None,None,5306000,5306000,16589000,13037000,None,None,None,None,None,None,None,None,None,None,6957000,2486000,None,None,None,None,None,4471000
