SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
FLGT,2020-12-31,USD,243206000,294845000,51772000,51772000,225909000,12721000,4576000,17297000,-530000,589000,589000,None,294720000,-1031000,1122000,None,224878000,58571000,None,168070000,166138000,225909000,None,166307000
FLGT,2020-09-30,USD,75455000,101361000,26261000,26261000,63523000,8755000,3177000,11932000,-109000,421000,421000,None,101361000,-2359000,722000,None,61164000,14526000,None,49229000,46196000,63523000,None,46638000
FLGT,2020-06-30,USD,9548000,17265000,7717000,7717000,2640000,5059000,1849000,6908000,-113000,275000,275000,None,17291000,82000,549000,None,2722000,-599000,None,3321000,4563000,2640000,None,3321000
FLGT,2020-03-31,USD,3696000,7753000,4057000,4057000,-1914000,3632000,1978000,5610000,-105000,241000,241000,None,7838000,-8000,569000,None,-1922000,34000,None,-1956000,-2295000,-1914000,None,-1956000
FLGT,2019-12-31,USD,4753000,8387000,3634000,3634000,-409000,3367000,1795000,5162000,-54000,249000,249000,None,8387000,None,558000,None,-334000,-38000,None,-296000,-329000,-409000,None,-296000
FLGT,2019-09-30,USD,6462000,10347000,3885000,3885000,1509000,3209000,1744000,4953000,-8000,189000,189000,None,10347000,14000,503000,None,1523000,61000,None,1462000,1438000,1509000,None,1462000
FLGT,2019-06-30,USD,4804000,8424000,3620000,3620000,295000,2935000,1574000,4509000,-7000,192000,192000,None,8424000,43000,511000,None,338000,7000,None,331000,331000,295000,None,331000
FLGT,2019-03-31,USD,2402000,5370000,2968000,2968000,-1823000,2801000,1424000,4225000,-37000,207000,207000,None,5370000,-72000,535000,None,-1895000,13000,None,-1908000,-1908000,-1823000,None,-1908000
FLGT,2018-12-31,USD,2904000,5673000,2769000,2769000,-1029000,2507000,1426000,3933000,-58000,None,None,None,5673000,None,538000,None,-1165000,888000,None,-2053000,-2053000,-1029000,None,-2053000
FLGT,2018-09-30,USD,3013000,5625000,2612000,2612000,-846000,2421000,1438000,3859000,-79000,None,None,None,5625000,-67000,547000,None,-913000,-318000,None,-595000,-595000,-846000,None,-595000
FLGT,2018-06-30,USD,2856000,5400000,2544000,2544000,-1001000,2645000,1212000,3857000,-78000,None,None,None,5400000,-148000,562000,None,-1149000,-100000,None,-1049000,-1049000,-1001000,None,-1049000
FLGT,2018-03-31,USD,1881000,4653000,2772000,2772000,-2194000,2617000,1458000,4075000,-82000,None,None,None,-51000,-150000,516000,516000,-2344000,-434000,None,-1910000,-1953000,-2194000,-1678000,-1910000
FLGT,2017-12-31,USD,1736000,4281000,2545000,2545000,-2070000,2482000,1324000,3806000,-84000,None,None,None,0,None,473000,473000,-2220000,-596000,None,-1624000,-1678000,-2070000,-1597000,-1624000
FLGT,2017-09-30,USD,2235000,4503000,2268000,2268000,-1481000,2588000,1128000,3716000,-90000,None,None,None,0,-27000,438000,438000,-1508000,-415000,None,-1093000,-1015000,-1481000,-1043000,-1093000
FLGT,2017-06-30,USD,2761000,4640000,1879000,1879000,-150000,1991000,920000,2911000,None,None,None,None,4640000,15000,405000,405000,-135000,-110000,None,-25000,-8000,-150000,255000,-25000
FLGT,2017-03-31,USD,3447000,5306000,1859000,1859000,219000,2377000,851000,3228000,-95000,None,None,None,None,119000,None,412000,338000,106000,None,232000,214000,219000,631000,232000
FLGT,2016-12-31,USD,3991000,5854000,1863000,1444000,1259000,1913000,818000,2732000,None,None,None,None,None,None,None,420000,1316000,503000,None,813000,710000,1259000,1679000,813000
FLGT,2016-09-30,USD,2868000,5011000,2143000,2143000,-695000,2040000,1523000,3563000,None,None,None,None,None,5000,None,304000,-690000,417000,None,-1107000,-1107000,-695000,-391000,-1107000
FLGT,2016-06-30,USD,2560000,3971000,1411000,1163000,970000,1590000,656000,1590000,None,None,None,None,None,None,None,248000,None,None,None,-4492000,-4510000,970000,1218000,-4492000
FLGT,2016-03-31,USD,2136000,3440000,1304000,1105000,-615000,2751000,561000,2751000,None,None,None,None,None,None,None,199000,None,None,None,-602000,-543000,-615000,-416000,-602000
