SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
FMR,2010-09-30,USD,None,65185000,66525000,66525000,None,None,None,None,None,None,None,1555000,None,None,None,None,None,None,None,None,None,None,None,None
FMR,2010-06-30,USD,None,66237000,57398000,57398000,7841000,None,None,None,None,None,None,1542000,None,None,None,None,6299000,2153000,None,None,None,None,None,4146000
FMR,2010-03-31,USD,None,71823000,57795000,57795000,12992000,None,None,None,None,None,None,1386000,None,None,None,None,6588000,1376000,None,None,None,None,None,5212000
FMR,2009-12-31,USD,None,95331000,81179000,81179000,13091000,None,None,None,None,None,None,1405000,None,None,None,None,11686000,3259000,None,None,None,None,None,8427000
FMR,2009-09-30,USD,None,79971000,53951000,53951000,24938000,None,None,None,None,None,None,1445000,None,None,None,None,23664000,8018000,None,None,None,None,None,15646000
FMR,2009-06-30,USD,None,77688000,58194000,58194000,18523000,None,None,None,None,None,None,1417000,None,None,None,None,17230000,5621000,None,None,None,None,None,11609000
FMR,2009-03-31,USD,None,67679000,52622000,52622000,14059000,None,None,None,None,None,None,1416000,None,None,None,None,12749000,4068000,None,None,None,None,None,8681000
FMR,2008-12-31,USD,None,57341000,51576000,51576000,4829000,None,None,None,None,None,None,1440000,None,None,None,None,3187000,822000,None,None,None,None,None,2364000
FMR,2008-09-30,USD,None,48816000,46994000,46994000,929000,None,None,None,None,None,None,1440000,None,None,None,None,None,None,None,None,None,None,None,54000
FMR,2008-06-30,USD,None,57049000,44952000,44952000,11191000,None,None,None,None,None,None,1476000,None,None,None,None,8877000,2641000,None,None,None,None,None,28702000
FMR,2008-03-31,USD,None,52473000,37290000,37290000,14433000,None,None,None,None,None,None,1464000,None,None,None,None,12533000,3899000,None,None,None,None,None,9721000
FMR,2007-12-31,USD,None,42941000,26461000,26461000,16009000,None,None,None,None,None,None,1431000,None,None,None,None,14294000,4570000,None,None,None,None,None,10214000
FMR,2007-09-30,USD,None,48095000,32070000,32070000,15631000,None,None,None,None,None,None,1054000,None,None,None,None,14283000,4751000,None,None,None,None,None,11047000
FMR,2007-06-30,USD,None,50132000,69689000,69689000,29965000,None,None,None,None,None,None,986000,None,None,None,None,14419000,4984000,None,None,None,None,None,10503000
FMR,2007-03-31,USD,None,50211000,None,None,None,None,None,None,None,None,None,982000,None,None,None,None,13597000,4617000,None,None,None,None,None,9967000
FMR,2006-12-31,USD,None,34507000,16153000,16153000,13784000,None,None,None,None,None,None,1164000,None,None,None,None,5394000,1796000,None,None,None,None,None,3598000
FMR,2006-09-30,USD,None,33576000,18950000,18950000,14021000,None,None,None,None,None,None,2841000,None,None,None,None,10844000,3918000,None,None,None,None,None,6926000
FMR,2006-06-30,USD,None,34439000,22107000,22107000,11726000,None,None,None,None,None,None,2747000,None,None,None,None,9137000,3171000,None,None,None,None,None,5966000
FMR,2006-03-31,USD,None,34970000,23691000,23691000,10667000,None,None,None,None,None,None,2648000,None,None,None,None,8248000,2869000,None,None,None,None,None,5379000
FMR,2005-12-31,USD,None,38769000,27331000,27331000,10416000,None,None,None,None,None,None,2613000,None,None,None,None,7949000,3000000,None,None,None,None,None,4949000
FMR,2005-09-30,USD,None,34155000,23585000,23585000,10434000,None,None,None,None,None,None,1675000,None,None,None,None,9141000,3172000,None,None,None,None,None,5969000
