SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GHL,2020-12-31,USD,152905000,152905000,0,46494000,80110000,9827000,None,60638000,None,-3457000,0,3457000,140608000,None,None,449000,76653000,13403000,3457000,62755000,71914000,80110000,80559000,63250000
GHL,2020-09-30,USD,52399000,52399000,0,46754000,-7081000,13357000,None,63126000,None,-3519000,0,3519000,55918000,None,None,551000,-10600000,-1225000,3519000,-9375000,-5215000,-7081000,-6530000,-9375000
GHL,2020-06-30,USD,44058000,44058000,0,46476000,-15110000,12079000,None,62896000,None,-3728000,0,3728000,47786000,None,None,569000,-18838000,-3870000,3728000,-14968000,-5146000,-15110000,-14541000,-14968000
GHL,2020-03-31,USD,-4783000,62316000,67099000,54360000,-2671000,12461000,None,69770000,None,-4783000,0,4783000,67099000,None,None,599000,-7454000,119000,4783000,-7573000,-21605000,-2671000,-2072000,-7573000
GHL,2019-12-31,USD,128900000,106700000,-22200000,44443000,41300000,14353000,None,65400000,None,-5217000,-17000,5200000,-194315000,None,None,621000,36100000,11900000,5217000,24245000,30041000,41300000,41921000,24200000
GHL,2019-09-30,USD,81305000,87000000,5695000,43376000,25200000,13945000,None,61800000,None,-5731000,-31000,5700000,87036000,None,None,632000,19500000,4500000,5731000,14929000,10882000,25200000,25832000,15000000
GHL,2019-06-30,USD,56100000,56100000,0,46065000,-6400000,13587000,None,62500000,None,-10600000,0,10600000,56084000,None,None,645000,-17000000,-4300000,10600000,-12700000,-12700000,-6400000,-5755000,-12700000
GHL,2019-03-31,USD,51200000,51200000,0,45062000,-14300000,13884000,None,65500000,None,-5800000,0,5800000,51195000,None,None,667000,-20100000,-4700000,5800000,-15400000,-15400000,-14300000,-13633000,-15400000
GHL,2018-12-31,USD,89100000,89100000,-43000,50140000,21600000,29012000,None,67500000,None,-5900000,13000,5900000,88485000,None,None,701000,15700000,4700000,5900000,11000000,11000000,21600000,22301000,11000000
GHL,2018-09-30,USD,86800000,86800000,0,47409000,20700000,-83612000,None,66100000,None,-5700000,0,5700000,86495000,None,None,689000,15000000,3800000,5700000,11200000,11200000,20700000,21413000,11200000
GHL,2018-06-30,USD,88500000,88500000,0,48438000,19500000,62337000,None,69000000,None,-5600000,0,5600000,88051000,None,None,717000,13900000,3300000,5600000,10600000,10600000,19500000,20173000,10600000
GHL,2018-03-31,USD,87500000,87500000,1200000,49208000,19000000,63042000,None,68500000,None,-5300000,0,5300000,86769000,None,None,763000,13700000,7400000,5300000,6300000,6300000,19000000,19779000,6300000
GHL,2017-12-31,USD,66892000,66900000,8000,40130000,3000000,69145000,None,63900000,None,-2685000,2015000,4700000,66179000,None,None,791000,-1738000,24500000,4717000,-26496000,-25333000,3000000,3791000,-26238000
GHL,2017-09-30,USD,48092000,48092000,0,37178000,-16696000,50302000,None,58370000,None,-873000,0,873000,48080000,None,None,777000,-10278000,-4366000,873000,-5912000,-3371000,-16696000,-15919000,-5912000
GHL,2017-06-30,USD,67269000,67269000,0,38843000,5282000,51850000,None,57693000,None,-789000,0,789000,67038000,None,None,760000,9576000,3331000,789000,6245000,8360000,5282000,6042000,6245000
GHL,2017-03-31,USD,56929000,56929000,0,44050000,4524000,55500000,None,54755000,None,-567000,252000,819000,56700000,None,None,786000,2174000,2920000,819000,-746000,3870000,4524000,5310000,-746000
GHL,2016-12-31,USD,101591000,101600000,9000,67613000,32358000,79365000,None,69200000,None,-523000,277000,800000,101482000,None,None,811000,32367000,8700000,783000,23412000,17909000,32358000,33169000,23667000
GHL,2016-09-30,USD,76578000,76578000,0,55724000,19200000,52941000,None,57378000,None,-733000,163000,896000,76487000,None,None,793000,19200000,6090000,896000,13110000,13915000,19200000,19993000,13110000
GHL,2016-06-30,USD,90485000,90485000,0,57955000,29865000,55836000,None,60620000,None,-546000,256000,802000,90265000,None,None,791000,29865000,10237000,802000,19628000,16558000,29865000,30656000,19628000
GHL,2016-03-31,USD,66865000,66865000,0,58428000,6458000,55872000,None,60407000,None,-483000,263000,746000,66553000,None,None,848000,6458000,2101000,746000,4357000,8386000,6458000,7306000,4357000
