SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GIVN,2013-09-30,USD,None,50023000,9072000,9072000,6521000,32235000,6729000,None,None,None,None,None,None,None,None,None,6472000,21000,None,None,None,None,None,6451000
GIVN,2013-06-30,USD,None,49464000,8936000,8936000,5538000,32809000,6199000,None,None,None,None,None,None,None,None,None,5369000,174000,None,None,None,None,None,5195000
GIVN,2013-03-31,USD,None,40620000,7112000,7112000,147000,31163000,6101000,None,None,None,None,None,None,None,None,None,91000,312000,None,None,None,None,None,None
GIVN,2012-12-31,USD,None,48747000,10123000,10123000,4943000,31404000,4652000,None,None,None,None,None,None,None,None,None,3913000,None,None,None,None,None,None,5100000
GIVN,2012-09-30,USD,None,45403000,8090000,8090000,6446000,28758000,5406000,None,None,None,None,None,None,None,None,None,6668000,662000,None,None,None,None,None,6006000
GIVN,2012-06-30,USD,None,44512000,7964000,7964000,3435000,30898000,6974000,None,None,None,None,None,None,None,None,None,3403000,360000,None,None,None,None,None,3043000
GIVN,2012-03-31,USD,None,41839000,8197000,8197000,502000,31144000,7156000,None,None,None,None,None,None,None,None,None,732000,624000,None,None,None,None,None,201000
GIVN,2011-12-31,USD,None,48484000,8848000,8848000,4994000,32539000,7089000,None,None,None,None,None,None,None,None,None,5804000,70000,None,None,None,None,None,5622000
GIVN,2011-09-30,USD,None,44729000,8140000,8140000,4346000,30120000,6847000,None,None,None,None,None,None,None,None,None,4536000,780000,None,None,None,None,None,3762000
GIVN,2011-06-30,USD,None,44773000,8913000,8913000,2571000,31217000,5619000,None,None,None,None,None,None,None,None,None,2630000,716000,None,None,None,None,None,1917000
GIVN,2011-03-31,USD,None,39969000,7269000,7269000,1470000,29232000,5461000,None,None,None,None,None,None,None,None,None,1357000,592000,None,None,None,None,None,677000
GIVN,2010-12-31,USD,None,44920000,8156000,8156000,4060000,30865000,5643000,None,None,None,None,None,None,None,None,None,3957000,799000,None,None,None,None,None,3203000
GIVN,2010-09-30,USD,None,38658000,6996000,6996000,861000,29034000,5635000,None,None,None,None,None,None,None,None,None,1315000,334000,None,None,None,None,None,1011000
GIVN,2010-06-30,USD,None,42134000,6995000,6995000,4566000,28015000,5163000,None,None,None,None,None,None,None,None,None,2262000,100000,None,None,None,None,None,2211000
GIVN,2010-03-31,USD,None,32097000,5838000,5838000,1781000,22980000,3777000,None,None,None,None,None,None,None,None,None,2016000,129000,None,None,None,None,None,2053000
GIVN,2009-12-31,USD,None,40040000,7796000,7796000,5381000,25280000,4211000,None,None,None,None,None,None,None,None,None,4800000,None,None,None,None,None,None,5369000
GIVN,2009-09-30,USD,None,35220000,6296000,6296000,2961000,24432000,4632000,None,None,None,None,None,None,None,None,None,3731000,6000,None,None,None,None,None,3839000
GIVN,2009-06-30,USD,None,36030000,7104000,7104000,2090000,25319000,4214000,None,None,None,None,None,None,None,None,None,3403000,None,None,None,None,None,None,4888000
GIVN,2009-03-31,USD,None,30473000,5853000,5853000,1106000,22049000,3676000,None,None,None,None,None,None,None,None,None,None,28000,None,None,None,None,None,239000
GIVN,2008-12-31,USD,None,33776000,7921000,7921000,2250000,22261000,7857000,None,None,None,None,None,None,None,None,None,None,17000,None,None,None,None,None,None
GIVN,2008-09-30,USD,None,31136000,6495000,6495000,680000,22663000,3540000,None,None,None,None,None,None,None,None,None,1609000,107000,None,None,None,None,None,2109000
