SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GLYC,2020-12-31,USD,None,162935,None,None,-15568343,4011000,11720358,15731278,None,5000,5000,-5608,None,None,None,None,-15562735,None,None,-15562735,None,-15568343,None,-15562735
GLYC,2020-09-30,USD,1000000,1000000,None,None,-13727297,4058000,10669767,14727297,None,4762,4762,-4762,None,None,None,None,-13722535,None,None,-13722535,None,-13661240,None,-13722535
GLYC,2020-06-30,USD,None,0,None,None,-14105730,4235000,9870813,14105730,None,26701,26701,-26701,None,None,None,None,-14079029,None,None,-14079029,None,-14038132,None,-14079029
GLYC,2020-03-31,USD,None,9000000,None,None,-8108020,4440000,12668260,17108020,None,445416,445416,-445416,None,None,None,None,-7662604,None,None,-7662604,None,-8040069,None,-7662604
GLYC,2019-12-31,USD,None,0,None,None,-32151078,3868038,11467062,32151078,None,608792,608792,-1594946,None,None,None,None,-30556132,None,None,-30556132,None,-15267257,None,-14726317
GLYC,2019-09-30,USD,None,0,None,None,-14105110,3381000,10724178,14105110,None,853228,853228,-853228,None,None,None,None,-13251882,None,None,-13251882,None,-14105110,None,-13251882
GLYC,2019-06-30,USD,None,0,None,None,-16816359,3751000,13065359,16816359,None,986154,986154,None,None,None,None,None,-15830205,None,None,-15829815,None,-16592012,None,-15829815
GLYC,2019-03-31,USD,None,0,None,None,-15133114,3360000,11772666,15133114,None,1049217,1049220,-1049217,None,None,None,None,-14083897,None,None,-14083897,None,-14912539,None,-14083897
GLYC,2018-12-31,USD,0,0,0,0,-14959853,2921050,12038996,14959853,None,None,None,-3231190,None,None,None,None,-13906915,0,None,-13906915,None,-14891717,None,-13906915
GLYC,2018-09-30,USD,0,0,0,0,-12519520,2790000,9729089,12519520,None,None,None,0,None,944409,None,None,-11575111,0,None,-11575111,None,-12450612,None,-11575111
GLYC,2018-06-30,USD,0,0,0,0,-12148902,2847,9302266,12148902,None,None,None,0,None,870139,None,None,-11278763,0,None,-11278763,None,-9235553,None,-11278763
GLYC,2018-03-31,USD,0,0,0,0,-11876548,2855000,9021423,11876548,None,None,None,0,None,363704,None,None,-11512844,0,None,-11512844,None,-11807666,None,-11512844
GLYC,2017-12-31,USD,0,0,0,0,-9535862,2816188,6719755,9535862,None,None,None,0,None,278004,None,None,-9257858,0,None,-9257858,None,-9466378,None,-9257858
GLYC,2017-09-30,USD,0,0,0,0,-8181735,2402000,5779759,8181735,None,None,None,0,None,231634,None,None,-7950101,0,None,-7950101,None,-8111699,None,-7950101
GLYC,2017-06-30,USD,0,0,0,0,-8243875,2522000,5722070,8243875,None,None,None,0,None,102079,None,None,-8141796,0,None,-8141796,None,-8174493,None,-8141796
GLYC,2017-03-31,USD,0,0,0,0,-7970808,2092000,5878508,7970808,None,None,None,0,None,39495,None,None,-7931313,0,None,-7931313,None,-7916169,None,-7931313
GLYC,2016-12-31,USD,7575075,500,8307000,8307000,-8358271,2298000,6060460,15933346,None,None,None,0,None,29674,None,None,-8328597,0,None,-8328597,None,-8328597,None,-8328597
GLYC,2016-09-30,USD,18500,18500,7859000,7859000,-7886756,1984000,5921461,7905256,None,None,None,0,None,32063,None,None,-7854693,0,None,-7854693,None,-7854693,None,-7854693
GLYC,2016-06-30,USD,0,0,8047000,8047000,-8093383,2312000,5781176,8093383,None,None,None,0,None,21813,None,None,-8071570,0,None,-8071570,None,-8071570,None,-8071363
GLYC,2016-03-31,USD,-7575075,0,7575075,7575075,-7575075,2056000,5518722,0,None,None,None,0,None,20097,None,None,-7554978,0,None,-7554978,None,-7554978,None,-7554978
GLYC,2015-12-31,USD,35000,35375,8922901,8922901,-8887526,1961000,6961185,32855575,None,None,None,0,None,5823,None,None,-8881703,0,None,-8881703,None,-8881703,None,-8881703
