SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GMDA,2020-12-31,USD,None,0,None,None,-22055000,11605000,12419000,22055000,None,-3344000,-1967000,-1660000,None,None,None,None,-32295000,None,None,-32295000,None,-33274000,None,-32295000
GMDA,2020-09-30,USD,None,0,None,None,-15060000,4606000,10454000,15060000,None,308000,1309000,1001000,None,None,None,None,-14752000,None,None,-14752000,None,-13141000,None,-14752000
GMDA,2020-06-30,USD,None,0,None,None,-12844000,2141000,9319000,12844000,None,-2211000,109000,2320000,None,None,None,None,-15055000,None,None,-15055000,None,-16710000,None,-15055000
GMDA,2020-03-31,USD,None,0,None,None,-12341000,2994000,7879000,12341000,None,1739000,2658000,919000,None,None,None,None,-10602000,None,None,-10602000,None,-8313000,None,-10602000
GMDA,2019-12-31,USD,None,0,None,None,-14368000,-104000,9780000,14368000,None,-16242000,-15420000,-1709000,None,None,None,None,-14710000,None,None,-14710000,None,-14701000,None,-14710000
GMDA,2019-09-30,USD,None,0,None,None,-11984000,4621000,7363000,11984000,None,1718000,2613000,895000,None,None,None,None,-10266000,-170000,None,-10096000,None,-8001000,None,-10096000
GMDA,2019-06-30,USD,None,0,None,None,-10797000,3761000,7036000,10797000,None,16833000,18169000,1336000,None,None,None,None,6036000,74000,None,5962000,None,23572000,None,5962000
GMDA,2019-03-31,USD,None,0,None,None,-11096000,3813000,7283000,11096000,None,-4385000,-4385000,4734000,None,None,None,None,-15481000,26000,None,-15507000,None,-19324000,None,-15507000
GMDA,2018-12-31,USD,0,0,0,0,-9467000,4591000,4876000,9467000,None,None,None,-4734000,None,None,None,None,-22558000,70000,None,-22628000,None,-35526000,None,-22628000
GMDA,2018-09-30,USD,0,0,0,0,-7570000,2438000,5132000,7570000,None,None,None,-2356000,None,None,None,None,-9822000,0,None,-9822000,None,-12028000,None,-9822000
GMDA,2018-06-30,USD,0,0,0,0,-9894000,2917000,6977000,9894000,None,None,None,-3230000,None,None,None,None,-13090000,0,None,-13090000,None,-9894000,None,-13090000
GMDA,2018-03-31,USD,0,0,0,0,-8303500,2285000,6018500,8303500,None,None,None,-2102000,None,None,None,None,-10240500,0,None,-10240500,None,-8303500,None,-10240500
GMDA,2017-12-31,USD,0,0,0,0,-15136000,10282000,7677000,15136000,None,None,None,246000,None,None,None,None,-15074000,0,None,-15074000,None,-15136000,None,-15074000
GMDA,2017-09-30,USD,0,0,0,0,-4354000,2437000,675000,4354000,None,None,None,-216000,None,None,None,None,-3937000,0,None,-3937000,None,-4354000,None,-3937000
GMDA,2017-06-30,USD,0,0,0,0,0,3417000,2699000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
GMDA,2017-03-31,USD,0,0,0,0,0,5629000,4642000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
GMDA,2016-12-31,USD,0,0,0,0,-23709000,23585000,23125000,23709000,None,None,None,23000,None,None,None,None,-22671000,0,None,-22671000,None,-23709000,None,-22671000
