SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GPRO,2020-12-31,USD,136083000,357772000,221689000,221689000,55355000,53213000,27515000,80728000,None,-5483000,None,5483000,None,-10826000,None,700000,44513000,100000,94000,44400000,44400000,55355000,56055000,44413000
GPRO,2020-09-30,USD,99312000,280507000,181195000,181195000,8854000,53223000,37235000,90458000,None,-5260000,None,5260000,None,-4305000,None,1000000,4507000,1200000,5260000,3268000,3268000,8854000,9854000,3307000
GPRO,2020-06-30,USD,40692000,134246000,93554000,93554000,-44914000,51048000,34558000,85606000,None,-4671000,None,4671000,None,-4992000,None,1000000,-49875000,1100000,4671000,-51000000,-51000000,-44914000,-43914000,-50975000
GPRO,2020-03-31,USD,38427000,119400000,80973000,80973000,-56114000,62260000,32281000,94541000,None,-4843000,-4843000,4843000,None,-5015000,None,1900000,-61128000,2400000,4843000,-63529000,-63529000,-56114000,-54214000,-63528000
GPRO,2019-12-31,USD,201825000,528345000,326520000,326520000,96100000,74046000,31679000,105725000,None,-5197000,-5197000,5197000,None,-4208000,None,1191000,91920000,-3900000,5197000,95858000,95858000,96100000,97291000,95820000
GPRO,2019-09-30,USD,28432000,131169000,102737000,102737000,-71198000,64690000,34940000,99630000,None,-4623000,-4623000,4623000,None,-3885000,None,4110000,-75083000,-273000,4623000,-74821000,-74821000,-71198000,-67088000,-74810000
GPRO,2019-06-30,USD,102185000,292429000,190244000,190244000,-6947000,70321000,38811000,109132000,None,-4882000,-4882000,4882000,None,-4945000,None,2000000,-11887000,-600000,4882000,-11292000,-11292000,-6947000,-4947000,-11287000
GPRO,2019-03-31,USD,80347000,242708000,162361000,162361000,-20288000,63171000,37464000,100635000,None,-4527000,-4527000,4527000,None,-3699000,None,4726000,-23987000,378000,4527000,-24365000,-24365000,-20288000,-15562000,-24365000
GPRO,2018-12-31,USD,142117000,377378000,235261000,235261000,32967000,72215000,36935000,109150000,None,-4879000,None,4879000,None,359000,None,2000000,33326000,1655000,4879000,31671000,31671000,32967000,34967000,31671000
GPRO,2018-09-30,USD,91032000,285936000,194904000,194904000,-21354000,71229000,41157000,112386000,None,-4616000,None,4616000,None,-3955000,None,3400000,-25309000,1780000,4616000,-27089000,-27089000,-21354000,-17954000,-27089000
GPRO,2018-06-30,USD,83369000,282677000,199308000,199308000,-30836000,75980000,38225000,114205000,None,-4621000,None,4621000,None,-5727000,None,3300000,-36563000,706000,4621000,-37269000,-37269000,-30836000,-27536000,-37269000
GPRO,2018-03-31,USD,44916000,202346000,157430000,157430000,-74739000,68676000,50979000,119655000,None,-4567000,None,4567000,None,-4390000,None,2700000,-79129000,-2782000,4567000,-76347000,-76347000,-74739000,-72039000,-76347000
GPRO,2017-12-31,USD,79786000,334796000,255010000,255010000,-58311000,85593000,52504000,138097000,None,-4508000,None,4508000,None,-4480000,None,2300000,-62791000,-6943000,4508000,-55848000,-55848000,-58311000,-56011000,-55848000
GPRO,2017-09-30,USD,130546000,329805000,199259000,199259000,8049000,67399000,55098000,122497000,None,-4554000,None,4554000,None,-4232000,None,2200000,3817000,-10844000,4554000,14661000,14661000,8049000,10249000,14661000
GPRO,2017-06-30,USD,105632000,296526000,190894000,190894000,-24983000,75118000,55497000,130615000,None,-3784000,None,3784000,None,-3562000,None,2200000,-28545000,1991000,3784000,-30536000,-30536000,-24983000,-22783000,-30536000
GPRO,2017-03-31,USD,68566000,218614000,150048000,150048000,-88215000,90615000,66166000,156781000,None,-814000,None,814000,None,-653000,None,2300000,-88868000,22282000,814000,-111182000,-111182000,-88215000,-85915000,-111150000
GPRO,2016-12-31,USD,212135000,540621000,328486000,328486000,-26568000,145975000,92728000,238703000,None,-1177000,None,1177000,None,-1750000,None,2600000,-28318000,87391000,1177000,-115709000,-115709000,-26568000,-23968000,-115709000
GPRO,2016-09-30,USD,97069000,240569000,143500000,143500000,-115589000,116512000,96146000,212658000,None,-1156000,None,1156000,None,-808000,None,2600000,-116397000,-12329000,1156000,-104068000,-104068000,-115589000,-112989000,-104068000
GPRO,2016-06-30,USD,93002000,220755000,127753000,127753000,-109377000,109330000,93049000,202379000,None,None,None,516000,None,660000,None,2400000,-108717000,-16950000,None,-91767000,-91767000,-109377000,-106977000,-91767000
GPRO,2016-03-31,USD,59714000,183536000,123822000,115136000,-121435000,104170000,76979000,181149000,None,None,None,143000,None,-307000,None,1500000,-121742000,-14283000,None,-107459000,-107459000,-121435000,-119935000,-107459000
