SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
GRIL,2020-09-30,USD,1069342,1069342,0,346808,-736592,483283,None,2392305,None,-20128,0,20128,1089470,-5360,101642,80113,-662080,None,20128,14649456,14649456,-736592,-656479,-662080
GRIL,2020-06-30,USD,833557,833557,0,838310,-1393936,1238943,None,3467565,None,-1129,0,1129,834686,-10360,81337,97245,-1501425,None,1129,-1501425,-1501425,-1393936,-1296691,-1501425
GRIL,2020-03-31,USD,1302532,1302532,0,6791607,-5356553,5233046,None,12024653,None,-132522,0,132522,1435054,-3188,95349,111257,-5492263,None,132522,-5492263,-5492263,-5356553,-5245296,-5492263
GRIL,2019-12-31,USD,-1615698,-337941,1277757,1415340,-883615,676032,None,2837404,None,-1615698,0,1615698,1277757,-2841,74235,90318,-23010130,None,1615698,-23010130,-23010130,-883615,-793297,-23010130
GRIL,2019-09-30,USD,-1065410,48048,1113458,897360,-1396092,1528747,None,4186144,None,-1065410,0,1065410,1113458,112673,42950,59033,-2348829,None,1065410,-2348829,-2348829,-1396092,-1337059,-2348829
GRIL,2019-06-30,USD,-984261,399155,1383416,852760,-561102,966735,None,2911253,None,-984261,0,984261,1383416,2757,47004,62912,-1542606,None,984261,-1542606,-1542606,-561102,-498190,-1542606
GRIL,2019-03-31,USD,-558533,625841,1184374,782230,-813196,1107453,None,3105023,None,-558533,0,558533,1184374,-111750,52960,68692,-1483480,None,558533,-1483479,-1483479,-813196,-744504,-1483479
GRIL,2018-12-31,USD,-361209,1040814,1402023,589270,-22619,612620,None,2049504,-157344,-361209,0,361209,1402023,35907,39186,55270,-505270,None,361209,-505265,-505265,-22619,32651,-505265
GRIL,2018-09-30,USD,-267447,777933,1045380,932410,-848388,928005,None,2822423,-94655,-267447,0,267447,1045380,2900193,31580,47663,-1144470,None,267447,-1144557,-1144557,-848388,-800725,-1144468
GRIL,2018-06-30,USD,-1103420,-571096,532324,None,-1165186,1461927,None,4620245,-88914,-647251,694285,1341536,1080794,-1198549,32226,49021,None,None,647251,-2363735,-2368921,-1165186,-1116165,-2368921
GRIL,2018-03-31,USD,2038303,2038303,None,None,-1549653,1402913,None,4993671,-642586,-305055,None,305055,2537008,-1641330,31720,48931,None,None,305055,-3190983,-3183726,-1549653,-1500722,-3183726
GRIL,2017-12-31,USD,1683082,1683082,None,None,-3512460,2226182,None,7516701,-22488,-7913584,None,7913584,1683082,-21641,110099,137962,-3322488,-151065,7913584,-3383036,-3171423,-3512460,-3374498,-3171423
GRIL,2017-09-30,USD,None,2355233,None,None,-5164151,None,None,None,6392,None,None,None,None,-186512,114791,140535,-4895755,-31821,None,None,None,-5164151,-5023616,-4863934
