SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
HMHC,2020-12-31,USD,65986000,190661000,137575000,137575000,-68973000,111095000,None,193655000,None,-15500000,26000,15526000,204061000,879000,12699000,65462000,-84659000,-1514000,15526000,-83145000,-92318000,-68973000,-3511000,-83145000
HMHC,2020-09-30,USD,151711000,370886000,219175000,219175000,272000,127324000,None,220815000,None,-16136000,32000,16168000,387022000,2202000,12566000,59946000,-13633000,-1081000,16168000,-12552000,-12380000,272000,60218000,-12552000
HMHC,2020-06-30,USD,73102000,233929000,160827000,160827000,-22212000,106329000,None,111038000,None,-17407000,75000,17482000,251336000,195000,12961000,55856000,-39438000,-1270000,17482000,-38168000,-37175000,-22212000,33644000,-38168000
HMHC,2020-03-31,USD,-142872000,173528000,126475000,126475000,-338176000,133353000,None,450578000,None,-16017000,766000,16783000,189545000,386000,12489000,55225000,-354473000,-8500000,16783000,-345973000,-346417000,-338176000,-282951000,-345973000
HMHC,2019-12-31,USD,59065000,227507000,182410000,182410000,-108947000,146400000,None,233320000,None,-12177000,1459000,13636000,237384000,-2632000,14530000,71099000,-125173000,-55000,17999000,-125118000,-123076000,-108947000,-37848000,-125118000
HMHC,2019-09-30,USD,273481000,553843000,292187000,292187000,77871000,188957000,None,255171000,None,-11088000,509000,11597000,564931000,-228000,13901000,65944000,66658000,-2602000,11597000,69260000,68652000,77871000,143815000,69260000
HMHC,2019-06-30,USD,156055000,388896000,232841000,232841000,-30253000,175266000,None,185967000,None,-11866000,97000,11963000,388896000,113000,16865000,67247000,-40213000,400000,11963000,-40613000,-40613000,-30253000,36994000,-40613000
HMHC,2019-03-31,USD,57893000,194635000,136742000,136742000,-101835000,151983000,None,221606000,None,-10490000,1092000,11582000,194635000,642000,16179000,68402000,-110907000,6455000,11582000,-117362000,-117362000,-101835000,-33433000,-117362000
HMHC,2018-12-31,USD,91663000,249038000,157375000,157375000,-74711000,158243000,None,226486000,None,-9995000,1650000,11645000,249038000,1250000,18659000,67248000,-52428000,3493000,11645000,-86390000,-55921000,-74711000,-7463000,-55921000
HMHC,2018-09-30,USD,278175000,516255000,238080000,238080000,91838000,176202000,None,225136000,None,-11350000,277000,11627000,516255000,28000,17701000,56013000,83000000,-3349000,11627000,83908000,86349000,91838000,147851000,86349000
HMHC,2018-06-30,USD,162827000,357365000,194538000,201759000,-14747000,174152000,None,185000000,None,-11355000,117000,11472000,357365000,-980000,21122000,63920000,-21088000,2184000,11472000,-29089000,-23272000,-14747000,54964000,-23272000
HMHC,2018-03-31,USD,64315000,199759000,135444000,143715000,-92905000,150534000,None,0,None,-10430000,506000,10936000,199759000,878000,19238000,63285000,-96607000,4704000,10936000,-105886000,-101311000,-92905000,-23264000,-101311000
HMHC,2017-12-31,USD,89692000,250468000,170811000,170811000,-76462000,154239000,None,232492000,None,-10128000,1338000,11466000,93000,1431000,18561000,71789000,-86497000,-60329000,11466000,-26168000,-21184000,-76462000,-4673000,-26168000
HMHC,2017-09-30,USD,267280000,521718000,254438000,254438000,90210000,178104000,None,250413000,None,-10699000,None,10699000,377000,377000,18548000,70541000,79888000,-10618000,10699000,90506000,91376000,90210000,160751000,90506000
HMHC,2017-06-30,USD,167152000,383470000,216318000,216318000,-31166000,166165000,None,210425000,None,-10432000,None,10432000,851000,851000,19115000,67867000,-40747000,6120000,10432000,-46867000,-47247000,-31166000,36701000,-46867000
HMHC,2017-03-31,USD,63243000,211754000,148511000,148511000,-96103000,156352000,None,224048000,None,-10208000,None,10208000,45000,45000,19270000,68321000,-106266000,14392000,10208000,-120658000,-119359000,-96103000,-27782000,-120658000
HMHC,2016-12-31,USD,64936000,230335000,176870000,176870000,-250788000,161138000,None,387906000,None,-10435000,None,10435000,-1036000,-1036000,20866000,80808000,-262259000,-81218000,10435000,-181041000,-185248000,-250788000,-169980000,-181041000
HMHC,2016-09-30,USD,269132000,523785000,254653000,254653000,83371000,185252000,None,264698000,None,-9493000,None,9493000,257000,257000,21225000,75681000,74135000,-15887000,9493000,90022000,89691000,83371000,159052000,90022000
HMHC,2016-06-30,USD,162827000,382021000,219194000,219194000,-21152000,184479000,None,212445000,None,-9402000,None,9402000,-619000,-619000,19390000,71086000,-31173000,-2782000,9402000,-28391000,-31499000,-21152000,49934000,-28391000
HMHC,2016-03-31,USD,45675000,197267000,151592000,151592000,-122204000,168675000,None,240846000,None,-9333000,None,9333000,784000,784000,18344000,70594000,-130753000,34395000,9333000,-165148000,-171069000,-122204000,-51610000,-165148000
