SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
HUYA,2020-12-31,CNY,597661000,2990342000,2392681000,2392681000,187353000,289163000,215664000,2802989000,None,73993000,73993000,None,None,None,None,None,261125000,37285000,None,253161000,None,187353000,None,253161000
HUYA,2020-09-30,CNY,620577000,2814840000,2194263000,2194263000,222920000,262587000,182683000,2591920000,None,75919000,75919000,None,None,None,None,None,303516000,50657000,None,253013000,None,222920000,None,253013000
HUYA,2020-06-30,CNY,575025000,2697244000,2122219000,2122219000,201353000,234526000,179856000,373672000,None,77714000,77714000,None,None,None,None,None,278092000,51286000,None,226758000,None,354783000,None,226758000
HUYA,2020-03-31,CNY,474803000,2411948000,1937145000,1937145000,133330000,196742000,156058000,341473000,None,85740000,85740000,None,None,None,None,None,209795000,37556000,None,171226000,None,295257000,None,171226000
HUYA,2019-12-31,CNY,466561000,2467470000,2000909000,2000909000,101626000,214691000,178290000,364935000,None,88346000,88346000,0,None,0,None,None,190071000,27599000,None,159670000,None,275714000,None,159670000
HUYA,2019-09-30,CNY,406320000,2265092000,1858772000,1858772000,63865000,218634000,134969000,342455000,None,86539000,86539000,0,None,0,None,None,151049000,27879000,None,123242000,None,238305000,None,123242000
HUYA,2019-06-30,CNY,335668000,2010461000,1674793000,1674793000,67669000,193920000,105411000,267999000,None,75021000,75021000,0,None,0,None,None,143477000,21632000,None,121801000,None,219241000,None,121801000
HUYA,2019-03-31,CNY,273373000,1631478000,1358105000,1358105000,28218000,163975000,90044000,245155000,None,54585000,54211000,0,None,0,None,None,82429000,18968000,None,63460000,None,136639000,None,63460000
HUYA,2018-12-31,CNY,238637000,1504929000,1266292000,1266292000,391429.45,152136000,1671923.69,220117000,None,None,None,0,None,0,None,None,1431549.65,-673102.25,None,2104651.91,None,120388000,None,2104651.91
HUYA,2018-09-30,USD,193740000,1276597000,1082857000,1082857000,-395405.38,132903000,10864184.95,196456000,None,None,None,0,None,0,None,None,7018591.04,-1246487.79,None,8265078.83,None,99126000,None,8265078.83
HUYA,2018-06-30,USD,24950059.99,155718656.27,130768596.28,130768596.28,-2593431.31,19519346.13,8992801.44,0,None,None,None,0,None,0,None,None,-319663617.28,-910317.94,None,-318753299.34,None,-2593431.31,None,-318753299.34
HUYA,2018-03-31,USD,20866013.85,134317649.87,113451636.02,113451636.02,4482286.44,9827720.72,8193296.71,129835363.43,None,None,None,0,None,None,None,None,4289945.07,-710771.44,None,5000716.50,None,4482286.44,None,5000716.50
HUYA,2017-12-31,USD,254952000,118795000,101682000,101682000,-84495000,17740000,7150000,2269311000,None,None,None,0,None,None,None,None,473000,0,None,-80968000,None,-84495000,None,473000
HUYA,2017-09-30,USD,22778000,90109000,78896000,78896000,70668000,16540000,7567000,-73509000,None,None,None,0,None,None,None,None,69230000,0,None,69230000,None,70668000,None,69230000
HUYA,2017-06-30,USD,-134869000,68943000,60429000,60429000,-304799000,11114000,5277000,587291000,None,None,None,0,None,None,None,None,-302801000,0,None,-302801000,None,-304799000,None,-302801000
HUYA,2017-03-31,USD,112091000,57953000,55608000,55608000,234131000,9852000,6159000,-513782000,None,None,None,0,None,None,None,None,233571000,0,None,233571000,None,234131000,None,233571000
HUYA,2016-12-31,USD,-297740000,46153000,51583000,51583000,-626145000,11574000,6844000,1423049000,None,None,None,0,None,None,None,None,-625627000,0,None,-625627000,None,-626145000,None,-625627000
HUYA,2016-09-30,USD,0,29390000,41726000,41726000,0,13028000,7086000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
HUYA,2016-06-30,USD,0,20985000,33112000,33112000,0,12002000,7275000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
HUYA,2016-03-31,USD,0,18250000,31241000,31241000,0,10696000,5921000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
