SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
IKAN,2015-06-30,USD,None,11068000,3866000,3866000,None,17519000,12618000,None,None,None,None,None,None,None,None,None,None,95000,None,None,None,None,None,None
IKAN,2015-03-31,USD,None,10181000,3829000,3829000,None,16819000,11813000,None,None,None,None,None,None,None,None,None,None,54000,None,None,None,None,None,None
IKAN,2014-12-31,USD,None,11517000,4523000,4523000,None,15681000,11218000,None,None,None,None,None,None,None,None,None,None,121000,None,None,None,None,None,None
IKAN,2014-09-30,USD,None,11079000,5112000,5112000,None,14822000,10822000,None,None,None,None,None,None,None,None,None,None,190000,None,None,None,None,None,None
IKAN,2014-06-30,USD,None,11255000,4628000,4628000,None,17513000,13408000,None,None,None,None,None,None,None,None,None,None,168000,None,None,None,None,None,None
IKAN,2014-03-31,USD,None,14513000,6304000,6304000,None,17497000,12676000,None,None,None,None,None,None,None,None,None,None,127000,None,None,None,None,None,None
IKAN,2013-12-31,USD,None,17582000,7679000,7679000,None,17092000,12503000,None,None,None,None,None,None,None,None,None,None,246000,None,None,None,None,None,None
IKAN,2013-09-30,USD,None,16900000,7008000,7008000,None,17044000,12455000,None,None,None,None,None,None,None,None,None,None,111000,None,None,None,None,None,None
IKAN,2013-06-30,USD,None,19115000,8491000,8491000,None,17465000,12599000,None,None,None,None,None,None,None,None,None,None,68000,None,None,None,None,None,None
IKAN,2013-03-31,USD,None,26152000,10807000,10807000,None,18290000,13518000,None,None,None,None,None,None,None,None,None,None,164000,None,None,None,None,None,None
IKAN,2012-12-31,USD,None,31758000,15203000,15203000,None,19341000,14120000,None,None,None,None,None,None,None,None,None,None,608000,None,None,None,None,None,None
IKAN,2012-09-30,USD,None,31375000,14930000,14930000,None,21088000,16581000,None,None,None,None,None,None,None,None,None,None,85000,None,None,None,None,None,None
IKAN,2012-06-30,USD,None,32055000,14703000,14703000,None,17490000,12842000,None,None,None,None,None,None,None,None,None,None,206000,None,None,None,None,None,None
IKAN,2012-03-31,USD,None,30760000,12585000,12585000,None,18680000,14000000,None,None,None,None,None,None,None,None,None,None,115000,None,None,None,None,None,None
IKAN,2011-12-31,USD,None,35443000,13803000,13803000,1863000,18024000,13069000,None,None,None,None,None,None,None,None,None,1702000,1157000,None,None,None,None,None,545000
IKAN,2011-09-30,USD,None,35420000,15772000,15772000,None,19930000,14402000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IKAN,2011-06-30,USD,None,34056000,15842000,15842000,None,20328000,14669000,None,None,None,None,None,None,None,None,None,None,87000,None,None,None,None,None,None
IKAN,2011-03-31,USD,None,31672000,13345000,13345000,None,19801000,13656000,None,None,None,None,None,None,None,None,None,None,99000,None,None,None,None,None,None
IKAN,2010-12-31,USD,None,37143000,18420000,18420000,None,18090000,10321000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IKAN,2010-09-30,USD,None,41536000,25937000,25937000,None,21224000,17232000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IKAN,2010-06-30,USD,None,55615000,39266000,39266000,None,22855000,16144000,None,None,None,None,None,None,None,None,None,None,42000,None,None,None,None,None,None
