SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
INTX,2018-09-30,USD,25004000,37484000,12481000,12481000,-15000,23412000,None,25019000,None,None,None,930000,None,56000,None,None,-889000,220000,None,-1109000,None,41000,None,-1109000
INTX,2018-06-30,USD,26198000,38620000,12421000,12421000,264000,24322000,None,25935000,None,None,None,823000,None,-37000,None,None,-597000,0,None,-597000,None,226000,None,-597000
INTX,2018-03-31,USD,26696000,39078000,12382000,12382000,1849000,23345000,None,24847000,None,None,None,531000,None,-48000,None,None,1270000,-523000,None,1793000,None,1849000,None,1793000
INTX,2017-12-31,USD,27973000,39989000,12016000,12016000,1009000,27948000,0,26967000,None,None,None,332000,None,-8000,None,None,670000,-1892000,None,2563000,None,1001000,None,1058000
INTX,2017-09-30,USD,26122000,39247000,13125000,13125000,-2659000,26971000,0,28781000,None,None,None,701000,None,-3000,None,None,-3363000,6000,None,-3369000,None,-2662000,None,-4398000
INTX,2017-06-30,USD,26366000,39935000,13570000,13570000,-4175000,30879000,0,30541000,None,None,None,602000,None,-1422000,None,None,-6200000,-18000,None,-6182000,None,-5597000,None,-6182000
INTX,2017-03-31,USD,27446000,40449000,12999000,12999000,-4254000,29579000,0,31700000,None,None,None,592000,None,34000,None,None,-4812000,-10000,None,-4802000,None,-4220000,None,-4802000
INTX,2016-12-31,USD,29655000,42200000,12503000,12503000,-11909000,31493000,0,41564000,None,None,None,664000,None,-68000,None,None,-12642000,144000,None,-12788000,None,-11977000,None,-12787000
INTX,2016-09-30,USD,28339000,43027000,13723000,13723000,-7386000,34140000,0,35725000,None,None,None,621000,None,-234000,None,None,-8241000,-133000,None,-8108000,None,-7620000,None,-8108000
INTX,2016-06-30,USD,31600000,44717000,12773000,12773000,-4373000,34192000,0,35973000,None,None,None,839000,None,-94000,None,None,-5307000,0,None,-5307000,None,-4467000,None,-5308000
INTX,2016-03-31,USD,30850000,45648000,14798000,14798000,-3931000,32932000,0,34781000,None,None,None,242000,None,-86000,None,None,-4259000,7000,None,-4266000,None,-4017000,None,-4266000
INTX,2015-12-31,USD,32658000,47408000,16166000,16166000,-19103000,38242000,0,51761000,None,None,None,159000,None,318000,None,None,-18944000,-4848000,None,-14096000,None,-19670000,None,-14096000
INTX,2015-09-30,USD,32752000,48939000,16187000,16187000,-6575000,37596000,0,39327000,None,None,None,71000,None,-65000,None,None,-6711000,-2383000,None,-4328000,None,-6640000,None,-4328000
INTX,2015-06-30,USD,36626000,51968000,15342000,15342000,-11067000,37840000,0,47693000,None,None,None,-21000,None,10000,None,None,-11035000,13804000,None,-24840000,None,-11057000,None,-24839000
INTX,2015-03-31,USD,36251000,55512000,17845000,17845000,-1509000,37679000,0,37760000,None,None,None,104000,None,-82000,None,None,-1695000,-471000,None,-1224000,None,-1591000,None,-1224000
INTX,2014-12-31,USD,34965000,56556000,20026000,20026000,-28633000,37403000,0,62214000,None,None,None,86000,None,-291000,None,None,-29011000,-7043000,None,-21140000,None,-27540000,None,-21968000
INTX,2014-09-30,USD,34076000,59814000,23609000,23609000,-9260000,43336000,0,43336000,None,None,None,258000,None,-239000,None,None,-9756000,-5850000,None,-3906000,None,-9499000,None,-3906000
INTX,2014-06-30,USD,40999000,64313000,23314000,23314000,-2569000,43568000,0,43568000,None,None,None,170000,None,-287000,None,None,-3026000,-1309000,None,-1717000,None,-2856000,None,-2036000
INTX,2014-03-31,USD,40729000,65959000,25282000,25282000,-3282000,43312000,0,44011000,None,None,None,90000,None,148000,None,None,-3224000,-440000,None,-2784000,None,-3134000,None,-2784000
INTX,2013-12-31,USD,45014000,72030000,26885000,26885000,476000,43739000,900000,44538000,None,None,None,68000,None,134000,None,None,542000,433000,None,109000,None,610000,None,119000
INTX,2013-09-30,USD,45892000,75807000,29976000,29976000,-1351000,45134000,3400000,47243000,None,None,None,15000,None,-18000,None,None,-1384000,101000,None,-1485000,None,-1369000,None,-1485000
