SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
JBLU,2020-12-31,USD,350000000,610000000,260000000,260000000,-454000000,54000000,None,399000000,None,-57000000,0,57000000,662000000,-3000000,None,128000000,-512000000,-139000000,57000000,-373000000,-371000000,-454000000,-326000000,-373000000
JBLU,2020-09-30,USD,230000000,439000000,209000000,209000000,-516000000,24000000,None,480000000,None,-53000000,0,53000000,492000000,-9000000,119000000,127000000,-578000000,-185000000,53000000,-393000000,-392000000,-516000000,-389000000,-393000000
JBLU,2020-06-30,USD,71000000,178000000,107000000,107000000,-410000000,8000000,None,272000000,None,-37000000,0,37000000,215000000,-3000000,128000000,140000000,-450000000,-130000000,37000000,-320000000,-317000000,-410000000,-270000000,-320000000
JBLU,2020-03-31,USD,-520000000,1566000000,498000000,498000000,-334000000,53000000,None,663000000,None,-22000000,0,22000000,1588000000,2000000,127000000,139000000,-354000000,-86000000,22000000,-268000000,-276000000,-334000000,-195000000,-268000000
JBLU,2019-12-31,USD,-6655000000,2029000000,590000000,590000000,227000000,106000000,None,519000000,None,-21000000,0,21000000,2031000000,11000000,125000000,140000000,220000000,59000000,21000000,161000000,164000000,227000000,367000000,161000000
JBLU,2019-09-30,USD,1464000000,2086000000,622000000,622000000,247000000,74000000,None,478000000,None,-15000000,-1000000,15000000,2101000000,21000000,120000000,134000000,254000000,67000000,15000000,187000000,185000000,247000000,381000000,187000000
JBLU,2019-06-30,USD,1459000000,2105000000,630000000,630000000,250000000,75000000,None,479000000,None,-16000000,2000000,16000000,2105000000,2000000,116000000,127000000,236000000,57000000,16000000,250000000,250000000,250000000,377000000,179000000
JBLU,2019-03-31,USD,-594000000,1871000000,577000000,577000000,76000000,66000000,None,476000000,None,-17000000,-1000000,17000000,1871000000,-1000000,113000000,124000000,58000000,16000000,17000000,76000000,76000000,76000000,200000000,42000000
JBLU,2018-12-31,USD,-639000000,1968000000,601000000,601000000,216000000,439000000,None,830000000,None,-38000000,None,38000000,1968000000,2000000,112000000,129000000,201000000,32000000,38000000,216000000,216000000,216000000,350000000,170000000
JBLU,2018-09-30,USD,-679000000,2008000000,656000000,656000000,78000000,72000000,None,792000000,None,-23000000,None,23000000,2008000000,6000000,106000000,125000000,68000000,18000000,23000000,78000000,78000000,78000000,208000000,50000000
JBLU,2018-06-30,USD,-646000000,1928000000,624000000,624000000,-152000000,75000000,None,455000000,None,-22000000,None,22000000,1928000000,3000000,104000000,120000000,-160000000,-40000000,22000000,-152000000,-152000000,-152000000,-24000000,-121000000
JBLU,2018-03-31,USD,2945000000,1754000000,541000000,541000000,125000000,566000000,None,943000000,None,-22000000,None,22000000,1754000000,2000000,101000000,117000000,110000000,22000000,22000000,125000000,125000000,125000000,245000000,90000000
JBLU,2017-12-31,USD,2985000000,3475000000,490000000,490000000,189000000,877000000,None,1237000000,None,-37000000,None,37000000,1758000000,1000000,100000000,118000000,170000000,-502000000,37000000,672000000,668000000,189000000,307000000,672000000
JBLU,2017-09-30,USD,3127000000,3603000000,476000000,476000000,310000000,534000000,None,878000000,None,-23000000,None,23000000,1817000000,3000000,99000000,114000000,293000000,114000000,23000000,179000000,183000000,310000000,424000000,179000000
JBLU,2017-06-30,USD,3210000000,3660000000,450000000,450000000,354000000,532000000,None,872000000,None,-24000000,None,24000000,1836000000,None,94000000,109000000,332000000,121000000,24000000,211000000,206000000,354000000,463000000,211000000
JBLU,2017-03-31,USD,2739000000,3183000000,444000000,444000000,147000000,526000000,None,861000000,None,-25000000,None,25000000,1600000000,2000000,90000000,105000000,126000000,41000000,25000000,85000000,77000000,147000000,252000000,85000000
JBLU,2016-12-31,USD,2840000000,3239000000,399000000,399000000,296000000,784000000,None,1104000000,None,-43000000,None,43000000,None,2000000,89000000,104000000,266000000,94000000,43000000,180000000,183000000,296000000,400000000,172000000
JBLU,2016-09-30,USD,3014000000,3434000000,420000000,420000000,354000000,480000000,None,804000000,None,-28000000,None,28000000,None,2000000,86000000,102000000,330000000,131000000,28000000,199000000,193000000,354000000,456000000,199000000
JBLU,2016-06-30,USD,2864000000,3258000000,394000000,394000000,313000000,487000000,None,796000000,None,-28000000,None,28000000,None,2000000,83000000,96000000,289000000,109000000,28000000,180000000,199000000,313000000,409000000,180000000
JBLU,2016-03-31,USD,2875000000,3203000000,328000000,328000000,349000000,499000000,None,804000000,None,-29000000,None,29000000,None,1000000,79000000,91000000,323000000,124000000,29000000,199000000,199000000,349000000,440000000,199000000
