SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
JOBS,2020-12-31,CNY,748603000,1163107000,414504000,414504000,356581000,392022000,None,806526000,None,59482000,59482000,None,None,None,None,None,384499000,52695000,None,331804000,None,356581000,None,342048000
JOBS,2020-09-30,CNY,584357000,906105000,321748000,321748000,175022000,409335000,None,731083000,None,58284000,58284000,None,None,None,None,None,203864000,39330000,None,164534000,None,175022000,None,173322000
JOBS,2020-06-30,CNY,557452000,828628000,271176000,271176000,165528000,391924000,None,391924000,None,66419000,66419000,None,None,None,None,None,432796000,59621000,None,373175000,None,558959000,None,376660000
JOBS,2020-03-31,CNY,536808000,791111000,254303000,254303000,169974000,366834000,None,366834000,None,44315000,44315000,None,None,None,None,None,238686000,36771000,None,201915000,None,306394000,None,205246000
JOBS,2019-12-31,CNY,757471000,1135619000,378148000,378148000,395297000,362174000,0,460451000,None,49214000,49214000,0,None,0,None,None,305474000,57630000,None,247844000,None,308147000,None,249549000
JOBS,2019-09-30,CNY,682263000,988953000,306690000,306690000,256746000,425517000,0,732207000,None,48390000,48390000,0,None,0,None,None,349231000,50784000,None,298447000,None,430701000,None,300161000
JOBS,2019-06-30,CNY,675859000,963592000,287733000,287733000,270216000,405643000,0,693376000,None,45424000,45424000,0,None,0,None,None,133983000,67420000,None,66563000,None,-124448000,None,67424000
JOBS,2019-03-31,CNY,662497000,911861000,249364000,249364000,283526000,378971000,0,628335000,None,32556000,-372450000,0,None,0,None,None,-26596000,60056000,None,-86652000,None,-397210000,None,-84816000
JOBS,2018-12-31,CNY,778867000,1108550000,329683000,329683000,190065,157862.17,0,305134.64,None,None,None,-16613.57,None,0,None,None,413584.50,31881.20,None,381703.30,None,1410382000,None,382533.29
JOBS,2018-09-30,USD,684676000,944003000,259327000,259327000,39386946.96,60290730.68,0,98044519.50,None,None,None,-5414404.05,None,0,None,None,123183624.74,8913799.88,None,114269824.86,None,1418912000,None,114344800.48
JOBS,2018-06-30,USD,641000000,885800000,244800000,244800000,32714757.05,422900000,0,422800000,None,None,None,-5577534.49,None,0,None,None,1251199.76,9847330.53,None,-8596130.77,None,-354600000,None,-8492501.50
JOBS,2018-03-31,USD,596400000,801400000,205000000,205000000,37582198.87,360300000,0,360300000,None,None,None,-5921662.29,None,None,None,None,-46724146.17,7033675.66,None,-53757821.83,None,-818400000,None,-52991322.35
JOBS,2017-12-31,USD,633000000,863100000,230100000,230100000,50642000,315700000,0,315700000,None,None,None,-37799000,None,None,None,None,54798000,7621000,None,517739000,None,376100000,None,47157000
JOBS,2017-09-30,USD,524200000,720300000,196200000,196200000,31186000,323300000,0,323200000,None,None,None,-37799000,None,None,None,None,-160817000,6391000,None,110322000,None,-458500000,None,-156026000
JOBS,2017-06-30,USD,487000000,665500000,178500000,178500000,28115000,44704000,0,-828204000,None,None,None,75598000,None,None,None,None,16870000,6070000,None,-418326000,None,13900000,None,10776000
JOBS,2017-03-31,USD,441000000,599700000,158700000,158700000,23891000,40176000,0,435210000,None,None,None,-37799000,None,None,None,None,29653000,5968000,None,163028000,None,194300000,None,23669000
JOBS,2016-12-31,USD,2036853039,89158000,26128000,26128000,27825000,35205000,0,2128030000,None,None,None,-74000000,None,None,None,None,31533000,4395000,None,563099893,None,717983984,None,27151000
JOBS,2016-09-30,USD,-742480117,87827000,25017000,25017000,21888000,40922000,0,-823535000,None,None,None,73702000,None,None,None,None,21138000,5092000,None,6261321,None,-228078952,None,16066000
JOBS,2016-06-30,USD,380960078,80473000,22752000,22752000,18700000,39021000,0,422000000,None,None,None,-37000000,None,None,None,None,30862000,5950000,None,-4174214,None,121933968,None,24986000
JOBS,2016-03-31,USD,0,79332000,21595000,21595000,19711000,38026000,0,0,None,None,None,0,None,None,None,None,17272000,3964000,None,0,None,0,None,13315000
JOBS,2015-12-31,USD,1485241000,88006000,25014000,25014000,27731000,35261000,0,1487514000,None,None,None,-34983000,None,None,None,None,26033000,5578000,None,617797000,None,567706000,None,20483000
