SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
JP,2020-12-31,CNY,58072621,98006876,39934255,39934255,6644742,57332879,None,91362134,None,1580173,1580173,None,None,None,None,None,-258106,41138,None,581950,None,6644742,None,1986529
JP,2020-09-30,CNY,43578663,85140277,42086200,42086200,-15016220,59147476,None,100156502,None,952648,1383760,None,None,None,None,None,-14117050,-10562496,None,-1553288,None,-15016225,None,-2969140
JP,2020-06-30,CNY,46295110,108832140,62537030,62537030,-13922980,66802040,None,60218090,None,1449615,2272080,None,None,None,None,None,-10246840,-1352337,None,-11077191,None,-9572300,None,-10492040
JP,2020-03-31,CNY,34590650,96739750,62149100,62149100,-12131990,55271800,None,46722640,None,1180005,2154710,None,None,None,None,None,-9593170,12670219,None,-24575917,None,-5068070,None,-19893000
JP,2019-12-31,CNY,45500860,138293670,92792810,92792810,-29497330,96248180,0,74998190,None,1202464,16217750,0,None,0,None,None,-12699420,19844896,None,-32630940,None,5910150,None,-30152500
JP,2019-09-30,CNY,76185940,182549450,106363510,106363510,-40176090,120919970,0,222267777,None,1582036,-3088420,0,None,0,None,None,-42773760,10288783,None,-52868619,None,-40176097,None,-47896390
JP,2019-06-30,CNY,77345640,187702840,110357200,110357200,-55169930,138137430,0,132515570,None,1882685,2320500,0,None,0,None,None,-52581630,7616808,None,-63325072,None,-51107510,None,-61044820
JP,2019-03-31,CNY,105168720,282214200,177045480,177045480,-11830600,116999320,0,116999320,None,1469415,3313910,0,None,0,None,None,-6446400,15194152,None,-23636283,None,-7084300,None,-25592360
JP,2018-12-31,CNY,-89986040,135022760,225008800,225008800,-103677.41,174965920,0,410022970,None,None,None,0,None,0,None,None,-256452.97,14947.93,None,-271400.89,None,-559947270,None,-264971.14
JP,2018-09-30,USD,154751500,311313090,156561590,156561590,84220.17,128298730,0,126895310,None,None,None,0,None,0,None,None,38240.40,24744.55,None,13495.85,None,9825210,None,5241.51
JP,2018-06-30,USD,269700000,445300000,175700000,175700000,24033429.96,124300000,0,109400000,None,None,None,0,None,0,None,None,21302436.86,7387135.42,None,13915301.44,None,138700000,None,13173663.62
JP,2018-03-31,USD,302800000,434400000,131700000,131700000,24284137.41,150400000,0,150200000,None,None,None,0,None,None,None,None,24633991.88,6228206.03,None,18405785.85,None,157300000,None,18450375.77
JP,2017-12-31,USD,192900000,461900000,269000000,269000000,9167000,142800000,0,129100000,None,None,None,0,None,None,None,None,12734000,601000,None,71179831,None,94400000,None,15020000
JP,2017-09-30,USD,267100000,442100000,175000000,175000000,22795000,120800000,0,98700000,None,None,None,0,None,None,None,None,26980000,7337000,None,174242406,None,168600000,None,17951000
JP,2017-06-30,USD,274600000,437900000,163300000,163300000,24485000,110500000,0,108600000,None,None,None,0,None,None,None,None,25371000,6660000,None,-173072515,None,161100000,None,16791000
JP,2017-03-31,USD,234000000,370700000,136700000,136700000,17702000,112100000,0,108800000,None,None,None,0,None,None,None,None,18757000,4306000,None,99471650,None,129800000,None,13176000
JP,2016-12-31,USD,450488155,44076000,19050000,19050000,10280000,14746000,0,627480458,None,None,None,0,None,None,None,None,12844000,3402000,None,230045429,None,179762929,None,8108000
JP,2016-09-30,USD,200187377,46920000,17525000,17525000,14237000,15158000,0,205424978,None,None,None,0,None,None,None,None,17673000,4801000,None,0,None,115042079,None,11662000
JP,2016-06-30,USD,0,36845000,14918000,14918000,8204000,13723000,0,0,None,None,None,0,None,None,None,None,9068000,2340000,None,0,None,0,None,6038000
JP,2016-03-31,USD,0,34583000,17214000,17214000,4355000,13014000,0,0,None,None,None,0,None,None,None,None,5447000,1356000,None,0,None,0,None,4090000
JP,2015-12-31,USD,359065322,32914000,14963000,14963000,6666000,11285000,0,391128371,None,None,None,0,None,None,None,None,9781000,3369000,None,167264455,None,203880906,None,5919000
