SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
KIDS,2020-12-31,USD,15118000,21712000,3806000,3806000,-12743000,19469000,2050000,27861000,None,-624000,None,624000,18924000,332000,None,None,-14736000,-723000,None,-14013000,-6173000,-12743000,None,-14013000
KIDS,2020-09-30,USD,17639000,21195000,4566000,4566000,-2498000,19060000,1077000,20137000,None,-1010000,None,1010000,22205000,-122000,None,None,-4539000,None,None,-4539000,-4633000,-2498000,None,-4539000
KIDS,2020-06-30,USD,10061000,12194000,3532000,3532000,-7017000,16197000,881000,17078000,None,-1399000,None,1399000,13593000,-121000,None,None,-9447000,None,None,-9447000,-7925000,-7017000,None,-9447000
KIDS,2020-03-31,USD,12213000,15977000,4143000,4143000,-4497000,15445000,1265000,16710000,None,-379000,-379000,379000,16356000,-69000,None,None,-4945000,None,None,-4945000,-6303000,-4497000,None,-4945000
KIDS,2019-12-31,USD,14450000,21184000,4502000,4502000,-3031000,15576000,1905000,17481000,None,-1306000,-1306000,1306000,18952000,8000,None,None,-4329000,None,None,-4329000,-4447000,-3031000,None,-5429000
KIDS,2019-09-30,USD,15895000,19447000,4849000,4849000,-1539000,16038000,1396000,17434000,None,-1297000,-1297000,1297000,20744000,-41000,None,None,-2877000,None,None,-2877000,-3194000,-1539000,None,-2664000
KIDS,2019-06-30,USD,13619000,18359000,4581000,4581000,-1790000,14175000,1234000,15409000,None,-632000,-632000,632000,18359000,-37000,None,None,-2459000,None,None,-2459000,-1790000,-1790000,None,-2618000
KIDS,2019-03-31,USD,10655000,14656000,4001000,4001000,-2717000,12159000,1213000,13372000,None,-303000,-303000,303000,14656000,None,None,None,-3020000,None,None,-3020000,-2717000,-2717000,None,-3020000
KIDS,2018-12-31,USD,10514000,14568000,4054000,4054000,-1866000,11103000,1277000,12380000,None,-533000,None,-533000,14568000,None,None,None,-2468000,None,None,-1866000,-1866000,-1866000,None,-2468000
KIDS,2018-09-30,USD,11977000,15820000,3843000,3843000,-1172000,12027000,1122000,13149000,None,-608000,None,608000,15820000,-85000,None,None,-1865000,None,None,-1172000,-1172000,-1172000,None,-1865000
KIDS,2018-06-30,USD,11270000,15077000,3807000,3807000,-2120000,12275000,1115000,13390000,None,-562000,None,562000,15077000,-10000,None,None,-2692000,None,None,-2120000,-2120000,-2120000,None,-2692000
KIDS,2018-03-31,USD,8919000,12094000,3175000,3175000,-4395000,12096000,1218000,13314000,None,-552000,None,552000,12094000,-53000,None,None,-5000000,None,None,-4395000,-4395000,-4395000,None,-5000000
KIDS,2017-12-31,USD,8832000,11681000,8832000,-6194000,-4204000,12095000,941000,13036000,None,-633000,None,633000,11681000,None,None,None,-8913000,None,None,-4845000,-4903000,-4204000,None,-4845000
KIDS,2017-09-30,USD,9491000,12375000,2884000,2884000,-756000,9120000,1127000,10247000,None,-762000,None,761000,None,-20000,None,None,-1537000,None,None,-1537000,-1416000,-756000,None,-1537000
KIDS,2017-06-30,USD,8712000,11802000,8712000,2896000,-677000,8989000,668000,9389000,None,-650000,None,650000,None,None,None,None,2589000,None,None,2589000,-1194000,-677000,None,-1266000
KIDS,2017-03-31,USD,7415000,9762000,7415000,2349000,-837000,7752000,687000,8252000,None,-445000,None,445000,None,None,None,None,-1285000,None,None,-1285000,-1285000,-837000,None,-1285000
KIDS,2016-12-31,USD,6400000,9418000,6400000,2618000,-3252000,7573000,624000,9652000,None,None,None,420000,None,None,None,None,-6572000,None,None,-6572000,-3633000,-3252000,None,-3633000
KIDS,2016-09-30,USD,7157000,10135000,2978000,3179000,-523000,6981000,501000,7680000,None,None,None,399000,None,None,None,None,None,None,None,None,-845000,-523000,None,-845000
KIDS,2016-06-30,USD,2848000,9674000,6826000,4732000,-865000,14461000,1096000,None,None,None,None,657000,None,None,None,None,None,None,None,None,None,-865000,None,-288000
KIDS,2016-03-31,USD,2087000,8071000,5984000,None,-1486000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1486000,None,-1805000
