SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
KYAK,2013-03-31,USD,None,82307000,5491000,5491000,6235000,68989000,None,None,None,None,None,None,None,None,None,None,6053000,3926000,None,None,None,None,None,2127000
KYAK,2012-12-31,USD,None,63843000,4841000,4841000,1044000,55863000,None,None,None,None,None,None,None,None,None,None,1060000,1637000,None,None,None,None,None,None
KYAK,2012-09-30,USD,None,78604000,4908000,4908000,14927000,56691000,None,None,None,None,None,None,None,None,None,None,14162000,6208000,None,None,None,None,None,7954000
KYAK,2012-06-30,USD,None,76938000,4807000,4807000,15751000,54330000,None,None,None,None,None,None,None,None,None,None,15185000,7897000,None,None,None,None,None,7288000
KYAK,2012-03-31,USD,None,73338000,5185000,5185000,8109000,57994000,None,None,None,None,None,None,None,None,None,None,7934000,3789000,None,None,None,None,None,4145000
KYAK,2011-12-31,USD,None,53947000,4818000,4818000,7896000,39084000,None,None,None,None,None,None,None,None,None,None,9477000,3604000,None,None,None,None,None,5873000
KYAK,2011-09-30,USD,None,61160000,4151000,4151000,12657000,42417000,None,None,None,None,None,None,None,None,None,None,12231000,5263000,None,None,None,None,None,6968000
KYAK,2011-06-30,USD,None,56753000,4684000,4684000,5739000,43989000,None,None,None,None,None,None,None,None,None,None,6069000,2293000,None,None,None,None,None,3776000
KYAK,2011-03-31,USD,None,52674000,4945000,4945000,2955000,42713000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KYAK,2010-12-31,USD,None,42418000,4000000,4000000,2144000,34376000,None,None,None,None,None,None,None,None,None,None,20152000,12120000,None,None,None,None,None,8032000
KYAK,2010-09-30,USD,None,47814000,3810000,3810000,8741000,33367000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KYAK,2010-06-30,USD,None,43721000,3772000,3772000,6966000,31323000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KYAK,2010-03-31,USD,None,36745000,4048000,4048000,None,31967000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KYAK,2009-12-31,USD,None,26131000,2085000,2085000,None,32053000,None,None,None,None,None,322000,None,None,None,None,4136000,None,None,None,None,None,None,None
KYAK,2009-09-30,USD,None,26582000,1920000,1920000,None,19596000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KYAK,2009-06-30,USD,None,29253000,2496000,2496000,None,22335000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KYAK,2009-03-31,USD,None,30732000,3655000,3655000,None,23197000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
