SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
LAVA,2011-10-31,USD,None,38283000,3078000,3078000,4184000,29397000,12698000,None,None,None,None,454000,None,None,None,None,3391000,403000,None,None,None,None,None,2988000
LAVA,2011-07-31,USD,None,35306000,3098000,3098000,1119000,29366000,12785000,None,None,None,None,482000,None,None,None,None,319000,420000,None,None,None,None,None,None
LAVA,2011-04-30,USD,None,38039000,2941000,2941000,3118000,29934000,13271000,None,None,None,None,498000,None,None,None,None,2072000,323000,None,None,None,None,None,1749000
LAVA,2011-01-31,USD,None,34765000,3103000,3103000,1583000,28021000,12618000,None,None,None,None,501000,None,None,None,None,1257000,296000,None,None,None,None,None,961000
LAVA,2010-10-31,USD,None,33926000,3131000,3131000,883000,27691000,11747000,None,None,None,None,537000,None,None,None,None,None,None,None,None,None,None,None,None
LAVA,2010-07-31,USD,None,32556000,2619000,2619000,42000,27516000,12259000,None,None,None,None,806000,None,None,None,None,None,331000,None,None,None,None,None,None
LAVA,2010-04-30,USD,None,33609000,3322000,3322000,None,28389000,11881000,None,None,None,None,1098000,None,None,None,None,None,342000,None,None,None,None,None,None
LAVA,2010-01-31,USD,None,30965000,2813000,2813000,None,26548000,12218000,None,None,None,None,1037000,None,None,None,None,None,182000,None,None,None,None,None,None
LAVA,2009-10-31,USD,None,29662000,2394000,2394000,None,26197000,11728000,None,None,None,None,1105000,None,None,None,None,None,None,None,None,None,None,None,4344000
LAVA,2009-07-31,USD,None,28841000,1902000,1902000,None,25331000,11197000,None,None,None,None,1157000,None,None,None,None,None,396000,None,None,None,None,None,None
LAVA,2009-04-30,USD,None,34070000,2966000,2966000,None,30451000,14275000,None,None,None,None,1243000,None,None,None,None,None,None,None,None,None,None,None,None
LAVA,2009-01-31,USD,None,30687000,3332000,3332000,None,33349000,15296000,None,None,None,None,1068000,None,None,None,None,None,None,None,None,None,None,None,None
LAVA,2008-10-31,USD,None,36458000,3906000,3906000,None,41137000,19047000,None,None,None,None,1062000,None,None,None,None,None,3129000,None,None,None,None,None,None
LAVA,2008-07-31,USD,None,45742000,4216000,4216000,None,43493000,20133000,None,None,None,None,984000,None,None,None,None,None,440000,None,None,None,None,None,None
LAVA,2008-01-31,USD,None,55014000,4742000,4742000,None,44079000,21982000,None,None,None,None,593000,None,None,None,None,None,685000,None,None,None,None,None,None
LAVA,2007-10-31,USD,None,55747000,4452000,4452000,None,44295000,19513000,None,None,None,None,618000,None,None,None,None,None,1318000,None,None,None,None,None,None
LAVA,2007-07-31,USD,None,53493000,4278000,4278000,None,43870000,19011000,None,None,None,None,599000,None,None,None,None,None,1372000,None,None,None,None,None,None
LAVA,2007-04-30,USD,None,50165000,3520000,3520000,None,42653000,18670000,None,None,None,None,657000,None,None,None,None,None,1691000,None,None,None,None,None,None
LAVA,2007-01-31,USD,None,50137000,3825000,3825000,None,42574000,16909000,None,None,None,None,274000,None,None,None,None,None,None,None,None,None,None,None,None
LAVA,2006-10-31,USD,None,45095000,3360000,3360000,None,39471000,16959000,None,None,None,None,141000,None,None,None,None,None,330000,None,None,None,None,None,None
LAVA,2006-07-31,USD,None,41962000,3020000,3020000,None,37635000,15608000,None,None,None,None,133000,None,None,None,None,None,None,None,None,None,None,None,None
