SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
LBRT,2020-12-31,USD,21076000,257586000,231832000,236510000,-54368000,18614000,None,10472000,2000,-3646000,0,3646000,257586000,None,43600000,1693000,-46813000,-9783000,3646000,-44583000,-37030000,-54368000,-52675000,-37030000
LBRT,2020-09-30,USD,8258000,147495000,139237000,139237000,-55402000,18807000,None,20793000,29000,-3595000,0,3595000,147495000,None,42400000,1629000,-44474000,-9972000,3595000,-45399000,-34502000,-55402000,-53773000,-34502000
LBRT,2020-06-30,USD,-1156000,88362000,89518000,89518000,-73542000,18064000,None,29594000,45000,-3656000,0,3656000,88362000,None,42300000,2139000,-57171000,-11400000,3656000,-62097000,-45771000,-73542000,-71403000,-45771000
LBRT,2020-03-31,USD,79628000,472344000,395239000,392716000,6286000,28613000,None,33665000,187000,-3608000,0,3608000,472344000,None,41700000,2654000,1981000,261000,3608000,6212000,1720000,6286000,8940000,1720000
LBRT,2019-12-31,USD,53542000,397971000,344430000,344430000,-18327000,26210000,None,31276000,576000,-3176000,-7834000,3176000,397972000,None,41200000,2654000,-15243000,-3095000,3176000,-16477000,-12148000,-18327000,-15673000,-12148000
LBRT,2019-09-30,USD,94072000,515079000,421007000,421007000,26570000,25302000,None,27803000,539000,-3726000,-3726000,3726000,507948000,None,39300000,2625000,15002000,4004000,3726000,23062000,10998000,26570000,29195000,10998000
LBRT,2019-06-30,USD,115703000,542147000,426444000,426444000,51203000,23989000,None,24132000,None,-3597000,-3597000,3597000,537322000,None,37400000,2611000,29115000,7083000,3597000,44120000,22032000,51203000,53814000,22032000
LBRT,2019-03-31,USD,105849000,535148000,429299000,429299000,44151000,22088000,None,23311000,None,-4182000,-4182000,4182000,528831000,None,35700000,None,24181000,6060000,4182000,38091000,18121000,44151000,None,18121000
LBRT,2018-12-31,USD,95525000,473115000,377590000,377590000,41547000,25403000,None,19795000,None,-3463000,None,3463000,460325000,None,34000000,None,23133000,4147000,3463000,37400000,18986000,41547000,None,18986000
LBRT,2018-09-30,USD,139910000,558777000,418867000,418867000,82245000,24659000,None,25360000,None,-3648000,None,3648000,552525000,None,32300000,None,46322000,12229000,3648000,70016000,34093000,82245000,None,34093000
LBRT,2018-06-30,USD,172615000,628084000,455469000,455469000,114211000,27313000,None,27798000,None,-3540000,None,3540000,628084000,None,30600000,None,65525000,15930000,3540000,98281000,49595000,114211000,None,49595000
LBRT,2018-03-31,USD,90317000,495160000,404843000,376827000,68560000,21677000,None,49773000,None,None,None,6494000,None,None,28000000,None,31754000,8079000,None,53987000,None,68560000,None,23675000
LBRT,2017-12-31,USD,346865000,448883000,339315000,339315000,63028000,21236000,None,1301202000,None,None,None,5347000,None,None,None,None,57681000,38149000,None,136637000,None,63028000,None,57681000
LBRT,2017-09-30,USD,-1595000,441853000,328434000,328434000,66989000,21819000,None,187925000,None,None,None,3326000,None,None,None,None,63663000,None,None,-29076000,None,66989000,None,63663000
LBRT,2017-06-30,USD,-43184000,346725000,267626000,267626000,41546000,18834000,None,-423420000,None,None,None,2511000,None,None,None,None,39035000,None,None,14669000,None,41546000,None,39035000
LBRT,2017-03-31,USD,40761000,252394000,211633000,211633000,9574000,15730000,None,242863000,None,None,None,1452000,None,None,None,None,8122000,None,None,8122000,None,9574000,None,8122000
