SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
LXFT,2018-12-31,USD,89469000,230355000,140886000,140886000,14751000,63683000,None,215604000,None,None,None,None,None,None,None,None,13923000,3154000,None,10769000,None,14751000,None,10769000
LXFT,2018-09-30,USD,87780000,228411000,140631000,140631000,16947000,59864000,None,211464000,None,None,None,-77000,None,None,None,None,17049000,2638000,None,14411000,None,16947000,None,14411000
LXFT,2018-06-30,USD,75423000,212790000,137367000,137367000,7944000,56709000,None,204846000,None,None,None,-34000,None,None,None,None,5939000,1241000,None,4698000,None,7944000,None,4698000
LXFT,2018-03-31,USD,84243000,232881000,148638000,148638000,11773000,61492000,15400000,221108000,None,None,None,-34000,None,None,None,None,11442000,-264000,None,11706000,None,11773000,None,11706000
LXFT,2017-12-31,USD,224485000,236613000,144332000,144332000,17746000,63485000,0,624624000,None,None,None,0,None,None,None,None,22273000,1723000,None,21061000,None,11685000,None,20550000
LXFT,2017-09-30,USD,-205847000,228030000,139305000,139305000,20611000,58199000,0,-610149000,None,None,None,-34000,None,None,None,None,21724000,3284000,None,-6828000,None,1211000,None,18440000
LXFT,2017-06-30,USD,73643000,209242000,135599000,135599000,4850000,58063000,0,204392000,None,None,None,0,None,None,None,None,7347000,1030000,None,6317000,None,4850000,None,6317000
LXFT,2017-03-31,USD,256992000,204131000,129632000,129632000,8046000,56193000,15400000,580848000,None,None,None,-74000,None,None,None,None,12980000,4648000,None,44106000,None,53160000,None,13735000
LXFT,2016-12-31,USD,188040000,206924000,124688000,124688000,18583000,54291000,0,451489000,None,None,None,21000,None,None,None,None,21749000,3217000,None,18532000,None,37607000,None,18532000
LXFT,2016-09-30,USD,-206451000,196457000,114908000,114908000,19244000,54315000,0,-470787000,None,None,None,-28000,None,None,None,None,19190000,2899000,None,0,None,-44756000,None,16291000
LXFT,2016-06-30,USD,72000000,178049000,105752000,105752000,16138000,48924000,0,162000000,None,None,None,0,None,None,None,None,16584000,2504000,None,0,None,16000000,None,14080000
LXFT,2016-03-31,USD,271421000,169209000,103496000,103496000,10808000,48202000,6700000,574852000,None,None,None,-81000,None,None,None,None,17164000,2572000,None,70251000,None,75900000,None,14592000
LXFT,2015-12-31,USD,0,171946000,97412000,97412000,23104000,45229000,0,0,None,None,None,0,None,None,None,None,21250000,3211000,None,0,None,0,None,18039000
LXFT,2015-09-30,USD,0,161542000,90446000,90446000,25935000,39611000,0,0,None,None,None,0,None,None,None,None,27054000,4046000,None,0,None,0,None,23008000
LXFT,2015-06-30,USD,0,148055000,87977000,87977000,16053000,38665000,0,0,None,None,None,0,None,None,None,None,16891000,2279000,None,0,None,0,None,14612000
LXFT,2015-03-31,USD,226588000,137352000,82056000,82056000,15927000,34285000,3200000,439746000,None,None,None,30000,None,None,None,None,9771000,729000,None,63149000,None,80802000,None,9042000
LXFT,2014-12-31,USD,0,145754000,76728000,76728000,30970000,33751000,0,0,None,None,None,123000,None,None,None,None,29427000,5495000,None,0,None,0,None,23932000
LXFT,2014-09-30,USD,0,125140000,69527000,69527000,21009000,30808000,0,0,None,None,None,131000,None,None,None,None,19761000,2163000,None,0,None,0,None,17598000
LXFT,2014-06-30,USD,0,112302000,65649000,65649000,14399000,28605000,0,0,None,None,None,259000,None,None,None,None,14018000,1441000,None,0,None,0,None,12577000
LXFT,2014-03-31,USD,168794000,106281000,62705000,62705000,12664000,27360000,2900000,338427000,None,None,None,309000,None,None,None,None,11592000,1190000,None,51230000,None,59904000,None,10402000
LXFT,2013-12-31,USD,0,110621000,62669000,62669000,20330000,24165000,0,0,None,None,None,392000,None,None,None,None,19519000,1809000,None,0,None,0,None,17710000
