SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MCB,2020-12-31,USD,34985000,34985000,1795000,None,29541000,2906000,None,5444000,None,33467000,36862000,3395000,3373000,None,None,None,17257000,5482000,3395000,11776000,11665000,29541000,None,11775000
MCB,2020-09-30,USD,35019000,35019000,1137000,None,31687000,3332000,None,3332000,None,32324000,35945000,3621000,3638000,None,None,None,15894000,5111000,3622000,10782000,10698000,31687000,None,10783000
MCB,2020-06-30,USD,34274000,34274000,1766000,None,31505000,2769000,None,2769000,None,30161000,34223000,4062000,5653000,None,None,None,15764000,4953000,4062000,10811000,7691000,31505000,None,10811000
MCB,2020-03-31,USD,28782000,28782000,4790000,None,21521000,7261000,None,7261000,None,28969000,36067000,7098000,4358000,None,None,None,9003000,2906000,7098000,6097000,9179000,21521000,None,6097000
MCB,2019-12-31,USD,28911000,28911000,2300000,None,13439000,13859000,None,15472000,None,28042000,36466000,8424000,2862000,None,None,None,11562000,3699000,8424000,7863000,7331000,13439000,None,7863000
MCB,2019-09-30,USD,27008000,27008000,2004000,None,24312000,2696000,None,2696000,None,26053000,35496000,9443000,2700000,None,None,None,11254000,3571000,9443000,7683000,8875000,24312000,None,7683000
MCB,2019-06-30,USD,23661000,23661000,1950000,None,23661000,2265000,None,2265000,None,22937000,30828000,7891000,2674000,None,None,None,8937000,2880000,7891000,6057000,6057000,23661000,None,6057000
MCB,2019-03-31,USD,25002000,25002000,-2031000,None,25002000,3514000,None,3514000,None,20578000,26990000,6412000,2393000,None,None,None,12308000,3777000,6412000,8531000,8531000,25002000,None,8531000
MCB,2018-12-31,USD,20305000,20305000,844000,5225000,20305000,4739000,None,6094000,None,18961000,23342000,4381000,2188000,None,None,None,8703000,2418000,4381000,6285000,6285000,20305000,None,6285000
MCB,2018-09-30,USD,20816000,20816000,-453000,3103000,20816000,1710000,None,1710000,None,18351000,21907000,3556000,2012000,None,None,None,10461000,3348000,3556000,7113000,7113000,20816000,None,7113000
MCB,2018-06-30,USD,18774000,18774000,1270000,3873000,18774000,2202000,None,2202000,None,17395000,19998000,2603000,2649000,None,None,None,8499000,2634000,2603000,5865000,5865000,18774000,None,5865000
MCB,2018-03-31,USD,25355000,26832000,1477000,3654000,17004000,8351000,None,8351000,None,16516000,18693000,2177000,5312000,None,None,None,9113000,2822000,2177000,6291000,5969000,11290000,None,6291000
MCB,2017-12-31,USD,22256000,25755000,3499000,5793000,12047000,9926000,None,10209000,None,15571000,17864000,2293000,6249000,None,None,None,8541000,5216000,2294000,3325000,3166000,12047000,None,3325000
