SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MFB,2013-06-30,USD,None,145450000,97135000,97135000,13207000,33335000,None,None,None,None,None,277000,None,None,None,None,12930000,4960000,None,None,None,None,None,7970000
MFB,2013-03-31,USD,None,131156000,98835000,98835000,None,32455000,None,None,None,None,None,271000,None,None,None,None,None,None,None,None,None,None,None,None
MFB,2012-12-31,USD,None,135124000,92180000,92180000,8119000,33076000,None,None,None,None,None,246000,None,None,None,None,5473000,None,None,None,None,None,None,5491000
MFB,2012-09-30,USD,None,150122000,99804000,99804000,17742000,30979000,None,None,None,None,None,291000,None,None,None,None,17451000,6712000,None,None,None,None,None,10739000
MFB,2012-06-30,USD,None,157485000,102388000,102388000,18988000,34570000,None,None,None,None,None,296000,None,None,None,None,18692000,7308000,None,None,None,None,None,11384000
MFB,2012-03-31,USD,None,157546000,113072000,113072000,9839000,33068000,None,None,None,None,None,253000,None,None,None,None,9586000,3741000,None,None,None,None,None,5845000
MFB,2011-12-31,USD,None,124516000,89948000,89948000,62000,32941000,None,None,None,None,None,280000,None,None,None,None,None,None,None,None,None,None,None,None
MFB,2011-09-30,USD,None,148224000,99343000,99343000,15909000,31517000,None,None,None,None,None,227000,None,None,None,None,15682000,5492000,None,None,None,None,None,10190000
MFB,2011-06-30,USD,None,170026000,109656000,109656000,24689000,34415000,None,None,None,None,None,238000,None,None,None,None,17701000,6137000,None,None,None,None,None,11564000
MFB,2011-03-31,USD,None,163561000,106357000,106357000,23515000,32179000,None,None,None,None,None,224000,None,None,None,None,23291000,8778000,None,None,None,None,None,14513000
MFB,2010-12-31,USD,None,118617000,75749000,75749000,11616000,29946000,None,None,None,None,None,256000,None,None,None,None,11360000,4635000,None,None,None,None,None,6725000
MFB,2010-09-30,USD,None,145769000,91701000,91701000,21174000,31620000,None,None,None,None,None,243000,None,None,None,None,20931000,8143000,None,None,None,None,None,12788000
MFB,2010-06-30,USD,None,149401000,94213000,94213000,22851000,31195000,None,None,None,None,None,262000,None,None,None,None,22589000,8930000,None,None,None,None,None,13659000
MFB,2010-03-31,USD,None,142922000,89936000,89936000,22154000,29789000,None,None,None,None,None,293000,None,None,None,None,20429000,8321000,None,None,None,None,None,12108000
MFB,2009-12-31,USD,None,109132000,69511000,69511000,12839000,25866000,None,None,None,None,None,402000,None,None,None,None,12437000,4751000,None,None,None,None,None,7686000
MFB,2009-09-30,USD,None,128685000,82930000,82930000,16624000,28011000,None,None,None,None,None,494000,None,None,None,None,16130000,94000,None,None,None,None,None,16036000
MFB,2009-06-30,USD,None,114205000,71884000,71884000,13156000,27965000,None,None,None,None,None,632000,None,None,None,None,12524000,5246000,None,None,None,None,None,7278000
MFB,2009-03-31,USD,None,114233000,76509000,76509000,10554000,25968000,None,None,None,None,None,668000,None,None,None,None,9886000,3893000,None,None,None,None,None,5993000
MFB,2008-12-31,USD,None,94787000,60731000,60731000,6837000,26008000,None,None,None,None,None,1195000,None,None,None,None,3444000,1015000,None,None,None,None,None,2429000
MFB,2008-09-30,USD,None,112586000,68333000,68333000,16295000,26778000,None,None,None,None,None,1014000,None,None,None,None,14179000,5734000,None,None,None,None,None,8445000
MFB,2008-06-30,USD,None,108063000,65095000,65095000,14518000,27292000,None,None,None,None,None,1131000,None,None,None,None,13387000,5580000,None,None,None,None,None,7807000
