SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MMLP,2020-12-31,USD,68583000,176064000,107481000,107481000,11928000,10241000,None,45458000,None,-13965000,-13181000,784000,190029000,-1000,None,5485000,-2338000,226000,1085000,-2564000,-2564000,11928000,17413000,-2564000
MMLP,2020-09-30,USD,62267000,139612000,77345000,77345000,11013000,10339000,None,53422000,None,-12943000,-11198000,1745000,152555000,0,None,390000,-10446000,373000,10261000,-10819000,-10819000,11013000,11403000,-10819000
MMLP,2020-06-30,USD,67971000,131261000,63290000,63290000,7960000,9858000,None,54060000,None,-9377000,-9291000,86000,140638000,4000,None,526000,-1413000,790000,86000,-2203000,-2203000,7960000,8486000,-2203000
MMLP,2020-03-31,USD,-115441000,192252000,108810000,108810000,15600000,10462000,None,61934000,None,-9925000,-9323000,602000,202177000,3000,None,589000,9162000,347000,-2882000,8815000,8815000,15600000,16189000,8815000
MMLP,2019-12-31,USD,-762996000,230185000,146063000,146063000,18027000,10533000,None,63964000,None,-11060000,-10438000,622000,241245000,3000,None,6485000,6970000,328000,622000,6642000,6642000,18027000,24512000,6642000
MMLP,2019-09-30,USD,90042000,182229000,92187000,92187000,25461000,10474000,None,45243000,None,-11973000,-10729000,1244000,194202000,-1000,None,688000,13487000,237000,1244000,13250000,13250000,25461000,26149000,13250000
MMLP,2019-06-30,USD,70549000,187323000,101788000,101788000,5010000,10226000,None,63805000,None,-14986000,-14801000,185000,187323000,1000,None,688000,-190543000,639000,185000,-10614000,5010000,5010000,5698000,-191182000
MMLP,2019-03-31,USD,-167148000,240033000,152757000,152757000,9606000,10200000,None,62769000,None,-13671000,-12593000,1078000,240033000,3000,None,622000,-2960000,696000,1078000,-4758000,9606000,9606000,10228000,-3656000
MMLP,2018-12-31,USD,-192649000,267175000,180700000,180700000,14309000,10338000,None,32745000,None,-12446000,-11564000,882000,267175000,7000,None,None,-916000,-3000,882000,1553000,14309000,14309000,None,2582000
MMLP,2018-09-30,USD,-168034000,234047000,154510000,154510000,5431000,9257000,None,32628000,None,-13140000,-12266000,874000,234047000,18000,None,None,39537000,91000,874000,-7880000,5431000,5431000,None,42563000
MMLP,2018-06-30,USD,-163353000,227164000,149587000,149587000,4489000,8572000,None,31510000,None,-13766000,-12896000,870000,227164000,5000,None,None,-7114000,132000,870000,-9453000,4489000,4489000,None,-4526000
MMLP,2018-03-31,USD,73251000,291718000,198266000,198266000,20828000,9668000,None,33001000,None,-12685000,-11866000,819000,291718000,1595000,None,None,12967000,149000,819000,7949000,20828000,20828000,None,15036000
MMLP,2017-12-31,USD,81408000,293525000,212117000,212117000,29703000,10989000,None,32310000,None,-13066000,-12339000,727000,850000,2263000,None,None,18900000,51000,727000,18849000,18849000,29703000,None,18849000
MMLP,2017-09-30,USD,57467000,180403000,122936000,122936000,-4484000,9131000,None,45072000,None,-12538000,-11813000,725000,-187000,844000,None,None,-16178000,108000,725000,-16286000,-16286000,-4484000,None,-16286000
MMLP,2017-06-30,USD,63284000,182703000,119419000,119419000,10848000,8909000,None,34435000,None,-11219000,-10495000,724000,193922000,1373000,None,None,1002000,13000,724000,989000,989000,10848000,None,989000
MMLP,2017-03-31,USD,83142000,242250000,159108000,159108000,23748000,9921000,None,35057000,None,-10920000,-10199000,721000,-155000,935000,None,None,13763000,180000,721000,13583000,13583000,23748000,None,13583000
MMLP,2016-12-31,USD,116996000,259829000,142833000,142833000,28888000,10021000,None,37322000,None,-12054000,-11335000,719000,34982000,1352000,None,None,18186000,304000,719000,17882000,17882000,28888000,None,17882000
MMLP,2016-09-30,USD,67063000,162771000,95708000,95708000,9176000,8049000,None,39488000,None,-11779000,-11061000,718000,13000,1850000,None,None,-753000,180000,718000,-933000,-933000,9176000,None,-933000
MMLP,2016-06-30,USD,74980000,178193000,103213000,103213000,10256000,8144000,None,40822000,None,-12155000,-10623000,1532000,-1679000,879000,None,None,-1020000,191000,1532000,-1211000,-1211000,10256000,None,-1211000
MMLP,2016-03-31,USD,85761000,215661000,129900000,129900000,24338000,8171000,None,41232000,None,-10112000,-9397000,715000,84000,1739000,None,None,15965000,51000,715000,15914000,15914000,24338000,None,15914000
