SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MNTA,2020-06-30,USD,13220000,13220000,38842000,38842000,-57378000,25339000,38842000,63988000,None,None,None,None,6610000,346000,None,None,-57032000,None,None,-69151000,-55827000,-57032000,None,-138302000
MNTA,2020-03-31,USD,13000,13000,34207000,34207000,-40668000,14564000,34207000,49557000,None,None,None,None,13000,1113000,None,289000,-39555000,None,None,-54395000,-39970000,-39555000,None,-108790000
MNTA,2019-12-31,USD,6144000,6144000,38334000,38334000,-87280000,58926000,38334000,95462000,None,None,-312000,2018000,4049000,2598000,None,None,-86700000,None,None,-87280000,-86865000,-84682000,None,-174560000
MNTA,2019-09-30,USD,-18216000,-18216000,46105000,46105000,-46094000,20081000,46105000,52485000,None,None,1600000,None,-8921000,1551000,None,288000,-44543000,None,None,-83147000,-44601000,-44543000,None,-166294000
MNTA,2019-06-30,USD,10364000,10364000,32131000,32131000,-116626000,46609000,32131000,121808000,None,None,2700000,None,5182000,2657000,None,None,-113969000,None,None,-150346000,-113705000,-113969000,None,-300692000
MNTA,2019-03-31,USD,440000,440000,27972000,27972000,-48091000,24206000,27972000,52204000,None,None,3200000,None,440000,3248000,None,288000,-44843000,None,None,-68923000,-44501000,-44843000,None,-137846000
MNTA,2018-12-31,USD,42822000,113000,17364000,17364000,-9670000,21525000,28695000,52492000,None,None,None,None,None,1425000,None,None,-8245000,None,None,-9670000,-8168000,-8245000,None,-19340000
MNTA,2018-09-30,USD,13000,13000,12756000,12756000,-51815000,20437000,30727000,66699000,None,None,None,None,13000,1515000,None,288000,-50300000,None,None,-86547000,-50163000,-50300000,None,-173094000
MNTA,2018-06-30,USD,13031000,-5488000,9348000,9348000,-70840000,22531000,31340000,83871000,None,None,None,None,None,955000,None,None,-69885000,None,None,-70840000,-69611000,-69885000,None,-141680000
MNTA,2018-03-31,USD,-76000,4852000,10529000,10529000,-49002000,20612000,33242000,53854000,None,None,None,None,-76000,1371000,None,288000,-47631000,None,None,-49002000,-48066000,-47631000,None,-98004000
MNTA,2017-12-31,USD,64608000,64608000,48383000,48383000,12633000,15827000,36148000,51975000,None,None,None,None,None,1126000,None,276000,13759000,None,None,12633000,13572000,13759000,None,25266000
MNTA,2017-09-30,USD,0,24090000,56655000,56655000,-34527000,20703000,37914000,58617000,None,None,None,None,None,1339000,None,289000,-33188000,None,None,-54180000,-33136000,-33188000,None,-108360000
MNTA,2017-06-30,USD,23570000,23570000,59567000,59567000,-38065000,22572000,39063000,61635000,None,None,None,None,None,1157000,None,300000,-36908000,None,None,-38065000,-36933000,-36908000,None,-76130000
MNTA,2017-03-31,USD,26614000,26614000,57652000,57652000,-32592000,23105000,36101000,59206000,None,None,None,None,None,833000,None,288000,-31759000,None,None,-32592000,-31825000,-31759000,None,-65184000
MNTA,2016-12-31,USD,34195000,34195000,42391000,42391000,-10352000,-46301000,26382000,44547000,None,None,None,None,None,51891000,None,322000,41539000,None,None,23843000,41375000,41539000,None,47686000
MNTA,2016-09-30,USD,29144000,29144000,45062000,45062000,-18182000,15758000,31568000,47326000,None,None,None,None,None,638000,None,342000,-17544000,None,None,-9439000,-17580000,-17544000,None,-18878000
MNTA,2016-06-30,USD,26430000,26430000,45521000,45521000,-21639000,14896000,33173000,48069000,None,None,None,None,None,653000,None,600000,-20986000,None,None,4791000,-20837000,-20986000,None,9582000
MNTA,2016-03-31,USD,19850000,19850000,42250000,42250000,-24554000,15647000,28757000,44404000,None,None,None,None,None,542000,None,265000,-24012000,None,None,-4704000,-23879000,-24012000,None,-9408000
MNTA,2015-12-31,USD,22393000,22393000,49880000,49880000,22393000,14373000,37568000,51941000,None,None,None,None,None,384000,None,196000,-29164000,None,None,44786000,-29176000,-29164000,None,89572000
MNTA,2015-09-30,USD,13795000,13795000,42090000,42090000,-30397000,12459000,31733000,44192000,None,None,None,None,None,347000,None,300000,-30050000,None,None,-33570000,-30054000,-30050000,None,-67140000
