SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MON,2018-02-28,USD,2966000000,5019000000,2053000000,2053000000,1935000000,652000000,394000000,1070000000,None,None,None,105000000,None,48000000,None,None,1839000000,381000000,None,1457000000,None,1944000000,None,1459000000
MON,2017-11-30,USD,1312000000,2658000000,1346000000,1346000000,242000000,664000000,382000000,1070000000,None,None,None,124000000,None,112000000,None,None,230000000,60000000,None,168000000,None,354000000,None,169000000
MON,2017-08-31,USD,1340000000,2686000000,1346000000,1346000000,-63000000,938000000,439000000,1403000000,None,None,None,114000000,None,32000000,None,None,-145000000,-170000000,None,25000000,None,-31000000,None,20000000
MON,2017-05-31,USD,2386000000,4230000000,1844000000,1844000000,1187000000,789000000,417000000,1222000000,None,None,None,100000000,None,13000000,None,None,1077000000,230000000,None,843000000,None,1177000000,None,843000000
MON,2017-02-28,USD,2952000000,5074000000,1933000000,1933000000,1929000000,657000000,381000000,1088000000,None,None,None,112000000,None,106000000,None,None,1868000000,505000000,None,1365000000,None,1970000000,None,1368000000
MON,2016-11-30,USD,1259000000,2650000000,1391000000,1391000000,247000000,585000000,370000000,1012000000,None,None,None,146000000,None,-25000000,None,None,86000000,61000000,None,25000000,None,222000000,None,29000000
MON,2016-08-31,USD,1138000000,2562000000,1424000000,1424000000,-265000000,975000000,421000000,1403000000,None,None,None,113000000,None,161000000,None,None,-208000000,-1000000,None,-193000000,None,-104000000,None,-191000000
MON,2016-05-31,USD,2380000000,4189000000,1809000000,1809000000,1281000000,729000000,387000000,1131000000,None,None,None,108000000,None,49000000,None,None,1198000000,483000000,None,717000000,None,1298000000,None,717000000
MON,2016-02-29,USD,2598000000,4532000000,1934000000,1934000000,1675000000,586000000,340000000,935000000,None,None,None,111000000,None,-153000000,None,None,1407000000,350000000,None,1057000000,None,1510000000,None,1063000000
MON,2015-11-30,USD,901000000,2219000000,1318000000,1318000000,-272000000,543000000,364000000,1173000000,None,None,None,136000000,None,-5000000,None,None,-406000000,-137000000,None,-269000000,None,-277000000,None,-253000000
MON,2015-08-31,USD,996000000,2355000000,1359000000,1359000000,-560000000,741000000,422000000,1556000000,None,None,None,138000000,None,6000000,None,None,-684000000,-187000000,None,-497000000,None,-554000000,None,-495000000
MON,2015-05-31,USD,2736000000,4579000000,1843000000,1843000000,1700000000,718000000,374000000,1092000000,None,None,None,102000000,None,8000000,None,None,1556000000,401000000,None,1155000000,None,1652000000,None,1141000000
MON,2015-02-28,USD,3039000000,5197000000,1978000000,1978000000,2030000000,647000000,372000000,1019000000,None,None,None,97000000,None,34000000,None,None,1962000000,550000000,None,1412000000,None,2054000000,None,1425000000
MON,2014-11-30,USD,1411000000,2870000000,1459000000,1459000000,427000000,580000000,412000000,992000000,None,None,None,123000000,None,23000000,None,None,327000000,100000000,None,227000000,None,442000000,None,243000000
MON,2014-08-31,USD,1233000000,2630000000,1397000000,1397000000,-157000000,905000000,485000000,1390000000,None,None,None,121000000,None,20000000,None,None,-250000000,-87000000,None,-163000000,None,-137000000,None,-156000000
MON,2014-05-31,USD,2331000000,4250000000,1919000000,1919000000,1250000000,655000000,427000000,1082000000,None,None,None,42000000,None,14000000,None,None,1221000000,341000000,None,880000000,None,1263000000,None,858000000
MON,2014-02-28,USD,3447000000,5832000000,2215000000,2215000000,2418000000,625000000,404000000,1029000000,None,None,None,40000000,None,-38000000,None,None,2340000000,672000000,None,1668000000,None,2380000000,None,1670000000
MON,2013-11-30,USD,1563000000,3143000000,1580000000,1580000000,566000000,589000000,409000000,998000000,None,None,None,53000000,None,4000000,None,None,516000000,152000000,None,364000000,None,569000000,None,368000000
MON,2013-08-31,USD,924000000,2202000000,1278000000,1278000000,-289000000,778000000,436000000,1213000000,None,None,None,49000000,None,-3000000,None,None,-341000000,-102000000,None,-239000000,None,-292000000,None,-249000000
MON,2013-05-31,USD,2262000000,4248000000,1834000000,1834000000,1238000000,632000000,391000000,1024000000,None,None,None,37000000,None,23000000,None,None,1224000000,292000000,None,932000000,None,1261000000,None,909000000
MON,2013-02-28,USD,3070000000,5472000000,2249000000,2249000000,2112000000,598000000,360000000,958000000,None,None,None,35000000,None,5000000,None,None,2082000000,603000000,None,1479000000,None,2117000000,None,1483000000
