SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MYOK,2020-09-30,USD,None,0,None,None,-85403000,26329000,59074000,85403000,None,668000,668000,None,None,668000,None,None,-84735000,9000,None,-84744000,None,-84520000,None,-84744000
MYOK,2020-06-30,USD,None,0,None,None,-64585000,20251000,44334000,64585000,None,1012000,1012000,None,None,1012000,None,None,-63573000,12000,None,-63585000,None,-63788000,None,-63585000
MYOK,2020-03-31,USD,None,0,None,None,-71780000,19902000,51878000,71780000,None,1912000,1912000,None,None,1912000,None,None,-69868000,None,None,-69868000,None,-71001000,None,-69868000
MYOK,2019-12-31,USD,-44901000,0,44901000,44901000,-61411000,16510000,44901000,61411000,None,2846000,2846000,None,None,None,None,None,-58565000,202000,None,-58767000,None,-60904000,None,-58767000
MYOK,2019-09-30,USD,-80000000,0,80000000,80000000,-65118000,17746000,47372000,65118000,None,3332000,3332000,None,None,3332000,None,None,-141786000,16000,None,-141802000,None,-64621000,None,-141802000
MYOK,2019-06-30,USD,-27708000,0,27708000,27708000,-41564000,13856000,27708000,41564000,None,3172000,3172000,None,None,3172000,None,None,-38392000,-218000,None,-38174000,None,-41081000,None,-38174000
MYOK,2019-03-31,USD,-26190000,0,26190000,26190000,-39741000,13551000,26190000,39741000,None,2271000,2271000,None,None,2271000,None,None,-37470000,None,None,-37470000,None,-39280000,None,-37470000
MYOK,2018-12-31,USD,-6628000,12400000,19028000,19028000,-17881000,11253000,68774000,30281000,None,None,None,0,None,None,None,None,-15676000,0,None,-15676000,None,-17881000,None,-15676000
MYOK,2018-09-30,USD,9188000,9188000,15910000,15910000,-17679000,10957000,15910000,26867000,None,None,None,0,None,1890000,None,None,-15789000,0,None,-15789000,None,-15789000,None,-15789000
MYOK,2018-06-30,USD,6639000,6639000,17218000,17218000,-19491000,8912000,17218000,26130000,None,None,None,0,None,1078000,None,None,-18413000,0,None,-18413000,None,-18413000,None,-18413000
MYOK,2018-03-31,USD,-11287000,5331000,16618000,16618000,-18600000,7313000,16618000,23931000,None,None,None,0,None,780000,None,None,-17820000,0,None,-17820000,None,-17820000,None,-17820000
MYOK,2017-12-31,USD,-36694000,5625000,13383000,13383000,-44047000,21973000,8169000,106177000,None,None,None,0,None,None,None,None,-57010000,0,None,-46707000,None,-48844000,None,-42837000
MYOK,2017-09-30,USD,0,3077000,19902000,19902000,-14620000,5884000,14361000,20245000,None,None,None,0,None,447000,None,None,-14173000,0,None,-14173000,None,-14173000,None,-14173000
MYOK,2017-06-30,USD,0,3001000,18453000,18453000,-13146000,5082000,13689000,18771000,None,None,None,0,None,309000,None,None,-12837000,0,None,-12837000,None,-12837000,None,-12837000
MYOK,2017-03-31,USD,0,2410000,17077000,17077000,-11768000,5476000,11917000,17393000,None,None,None,0,None,221000,None,None,-11547000,0,None,-11547000,None,-11547000,None,-11547000
MYOK,2016-12-31,USD,5756000,28550000,14069000,14069000,14185000,16289000,10023000,52504000,None,None,None,0,None,None,None,None,14259000,0,None,-30429000,None,-30582000,None,14259000
MYOK,2016-09-30,USD,0,3550000,12530000,12530000,-9264000,4031000,8783000,12814000,None,None,None,0,None,33000,None,None,-9231000,0,None,-9231000,None,-9231000,None,-9231000
MYOK,2016-06-30,USD,0,3549000,13060000,13060000,-9786000,4056000,9279000,13335000,None,None,None,0,None,26000,None,None,-9760000,0,None,-9760000,None,-9760000,None,-9760000
MYOK,2016-03-31,USD,0,3550000,11734000,11734000,-8440000,3860000,8130000,11990000,None,None,None,0,None,20000,None,None,-8420000,0,None,-8420000,None,-8420000,None,-8420000
MYOK,2015-12-31,USD,-14194000,3550000,10310000,10310000,-17791000,9019000,8376000,37412000,None,None,None,0,None,None,None,None,-23260000,0,None,-23260000,None,-23213000,None,-17798000
MYOK,2015-09-30,USD,0,3550000,8724000,8724000,-5422000,2300000,6672000,8972000,None,None,None,0,None,-40000,None,None,-5462000,0,None,-5462000,None,-5462000,None,-5462000
