SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
MYOV,2020-12-31,USD,1379000,1379000,None,None,-78317000,49243000,30453000,79696000,None,-2577000,32000,2609000,None,5923000,None,None,-75003000,-1154000,None,-73849000,None,-72394000,None,-73849000
MYOV,2020-09-30,USD,None,0,None,None,-71837000,31316000,40521000,71837000,None,-2077000,38000,2115000,None,6756000,None,None,-67196000,-134000,None,-67062000,None,-64486000,None,-67062000
MYOV,2020-06-30,USD,33333000,33333000,None,None,-33681000,22828000,44186000,67014000,None,-2076000,108000,2184000,None,3677000,None,None,-32188000,672000,None,-32860000,None,-29453000,None,-32860000
MYOV,2020-03-31,USD,None,33333000,None,None,-64143000,22828000,41713000,64143000,None,-1178000,247000,1425000,None,None,None,None,-64851000,62000,None,-64913000,None,-29453000,None,-64913000
MYOV,2019-12-31,USD,-7895000,-4254000,3641000,3641000,-78069000,10686000,48927000,78069000,None,-3060000,597000,3657000,None,None,None,None,-85413000,191000,None,-85604000,None,-68892000,None,-85604000
MYOV,2019-09-30,USD,-2846000,942000,3788000,3788000,-67406000,16603000,50803000,67406000,None,-2846000,942000,3788000,None,None,None,None,-70373000,195000,None,-70568000,None,-66215000,None,-70568000
MYOV,2019-06-30,USD,-3027000,766000,3793000,3793000,-65269000,14152000,51117000,65269000,None,-3027000,766000,3793000,None,None,None,None,-67591000,313000,None,-67904000,None,-63442000,None,-67904000
MYOV,2019-03-31,USD,None,0,None,None,-71500000,22430000,59019000,71500000,None,-3109000,-3109000,3990000,None,None,None,None,-74771000,243000,None,-75014000,None,-62897000,None,-75014000
MYOV,2018-12-31,USD,-1634000,0,1634000,1634000,-70633000,6640000,58434000,69120000,None,None,None,-1634000,None,None,None,None,-70633000,233000,None,-70633000,None,-41023000,None,-70633000
MYOV,2018-09-30,USD,-1580000,0,1580000,1580000,-65682000,10310000,53813000,64123000,None,None,None,-1580000,None,None,None,None,-65682000,88000,None,-65770000,None,-64002000,None,-65770000
MYOV,2018-06-30,USD,-1617000,0,1617000,1617000,-61989000,8742000,51341000,60083000,None,None,None,-1617000,None,None,None,None,-61989000,145000,None,-62134000,None,-60281000,None,-62134000
MYOV,2018-03-31,USD,0,0,0,0,-47347000,12481000,40079000,47347000,None,None,None,-1142000,None,None,None,None,-48647000,-394000,None,-48253000,None,-70641000,None,-48253000
MYOV,2017-12-31,USD,-904000,0,904000,904000,-41990000,7268000,34875000,41515000,None,None,None,904000,None,None,None,None,-41990000,-213000,None,-41777000,None,-47429000,None,-41777000
MYOV,2017-09-30,USD,0,0,0,0,-30173000,6141000,24170000,30311000,None,None,None,0,None,None,None,None,-30173000,-265000,None,-29908000,None,-30257000,None,-29908000
MYOV,2017-06-30,USD,0,0,0,0,-22232000,4182000,17708000,21890000,None,None,None,0,None,None,None,None,-22232000,1085000,None,-23317000,None,-21840000,None,-23317000
MYOV,2017-03-31,USD,0,0,0,0,-47803000,7268000,19016000,15961000,None,None,None,-2046000,None,None,None,None,-83514000,-103000,None,-75357000,None,-47429000,None,-75357000
MYOV,2016-12-31,USD,0,0,0,0,-8054000,1896000,6158000,9056000,None,None,None,0,None,None,None,None,-8054000,29000,None,-8083000,None,-8054000,None,-8083000
MYOV,2016-09-30,USD,0,0,0,0,-34704000,30951000,3753000,6720000,None,None,None,0,None,None,None,None,-34704000,8000,None,-34712000,None,-34704000,None,-34712000
MYOV,2016-06-30,USD,0,0,0,0,-17000000,4018000,14573000,17000000,None,None,None,0,None,None,None,None,0,3000,None,0,None,-17000000,None,-19000000
MYOV,2016-03-31,USD,0,0,0,0,-9942000,9942000,43500000,9942000,None,None,None,-2046000,None,None,None,None,-9942000,0,None,-9942000,None,-9942000,None,-9942000
