SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NAP,2018-09-30,USD,20379000,22603000,2224000,2224000,8304000,6355000,None,14299000,None,None,None,3818000,None,None,None,None,4886000,0,None,4886000,None,8304000,None,4886000
NAP,2018-06-30,USD,19431000,20790000,1359000,1359000,7723000,5988000,None,13067000,None,None,None,3806000,None,None,None,None,4286000,0,None,4286000,None,7723000,None,4286000
NAP,2018-03-31,USD,18354000,19779000,1425000,1425000,6316000,5870000,None,13463000,None,None,None,3438000,None,None,None,None,-29568000,0,None,-29568000,None,6316000,None,-28978000
NAP,2017-12-31,USD,21150000,22700000,1550000,1550000,8922000,5969000,0,13778000,None,None,None,3341000,None,None,None,None,4299000,0,None,4299000,None,8922000,None,4299000
NAP,2017-09-30,USD,5092000,20742000,1223000,1223000,7263000,5997000,0,-19000,None,None,None,3395000,None,None,None,None,3870000,0,None,4452000,None,4841000,None,3870000
NAP,2017-06-30,USD,-22839000,18510000,1279000,1279000,5155000,5817000,0,-13069000,None,None,None,3203000,None,None,None,None,1960000,0,None,-7044000,None,-10621000,None,1960000
NAP,2017-03-31,USD,20035000,21100000,1065000,1065000,7888000,5854000,0,13212000,None,None,None,3131000,None,None,None,None,4502000,0,None,4502000,None,7888000,None,4502000
NAP,2016-12-31,USD,87202000,22781000,1086000,1086000,9521000,5796000,0,54300000,None,None,None,3196000,None,None,None,None,6049000,0,None,24890000,None,38325000,None,6049000
NAP,2016-09-30,USD,2073000,22209000,1136000,1136000,8586000,6110000,0,-1377000,None,None,None,3207000,None,None,None,None,5457000,0,None,0,None,1586000,None,5457000
NAP,2016-06-30,USD,-25000000,22695000,1290000,1290000,9116000,5911000,0,-12000000,None,None,None,3284000,None,None,None,None,5889000,0,None,0,None,-13000000,None,5889000
NAP,2016-03-31,USD,23000000,24149000,1047000,1047000,10688000,6013000,0,13000000,None,None,None,3156000,None,None,None,None,7495000,0,None,0,None,11000000,None,7495000
NAP,2015-12-31,USD,None,25836000,1127000,1127000,12391000,5951000,None,None,None,None,None,3229000,None,None,None,None,9134000,None,None,None,None,None,None,9134000
NAP,2015-09-30,USD,None,22473000,620000,620000,9470000,6017000,None,None,None,None,None,3238000,None,None,None,None,6232000,None,None,None,None,None,None,6232000
NAP,2015-06-30,USD,None,18350000,486000,486000,8601000,4187000,None,None,None,None,None,1543000,None,None,None,None,5394000,None,None,None,None,None,None,5394000
NAP,2015-03-31,USD,None,16703000,469000,469000,7402000,3955000,None,None,None,None,None,1135000,None,None,None,None,6312000,None,None,None,None,None,None,6312000
NAP,2014-12-31,USD,None,16008000,472000,472000,6623000,4036000,None,None,None,None,None,4130000,None,None,None,None,2607000,None,None,None,None,None,None,2607000
NAP,2014-09-30,USD,None,16174000,459000,459000,7088000,3750000,None,None,None,None,None,7120000,None,None,None,None,None,None,None,None,None,None,None,None
NAP,2014-06-30,USD,None,15695000,558000,558000,6436000,3823000,None,None,None,None,None,7115000,None,None,None,None,None,None,None,None,None,None,None,None
NAP,2014-03-31,USD,None,15657000,556000,556000,6371000,3853000,None,None,None,None,None,7108000,None,None,None,None,None,None,None,None,None,None,None,None
NAP,2013-12-31,USD,None,63659000,2819000,2819000,25866000,15466000,None,None,None,None,None,31249000,None,None,None,None,None,None,None,None,None,None,None,None
NAP,2012-12-31,USD,None,64059000,3083000,3083000,25178000,15587000,None,None,None,None,None,31803000,None,None,None,None,None,None,None,None,None,None,None,None
