SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NCLH,2020-12-31,USD,-395807000,-49336000,336892000,336892000,-546880000,186564000,None,349467000,None,-51150000,None,51150000,25000,-1325000,None,162903000,-707366000,31567000,51150000,-738976000,-607046000,-546880000,-383977000,-738933000
NCLH,2020-09-30,USD,-241029000,-44354000,190157000,190157000,-517783000,156656000,None,334144000,None,-29520000,None,29520000,-14834000,-23680000,None,177488000,-681127000,-3761000,34986000,-677327000,-553483000,-517783000,-340295000,-677366000
NCLH,2020-06-30,USD,-311852000,6729000,301652000,301652000,-595411000,131436000,None,310688000,None,-114537000,None,114537000,6729000,-14400000,None,179252000,-724343000,-9100000,None,-715266000,-631881000,-595411000,-416159000,-715243000
NCLH,2020-03-31,USD,-974360000,1266782000,994260000,994260000,-1824061000,270689000,None,2076683000,None,-68907000,-68507000,68907000,1266782000,5823000,None,198197000,-1887145000,-6173000,None,-1880972000,-2164731000,-1824061000,-1625864000,-1880972000
NCLH,2019-12-31,USD,-1370296000,1197444000,1087122000,1087122000,199376000,229859000,None,393820000,None,-73207000,-63799000,73207000,1468283000,-7278000,None,163961000,118934000,-2363000,None,121254000,215440000,199376000,363337000,121297000
NCLH,2019-09-30,USD,-977254000,1927361000,990764000,990764000,511724000,255148000,None,411363000,None,-60188000,-60188000,60188000,1927361000,10300000,None,156215000,461784000,11200000,None,450627000,240720000,511724000,667939000,450584000
NCLH,2019-06-30,USD,-961724000,1664277000,958424000,958424000,308681000,240901000,None,397172000,None,-65969000,-64794000,65969000,1664277000,3600000,None,156271000,246290000,6100000,None,308681000,308681000,308681000,464952000,240190000
NCLH,2019-03-31,USD,-828554000,1403630000,826651000,826651000,158296000,248942000,None,418683000,None,-73503000,-67410000,73503000,1403630000,-434000,None,169741000,84359000,-33798000,None,158296000,158296000,158296000,328037000,118157000
NCLH,2018-12-31,USD,-1317658000,1381193000,1016758000,1016758000,209580000,208943000,None,354355000,None,None,None,68178000,1381193000,9299000,None,145412000,150701000,-3933000,None,209580000,209580000,209580000,354992000,154634000
NCLH,2018-09-30,USD,-929144000,1858356000,928944000,928944000,550276000,235436000,None,379136000,None,None,None,69540000,1858356000,98000,None,143700000,480834000,10456000,None,550276000,550276000,550276000,693976000,470378000
NCLH,2018-06-30,USD,-850083000,1522174000,862783000,862783000,292152000,226535000,None,367239000,None,None,None,72988000,1522174000,12922000,None,140704000,232086000,5410000,None,292152000,292152000,292152000,432856000,226676000
NCLH,2018-03-31,USD,349504000,1293403000,943899000,943899000,167053000,227015000,None,358259000,None,None,None,59698000,1293403000,-1666000,None,131244000,105689000,2534000,None,167053000,167053000,167053000,298297000,103155000
NCLH,2017-12-31,USD,169674000,1249553000,1079879000,1079879000,177194000,185841000,None,318920000,None,None,None,84309000,-4107922000,1285000,None,133079000,94170000,-4627000,None,98797000,186818000,177194000,310273000,98797000
NCLH,2017-09-30,USD,637430000,1651738000,1014308000,1014308000,476820000,202221000,None,336753000,None,None,None,66339000,1647738000,-3262000,None,134532000,407219000,6527000,None,400692000,509716000,476820000,611352000,400692000
NCLH,2017-06-30,USD,427688000,1344103000,916415000,916415000,275071000,193649000,None,316790000,None,None,None,64196000,1336003000,-5609000,None,123141000,205266000,6793000,None,198473000,340340000,275071000,398212000,198473000
NCLH,2017-03-31,USD,255258000,1150781000,895523000,895523000,119734000,192044000,None,311249000,None,None,None,52960000,2800000,-2815000,None,119205000,63959000,2049000,None,61910000,64437000,119734000,238939000,61910000
NCLH,2016-12-31,USD,121100000,1125137000,1004037000,1004037000,153550000,161462000,None,276477000,None,None,None,88023000,59837000,-8302000,None,115015000,70506000,-1726000,None,72232000,-19080000,153550000,268565000,72232000
NCLH,2016-09-30,USD,534820000,1484736000,949916000,949916000,413614000,174813000,None,286388000,None,None,None,60662000,-110000,None,None,111575000,347619000,5241000,None,342378000,397863000,413614000,525189000,342378000
NCLH,2016-06-30,USD,309444000,1186835000,877391000,877391000,227018000,149307000,None,253917000,None,None,None,68420000,None,None,None,104610000,147845000,2599000,None,145246000,174142000,227018000,331628000,145246000
NCLH,2016-03-31,USD,246887000,1077632000,830745000,830745000,131282000,180574000,None,281869000,None,None,None,59754000,None,None,None,101295000,74333000,1104000,None,73229000,178337000,131282000,232577000,73229000
