SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NEOT,2017-12-31,USD,None,None,None,None,None,2350000,353000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2017-09-30,USD,None,None,None,None,None,1813000,487000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2017-06-30,USD,None,None,None,None,None,2821000,1556000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2017-03-31,USD,None,None,None,None,None,3014000,1550000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2016-12-31,USD,None,None,None,None,None,1966000,926000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2016-09-30,USD,None,None,None,None,None,1852000,965000,None,None,None,None,156000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2016-06-30,USD,None,None,None,None,None,2391000,1427000,None,None,None,None,265000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2016-03-31,USD,None,None,None,None,None,5654000,3261000,None,None,None,None,265000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2015-12-31,USD,None,None,None,None,None,9215000,7028000,None,None,None,None,289000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2015-09-30,USD,None,None,None,None,None,16962000,15211000,None,None,None,None,288000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2015-06-30,USD,None,None,None,None,None,9180000,7470000,None,None,None,None,285000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2015-03-31,USD,None,None,None,None,None,6634000,4701000,None,None,None,None,272000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2014-12-31,USD,None,None,None,None,None,3253000,1917000,None,None,None,None,212000,None,None,None,None,None,1000,None,None,None,None,None,None
NEOT,2014-09-30,USD,None,None,None,None,None,1861000,942000,None,None,None,None,132000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2014-06-30,USD,None,None,None,None,None,1979000,933000,None,None,None,None,27000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2014-03-31,USD,None,None,None,None,None,2480000,1383000,None,None,None,None,4000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2013-12-31,USD,None,None,None,None,None,14350000,11447000,None,None,None,None,57000,None,None,None,None,None,None,None,None,None,None,None,None
NEOT,2012-12-31,USD,None,100000,None,None,None,5717000,3249000,None,None,None,None,937000,None,None,None,None,None,None,None,None,None,None,None,None
