SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NEXA,2020-12-31,USD,174451000,634522000,460071000,460071000,119303000,44159000,None,515219000,None,-36246000,1962000,30154000,None,None,None,None,100272000,46992000,None,53280000,None,193267000,None,49954000
NEXA,2020-09-30,USD,140345000,537826000,397481000,397481000,85650000,36640000,None,18055000,None,-40560000,1152000,33052000,None,None,None,None,-37029000,-2354000,None,-34675000,None,142318000,None,-28672000
NEXA,2020-06-30,USD,20836000,336569000,315733000,315733000,-13647000,29173000,None,5310000,None,-33688000,2481000,29968000,None,None,None,None,-66076000,-7020000,None,-59056000,None,34152000,None,-58616000
NEXA,2020-03-31,USD,51366000,442012000,390646000,390646000,-10833000,41648000,None,12300000,None,-48217000,25144000,20238000,None,None,None,None,-673825000,-61770000,None,-612055000,None,34614000,None,-521913000
NEXA,2019-12-31,USD,110611000,585769000,475158000,475158000,6623000,76158000,None,28127000,None,-25918000,-6405000,30507000,None,None,None,None,-11567000,-8827000,None,-2740000,None,76298000,None,-2775000
NEXA,2019-09-30,USD,59964000,563422000,503458000,503458000,-38951000,57206000,None,41709000,None,-25269000,-45663000,17337000,None,None,None,None,-234989000,-63723000,None,-171266000,None,49803000,None,-150237000
NEXA,2019-06-30,USD,134579000,613299000,478720000,478720000,55518000,42076000,None,36985000,None,-31816000,-2502000,24149000,None,None,None,None,29817000,6522000,None,23295000,None,116076000,None,20393000
NEXA,2019-03-31,USD,82468000,569816000,487348000,487348000,26743000,41072000,None,18288000,None,-30892000,-14442000,21165000,None,None,None,None,859000,9155000,None,-8296000,None,98511000,None,-14007000
NEXA,2018-12-31,USD,141801000,583414000,441613000,441613000,68478000,35830000,0,59679000,None,None,None,-21131000,None,None,None,None,88476000,31843000,None,56633000,None,162383000,None,52853000
NEXA,2018-09-30,USD,107028000,595083000,488055000,488055000,54384000,36613000,0,36875000,None,None,None,-23879000,None,None,None,None,8888000,1973000,None,6915000,None,98988000,None,7359000
NEXA,2018-06-30,USD,162198000,636517000,474319000,474319000,103363000,43846000,0,22206000,None,None,None,-19899000,None,None,None,None,-58053000,-22730000,None,-35323000,None,157997000,None,-40466000
NEXA,2018-03-31,USD,191231000,676188000,484957000,484957000,124818000,46710000,0,4295000,None,None,None,-20968000,None,None,None,None,92587000,29837000,None,62750000,None,184928000,None,55113000
NEXA,2017-12-31,USD,253967000,736701000,482734000,482734000,159956000,62530000,0,2029659000,None,None,None,14282000,None,None,None,None,62323000,38346000,None,39193000,None,219047000,None,12218000
NEXA,2017-09-30,USD,196155000,625805000,429650000,429650000,110825000,59484000,0,40920000,None,None,None,22477000,None,None,None,None,121518000,40529000,None,231454000,None,155949000,None,69695000
NEXA,2017-06-30,USD,-302496000,571381000,358997000,358997000,69593000,65138000,0,-885974000,None,None,None,21760000,None,None,None,None,8420000,3348000,None,-160609000,None,-151776000,None,-151428000
NEXA,2017-03-31,USD,155164000,549319000,342601000,342601000,85340000,52440000,0,455921000,None,None,None,15429000,None,None,None,None,79198000,23971000,None,55227000,None,75261000,None,49100000
NEXA,2016-12-31,USD,301242000,578392000,358118000,358118000,56766000,111193000,0,1380199000,None,None,None,11733000,None,None,None,None,148139000,25862000,None,62133000,None,61728000,None,54830000
NEXA,2016-09-30,USD,159370000,522914000,292304000,292304000,87699000,71671000,0,440177000,None,None,None,12590000,None,None,None,None,60753000,12377000,None,48376000,None,82737000,None,38337000
NEXA,2016-06-30,USD,0,469102000,265978000,265978000,71971000,62916000,0,0,None,None,None,14423000,None,None,None,None,115582000,22213000,None,0,None,0,None,84567000
NEXA,2016-03-31,USD,0,394433000,247667000,247667000,33857000,45032000,0,0,None,None,None,11637000,None,None,None,None,83697000,37931000,None,0,None,0,None,45069000
NEXA,2015-12-31,USD,401893000,379000000,1127689000,1127689000,164459000,228481000,0,1689233000,None,None,None,51451000,None,None,None,None,36100000,30400000,None,-139478000,None,175950000,None,-129461000
