SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NFLX,2020-12-31,USD,2479282000,6644442000,4165160000,4165160000,954242000,2485104000,641336000,3126440000,None,-197186000,None,197186000,-257983000,-250639000,None,None,506417000,-35739000,197186000,542156000,587701000,954242000,None,542156000
NFLX,2020-09-30,USD,2567886000,6435637000,3867751000,3867751000,1314863000,799221000,453802000,1253023000,None,-197079000,None,197079000,-249194000,-256324000,None,None,861460000,71484000,197079000,789976000,822901000,1314863000,None,789976000
NFLX,2020-06-30,USD,2504579000,6148286000,3643707000,3643707000,1357928000,711606000,435045000,1146651000,None,-189151000,-133175000,189151000,-119161000,-133175000,None,None,1035602000,315406000,189151000,720196000,733178000,1357928000,None,720196000
NFLX,2020-03-31,USD,2167990000,5767691000,3599701000,3599701000,958256000,755917000,453817000,1209734000,None,-184083000,21697000,184083000,93060000,21697000,None,None,795870000,86803000,184083000,709067000,685534000,958256000,None,709067000
NFLX,2019-12-31,USD,2001411000,5467434000,3466023000,3466023000,458512000,3012523000,537227000,3549750000,None,-177801000,-131378000,177801000,-122100000,-131378000,None,None,149333000,-437637000,177801000,586970000,604695000,458512000,None,586970000
NFLX,2019-09-30,USD,2146986000,5244905000,3097919000,3097919000,980239000,786971000,379776000,1166747000,None,-160660000,192744000,160660000,171360000,192744000,None,None,1012323000,347079000,160660000,665244000,644350000,980239000,None,665244000
NFLX,2019-06-30,USD,1917459000,4923116000,3005657000,3005657000,1917459000,827807000,383233000,1211040000,None,-152033000,-53470000,152033000,-61284000,-53470000,None,None,500916000,230266000,152033000,1917459000,1917459000,1917459000,None,270650000
NFLX,2019-03-31,USD,1650378000,4520992000,2870614000,2870614000,1650378000,818530000,372764000,1191294000,None,-135529000,76104000,135529000,57600000,76104000,None,None,399659000,55607000,135529000,1650378000,1650378000,1650378000,None,344052000
NFLX,2018-12-31,USD,1453441000,4186841000,2733400000,3069250000,1453441000,2432979000,265031000,2671636000,None,-128807000,None,128807000,21953000,32436000,None,None,119396000,-14538000,128807000,1453441000,1453441000,1453441000,None,133934000
NFLX,2018-09-30,USD,1468246000,3999374000,2531128000,2412346000,1468246000,779334000,327026000,1777451000,None,-108862000,None,108862000,7670000,7004000,None,None,378810000,-24025000,108862000,1468246000,1468246000,1468246000,None,402835000
NFLX,2018-06-30,USD,1504839000,3907270000,2402431000,2289867000,1504839000,837977000,317213000,1783600000,None,-101605000,None,101605000,85410000,68028000,None,None,428636000,44287000,101605000,1504839000,1504839000,1504839000,None,384349000
NFLX,2018-03-31,USD,1400277000,3700856000,2300579000,2196075000,1400277000,757473000,300730000,1637184000,None,-81219000,None,81219000,-41080000,-65743000,None,None,299616000,9492000,81219000,1400277000,1400277000,1400277000,None,290124000
NFLX,2017-12-31,USD,1178401000,3285755000,2214334000,2107354000,245303000,472825000,201873000,1187857000,None,-75292000,None,75292000,-12850000,-38681000,None,None,264617000,79100000,75292000,185517000,190322000,245303000,None,185517000
NFLX,2017-09-30,USD,991879000,2984859000,1992980000,1992980000,208627000,528016000,255236000,1254014000,None,-60688000,None,60688000,-50830000,-31702000,None,None,116237000,-13353000,60688000,129590000,135596000,208627000,None,129590000
NFLX,2017-06-30,USD,883156000,2785464000,1902308000,1902308000,127807000,488266000,267083000,1236375000,None,-55482000,None,55482000,-64220000,-58363000,None,None,13962000,-51638000,55482000,65600000,80091000,127807000,None,65600000
NFLX,2017-03-31,USD,979611000,2636635000,1657024000,1657024000,256942000,465561000,257108000,1174068000,None,-46742000,None,46742000,0,13592000,None,None,223792000,45570000,46742000,178222000,180928000,256942000,None,178222000
NFLX,2016-12-31,USD,823122000,2477541000,1719716000,1654419000,153934000,1286397000,141393000,1811982000,None,-43586000,None,43586000,22800000,-20079000,None,None,90269000,23521000,43586000,66748000,54713000,153934000,None,66748000
NFLX,2016-09-30,USD,757344000,2290188000,1532844000,1532844000,106036000,435209000,216099000,1020573000,None,-35536000,None,35536000,None,8627000,None,None,79127000,27610000,35536000,51517000,53198000,106036000,None,51517000
NFLX,2016-06-30,USD,632106000,2105204000,1473098000,1473098000,70370000,354436000,207300000,907443000,None,-35455000,None,35455000,None,16317000,None,None,51232000,10477000,35455000,40755000,36945000,70370000,None,40755000
NFLX,2016-03-31,USD,588196000,1957736000,1369540000,1369540000,49453000,335235000,203508000,869476000,None,-35537000,None,35537000,None,25963000,None,None,39879000,12221000,35537000,27658000,36565000,49453000,None,27658000
