SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
NTES,2020-12-31,CNY,9927762000,19761738000,9833976000,9833976000,3011931000,3886455000,3029376000,16749807000,None,410001000,410001000,None,None,None,None,None,1487496000,552661000,None,934835000,None,3974457000,None,975702000
NTES,2020-09-30,CNY,9885843000,18658222000,8772379000,8772379000,2870156000,4226636000,2789051000,15788066000,None,446914000,446914000,None,None,None,None,None,3136167000,342700000,None,2793467000,None,3783205000,None,2998240000
NTES,2020-06-30,CNY,9792175000,18184806000,8392631000,8392631000,4169850000,3214019000,2408306000,14014956000,None,396519000,396519000,None,None,None,None,None,5715735000,1064455000,None,4651280000,None,4333833000,None,4537806000
NTES,2020-03-31,CNY,9377622000,17062367000,7684745000,7684745000,4486468000,2748505000,2142649000,12575899000,None,345184000,345184000,None,None,None,None,None,5032686000,1082033000,None,3950653000,None,5042199000,None,3551006000
NTES,2019-12-31,CNY,8210428000,15734804000,7524376000,7524376000,2976443000,2966497000,2267488000,12758361000,None,279546000,279546000,0,None,0,None,None,3968299000,-156064000,None,3091970000,None,3069162000,None,3053732000
NTES,2019-09-30,CNY,7870350000,14635690000,6765340000,6765340000,3334771000,2373325000,2162254000,11300919000,None,184795000,184795000,0,None,0,None,None,14029743000,1116653000,None,12913090000,None,3522689000,None,12730299000
NTES,2019-06-30,CNY,8125769000,18768999000,10643230000,10643230000,3486216000,2577308000,2062245000,15282783000,None,187311000,187311000,0,None,0,None,None,3803046000,685178000,None,3117868000,None,4080249000,None,3071367000
NTES,2019-03-31,CNY,8090963000,18356157000,10265194000,10265194000,3755040000,2515512000,2166123000,14946829000,None,173600000,288510000,0,None,0,None,None,4080714000,1268959000,None,2463274000,None,3886269000,None,2382118000
NTES,2018-12-31,CNY,7657458000,19844275000,12186817000,12186817000,6898579.73,3256922000,6622904.11,54076729.57,None,None,None,0,None,0,None,None,8321988.10,2825873.29,None,5496114.81,None,2901766000,None,5216503.08
NTES,2018-09-30,USD,7547348000,16855303000,9307955000,9307955000,306785365.92,3179302000,329131010.79,2147072311.43,None,None,None,0,None,0,None,None,358813783.87,122842813.26,None,235970970.61,None,2646814000,None,232394269.82
NTES,2018-06-30,USD,7245112000,16283885000,9038773000,9038773000,349968656.27,2994095000,287556388.72,535.33,None,None,None,0,None,0,None,None,402455758.85,63066136.77,None,339389622.08,None,2695747000,None,315914217.16
NTES,2018-03-31,USD,5953578000,14172990000,8219412000,8219412000,192173075.39,3287688000,232297906.22,2064492795.16,None,None,None,0,None,None,None,None,173154207.47,45010269.88,None,128143937.58,None,1867702000,None,119719608.31
NTES,2017-12-31,USD,5744611000,14607636000,8863025000,8863025000,289193000,3075584000,209130000,43092856000,None,None,None,14155000,None,None,None,None,318711000,57685000,None,10285215000,None,1764188000,None,257590000
NTES,2017-09-30,USD,5947575000,12477789000,6530214000,6530214000,383222000,2244945000,173289000,6621890000,None,None,None,0,None,None,None,None,415899000,33892000,None,5591848000,None,2752625000,None,379879000
NTES,2017-06-30,USD,6736890000,13376048000,6639158000,6639158000,502319000,2280043000,155101000,-16635146000,None,None,None,0,None,None,None,None,545469000,103767000,None,-9039106000,None,3602193000,None,438409000
NTES,2017-03-31,USD,7483617000,13640546000,6156929000,6156929000,693274000,1786882000,134356000,8868608000,None,None,None,0,None,None,None,None,719754000,137005000,None,4011180000,None,4923323000,None,569904000
NTES,2016-12-31,USD,16330238000,1542843000,716089000,716089000,488707000,325863000,109900000,19184935000,None,None,None,36838000,None,None,None,None,589367000,116945000,None,11792863000,None,9782264000,None,469506000
NTES,2016-09-30,USD,53574000,1381367000,568069000,568069000,426873000,372943000,123003000,460045000,None,None,None,-194200000,None,None,None,None,483260000,64059000,None,0,None,-201400000,None,410890000
NTES,2016-06-30,USD,5280000000,1347120000,541035000,541035000,458614000,335914000,109278000,5905000000,None,None,None,162000000,None,None,None,None,458452000,39521000,None,0,None,3048000000,None,409366000
NTES,2016-03-31,USD,0,1227568000,506296000,506296000,444740000,266583000,96675000,0,None,None,None,0,None,None,None,None,470269000,82297000,None,0,None,0,None,381637000
NTES,2015-12-31,USD,13403635000,1175780000,543591000,543591000,358870000,265278000,85913000,15530772000,None,None,None,2933000,None,None,None,None,396415000,77058000,None,6836900000,None,7272123000,None,320570000
